time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel
0.000000000000000000e+00,-5.814944801006413089e-01,-6.336429999999999563e-01,0.000000000000000000e+00,1.692437144094067626e+05,5.814944801006413089e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.900612808008119464e+05,2.463064119692849789e-15,-1.951476377710991583e+00,1.756502000000000008e+00,0.000000000000000000e+00,-1.588467865579655336e+04,-2.532970857811632559e+00,1.756502000000000008e+00,0.000000000000000000e+00,3.742500676076486125e+05,-1.260990671212915652e-14,-5.814944801006409758e-01,-5.814944801006413089e-01,-6.336429999999999563e-01,5.814944801006413089e-01,0.000000000000000000e+00,-2.532970857811632559e+00,1.756502000000000008e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.951476377710991361e+00,1.756502000000000008e+00
1.000570342866010211e-03,-5.821065719459574961e-01,-5.913409788310015625e-01,4.216360411961909449e+01,-8.496457417655381141e+04,5.814439284594681290e-01,-9.743878509881093164e-02,-9.700785504743288357e+01,1.961561631065059919e+05,2.816924331516860655e-02,-1.949721981115506875e+00,1.752726026908564494e+00,-3.374592974657900868e+00,9.139339862340420950e+03,-2.531165909574975004e+00,1.850164812007375703e+00,9.359650839120791943e+01,-1.871637541694304091e+05,1.037280821285483691e-02,-5.814439284594681290e-01,-5.821076298506275837e-01,-5.918161762526732428e-01,5.814466906528495960e-01,-9.594583611783494281e-02,-2.531168603863824362e+00,1.846759470824888449e+00,-8.160327538693132841e-04,2.090334290884297667e-03,-1.949721913210974655e+00,1.750813634707053534e+00
2.001140685732020422e-03,-5.826750916591668661e-01,-5.492670795801174455e-01,4.193289762462283932e+01,-2.405623456118510148e+02,5.812930130917874916e-01,-1.941292501588831598e-01,-9.625346518120721839e+01,7.820817918672128144e+02,5.633848663033474979e-02,-1.947973157235244779e+00,1.749672534389977274e+00,-2.636764363789831922e+00,1.013690286223178418e+03,-2.529266170327031826e+00,1.943801784548860434e+00,9.356852530834819959e+01,-3.444916096765862790e+01,2.074561642572228526e-02,-5.812930130917870475e-01,-5.826784083092069189e-01,-5.492944511008865938e-01,5.813008215546635604e-01,-1.939851457552329295e-01,-2.529273300159165849e+00,1.940887040364662086e+00,-1.082837078910126819e-03,6.750273232994189257e-03,-1.947972478604502289e+00,1.746901894609429240e+00
3.001711028598030850e-03,-5.832004186874534257e-01,-5.074267014686161259e-01,4.169679440967910011e+01,-2.460568924882876161e+02,5.810428433313569174e-01,-2.900585185207715244e-01,-9.548620394212370854e+01,7.953221138489980149e+02,8.450772994550087569e-02,-1.946228943504338726e+00,1.747350081242200037e+00,-1.881547352056407885e+00,1.126415270693418734e+03,-2.527271786835695533e+00,2.037408599762971395e+00,9.353622672518675074e+01,-3.876637407176823302e+01,3.111842463858972840e-02,-5.810428433313568064e-01,-5.832068461837294215e-01,-5.068189796300873740e-01,5.810586575429923517e-01,-2.918126016449429372e-01,-2.527284701039321124e+00,2.034705750185983320e+00,1.609653785404478602e-03,6.961076502328570302e-03,-1.946226043496328773e+00,1.742893148541040382e+00
4.002281371464040845e-03,-5.836829324780019590e-01,-4.658252437177651806e-01,4.145529445825812331e+01,-2.515549614663979696e+02,5.806945285119343714e-01,-3.852137135250305877e-01,-9.470607125428320217e+01,8.085750522543379475e+02,1.126769732606670155e-01,-1.944488377356920816e+00,1.745767226263194027e+00,-1.092387880328903549e+00,1.358295421801067505e+03,-2.525182905868855521e+00,2.130980939788224671e+00,9.349961264151542650e+01,-4.308418811905471557e+01,4.149123285145718543e-02,-5.806945285119347044e-01,-5.836927037713971478e-01,-4.643883483655996125e-01,5.807179273723211965e-01,-3.894332167238603870e-01,-2.525201993010433466e+00,2.128277587957603245e+00,5.711473165002042308e-03,7.729546012995241501e-03,-1.944484065638112380e+00,1.738844371233742914e+00
5.002851714330050839e-03,-5.841230124779968058e-01,-4.244681055488330190e-01,4.120839775298094310e+01,-2.570566550584429706e+02,5.802491779672773742e-01,-4.795819585122152451e-01,-9.391306703753515706e+01,8.218410792149096551e+02,1.408462165758331830e-01,-1.942750496227124035e+00,1.744932528250919823e+00,-1.425570959009030414e-01,2.249046445638581645e+03,-2.522999674194400743e+00,2.224514486763135235e+00,9.345868305709892354e+01,-4.740260445937077805e+01,5.186404106432462857e-02,-5.802491779672767080e-01,-5.841362060594095240e-01,-4.220057640926323517e-01,5.802791445529573711e-01,-4.868382938575854801e-01,-2.523025686808217039e+00,2.221633791984541251e+00,1.102699067323664218e-02,8.903431494970770813e-03,-1.942746542255259667e+00,1.734795498126955771e+00
6.003422057196061701e-03,-5.845210381346225281e-01,-3.833606861830874957e-01,4.095610427557215871e+01,-2.625620810649122063e+02,5.797079010311440017e-01,-5.731503768228803919e-01,-9.310719120718832187e+01,8.351206935136374341e+02,1.690154598909993089e-01,-1.941014337549080482e+00,1.744854546003338225e+00,-3.053113317719180486e-16,1.824085506754875610e+02,-2.520722238580224150e+00,2.318004922826218284e+00,9.341343797167510843e+01,-5.172162461531052458e+01,6.223684927719207172e-02,-5.797079010311436686e-01,-5.845372180464301071e-01,-3.796791350957663402e-01,5.797435481177798389e-01,-5.840048696570739883e-01,-2.520756177117641439e+00,2.314791342302758181e+00,1.743510042878195290e-02,1.050266481782852722e-02,-1.941012628999861711e+00,1.730786472645684082e+00
7.003992400062071695e-03,-5.848773888950633548e-01,-3.425083848417966315e-01,4.069841400680781618e+01,-2.680713528681731646e+02,5.790718070372924409e-01,-6.659060917975807570e-01,-9.228844367369785573e+01,8.484144224095525715e+02,1.971847032061654903e-01,-1.939278938756924031e+00,1.745541838318410699e+00,9.343135545139160669e-01,-3.839300876353931926e+02,-2.518350745794216472e+00,2.411447930115991678e+00,9.336387738495150757e+01,-5.604125028892912752e+01,7.260965749005950098e-02,-5.790718070372924409e-01,-5.848959349493526583e-01,-3.374180192949628454e-01,5.791107785370769312e-01,-6.809050908773986999e-01,-2.518393532816740610e+00,2.407759454817502309e+00,2.540857016937907165e-02,1.253831584799326715e-02,-1.939282754279663568e+00,1.726854363940103720e+00
8.004562742928081689e-03,-5.851924442065042919e-01,-3.019166007462283363e-01,4.043532692646043358e+01,-2.735845897569943759e+02,5.783420053194796573e-01,-7.578362267768711247e-01,-9.145682434232583091e+01,8.617228236269714898e+02,2.253539465213316162e-01,-1.937543337284787670e+00,1.747002963994098712e+00,1.768695395076330890e+00,1.815482959419830422e+02,-2.515885342604267105e+00,2.504839190770970170e+00,9.331000129660753828e+01,-6.036148333005864686e+01,8.298246570292695801e-02,-5.783420053194794352e-01,-5.852125161867185454e-01,-2.952321774580438096e-01,5.783809029977707850e-01,-7.775106035761292222e-01,-2.515937880044333053e+00,2.500547206917089316e+00,3.478838942616090113e-02,1.490708191486392852e-02,-1.937556977046562157e+00,1.723036603340960093e+00
9.005133085794092551e-03,-5.854665835161291243e-01,-2.615907331176507422e-01,4.016684301323973472e+01,-2.791019172761729124e+02,5.775196052114639489e-01,-8.489279051013063349e-01,-9.061233311277165114e+01,8.750464875079595686e+02,2.535231898364976866e-01,-1.935806570566802165e+00,1.749246481828362842e+00,2.578257474959588347e+00,3.967604649739929528e+02,-2.513326175778266780e+00,2.598174386929668955e+00,9.325180970629456567e+01,-6.468232578700057900e+01,9.335527391579441503e-02,-5.775196052114646150e-01,-5.854867814617334965e-01,-2.531342930468712948e-01,5.775548340433676042e-01,-8.737844218775224769e-01,-2.513389563611280408e+00,2.593156569887818730e+00,4.548758718993249628e-02,1.764330399960661877e-02,-1.935834729567912804e+00,1.719372148010296364e+00
