time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,k0,costToGo
0.000000000000000000e+00,-5.984944801006413240e-01,-6.336429999999999563e-01,0.000000000000000000e+00,1.550918895629769249e+05,6.984944801006413018e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.590221356972302310e+05,1.216061828391684141e-15,-1.811476377710991237e+00,1.756502000000000008e+00,0.000000000000000000e+00,-1.825199066884647618e+04,-2.509970857811632428e+00,1.756502000000000008e+00,0.000000000000000000e+00,3.408304568517128937e+05,6.880951450362620283e-16,-6.984944801006411907e-01,-5.984944801006413240e-01,-6.336429999999999563e-01,6.984944801006413018e-01,0.000000000000000000e+00,-2.509970857811632428e+00,1.756502000000000008e+00,-4.735328358611014601e-03,2.968888860209499807e-03,-1.811476377710991237e+00,1.756502000000000008e+00,-3.942152245864031235e-01,2.149740728620315178e+00,4.954843322847017340e-01,3.012320588426266668e-02,4.839775442122364879e-01,8.291945414768304989e-02,5.223473968815028901e-01,-9.503022324187863079e-01,8.865960854460437357e-01,1.060275314483030418e-01,2.984692057913144667e-02,2.180388406021200320e-01,4.735328358612230643e-03,0.000000000000000000e+00
1.000731677811512142e-03,-5.991088373610322648e-01,-5.948622683223075969e-01,3.865444884030800665e+01,-7.783951573018101044e+04,6.984489052032650802e-01,-8.972107806237417105e-02,-8.932402529894523013e+01,1.805047023442921927e+05,2.753056474931468364e-02,-1.809721669612976758e+00,1.752125732895201127e+00,-3.986529662462434231e+00,1.028476078924372632e+04,-2.508170574816241505e+00,1.841846810957576075e+00,8.530731766040912589e+01,-1.703405652017020038e+05,9.954384859291879120e-03,-6.984489052032647471e-01,-5.991092120893484196e-01,-5.947816978190839654e-01,6.984491356825206498e-01,-9.000945081470150544e-02,-2.508170115236208364e+00,1.842547817232208285e+00,2.283061729566247117e-02,1.441511367703089685e-02,-1.809720979553687714e+00,1.752538366417506710e+00,-3.927871563180447834e-01,2.123293427365682717e+00,4.960817493342430384e-01,2.943651395771729878e-02,4.831352835738867424e-01,8.267180825099329500e-02,5.210996112566504967e-01,-9.459538871157163742e-01,8.913281509848377526e-01,1.068549521327378099e-01,3.049007285257556918e-02,2.185090617325750051e-01,4.781613757229270269e-03,2.575287064606457741e-08
2.001463355623024284e-03,-5.996838718221270126e-01,-5.562770430629153662e-01,3.845785606881886309e+01,-2.016142143128220141e+02,6.983127082136215691e-01,-1.787812069235873158e-01,-8.866120301094535705e+01,6.767213247340478119e+02,5.506112949862815298e-02,-1.807972530532934385e+00,1.748460277902222915e+00,-3.265706729626103755e+00,9.400760543766139108e+02,-2.506285238746555954e+00,1.927241484825810147e+00,8.535790115989894389e+01,5.277237025898743639e+01,1.990876971858307129e-02,-6.983127082136215691e-01,-5.996827411099970861e-01,-5.562469763016308910e-01,6.983137744562866178e-01,-1.789692969309569781e-01,-2.506279234578262294e+00,1.928097904883116609e+00,5.039568442948676175e-02,2.297029732821621179e-02,-1.807965460121975676e+00,1.749128607952159520e+00,-3.913255345696662890e-01,2.096915856350577645e+00,4.966447255478469436e-01,2.876341204037482363e-02,4.822662967811472967e-01,8.242526108757929071e-02,5.198444185395497685e-01,-9.416932362007358615e-01,8.960322383865439999e-01,1.076656410798899899e-01,3.112696431242747974e-02,2.189747359002228444e-01,4.700200504453792838e-03,4.249118001658855554e-08
3.002195033434536427e-03,-6.002198473713789006e-01,-5.178897695879988161e-01,3.825881954715892164e+01,-2.041017032268118783e+02,6.980866806854391093e-01,-2.671757235898836180e-01,-8.799372054782318742e+01,6.815390043174171524e+02,8.259169424794164660e-02,-1.806228076711248631e+00,1.745511814103950732e+00,-2.534483088211413992e+00,1.007765128796022282e+03,-2.504314757396687519e+00,2.012687537693834905e+00,8.540999962727629224e+01,5.428352665971767976e+01,2.986315457787426866e-02,-6.980866806854388873e-01,-6.002132494173441080e-01,-5.180265891414366219e-01,6.980753279890310470e-01,-2.669295413512308146e-01,-2.504288174716181814e+00,2.013515807426079718e+00,7.796046935145620194e-02,3.265053827386309171e-02,-1.806212846727150767e+00,1.746586266074849014e+00,-3.898430821921646805e-01,2.070623325854720864e+00,4.971746664250968895e-01,2.809889711693578859e-02,4.813808446941106878e-01,8.218066838172966015e-02,5.185892214856820948e-01,-9.375290463656709150e-01,9.007074864669870617e-01,1.084647549065540645e-01,3.175264571161282717e-02,2.194355351014586897e-01,4.547033746387015365e-03,1.378437708293126866e-07
4.002926711246048569e-03,-6.007170278962405963e-01,-4.797028932637336096e-01,3.805733927115184656e+01,-2.065902395244781360e+02,6.977716141724449317e-01,-3.548999650675072060e-01,-8.732157789169049522e+01,6.863602968959082773e+02,1.101222589972550986e-01,-1.804487424388302896e+00,1.743286520583269272e+00,-1.787835779369821854e+00,1.120869670030538146e+03,-2.502259038560747939e+00,2.098186485650777033e+00,8.546361306258859258e+01,5.579460672842941449e+01,3.981753943716544869e-02,-6.977716141724450427e-01,-6.007190142335629979e-01,-4.799954531571076766e-01,6.977504857757015344e-01,-3.542890468053095931e-01,-2.502233206576773838e+00,2.098862454268526800e+00,1.055252542734256560e-01,4.233077921950996469e-02,-1.804482720801072304e+00,1.744573407463217318e+00,-3.883388578824838455e-01,2.044402484084111737e+00,4.976700735397386333e-01,2.744359143978941304e-02,4.804782442119890362e-01,8.193788794634246364e-02,5.173321368132570708e-01,-9.334484247913865662e-01,9.053562003175134043e-01,1.092513865308613746e-01,3.236803366984199876e-02,2.198916119769659117e-01,4.311704366565800688e-03,2.588408029606345225e-07
5.003658389057560711e-03,-6.011756772841657659e-01,-4.417188594562957427e-01,3.785341523646479089e+01,-2.090798488670788231e+02,6.973683002283679322e-01,-4.419492683627024299e-01,-8.664477502390963082e+01,6.911853127172373661e+02,1.376528237465685645e-01,-1.802749689804480360e+00,1.741790576423065229e+00,-1.007558908191053870e+00,1.362198585976521372e+03,-2.500117990032848514e+00,2.183739844785768547e+00,8.551874146588421866e+01,5.730561073379775650e+01,4.977192429645664606e-02,-6.973683002283681542e-01,-6.011859122526926891e-01,-4.422049894575744711e-01,6.973604679620115654e-01,-4.408772566756517519e-01,-2.500102849540415839e+00,2.184137855285584351e+00,1.330900391953950823e-01,5.201102016515683768e-02,-1.802742381578404274e+00,1.743260598609932543e+00,-3.868144388638409259e-01,2.018248076094710353e+00,4.981307330058705185e-01,2.679736143436595858e-02,4.795593481699955141e-01,8.169694852707481969e-02,5.160740856975084556e-01,-9.294457398368858314e-01,9.099792616807823586e-01,1.100258172280705743e-01,3.297275069353620969e-02,2.203429194340699171e-01,4.009430840746360143e-03,4.988177236463387752e-07
6.004390066869072853e-03,-6.015960594226075209e-01,-4.039401135318605451e-01,3.764704743860145442e+01,-2.115705578891863468e+02,6.968775304069356746e-01,-5.283189704817136123e-01,-8.596331192505400054e+01,6.960141666787794748e+02,1.651833884958820164e-01,-1.801013989200165755e+00,1.741030160706222407e+00,-3.649124558215000036e-02,2.396322331378412855e+03,-2.497891519607101429e+00,2.269349131187936131e+00,8.557538483721322109e+01,5.881653899905860783e+01,5.972630915574783650e-02,-6.968775304069356746e-01,-6.016039909120189932e-01,-4.046999424589453609e-01,6.969145723867699038e-01,-5.265473474917172769e-01,-2.497885026275653342e+00,2.269338939820500389e+00,1.606551571037407589e-01,6.156524690419216961e-02,-1.800970453888883327e+00,1.742791592328783112e+00,-3.852717106376706280e-01,1.992156099450866691e+00,4.985568178362283498e-01,2.615999083136763548e-02,4.786252457527539472e-01,8.145795925762350231e-02,5.148162591132046106e-01,-9.255161153108817373e-01,9.145771937393545326e-01,1.107884388705620005e-01,3.356627121033906036e-02,2.207893483350725217e-01,3.650335805388142240e-03,1.208967619888274714e-06
7.005121744680584996e-03,-6.019784381990193056e-01,-3.663691008566040686e-01,3.743823587289451638e+01,-2.140623942298279303e+02,6.963000962618760559e-01,-6.140044084307849648e-01,-8.527718857486604520e+01,7.008469785760662489e+02,1.927139532451954962e-01,-1.799279438815743148e+00,1.741011452515626834e+00,-7.199102425303749442e-17,3.915593272185510187e+01,-2.495579535077619315e+00,2.355015860946411799e+00,8.563354317662874848e+01,6.032739181097295500e+01,6.968069401503904081e-02,-6.963000962618761669e-01,-6.019927920949804667e-01,-3.674595813176088632e-01,6.963462777641720169e-01,-6.113775612662036840e-01,-2.495570723671615809e+00,2.354451935185709388e+00,1.882207052818938298e-01,7.095664383312874635e-02,-1.799224445907443792e+00,1.743074373919505593e+00,-3.837093432975126617e-01,1.966112789808758698e+00,4.989464508443526292e-01,2.553216214700256698e-02,4.776750484924994211e-01,8.122073407210107787e-02,5.135564232570045684e-01,-9.216463141712532003e-01,9.191524156285193481e-01,1.115382284722690187e-01,3.414965599836204679e-02,2.212310773357981097e-01,3.243052179257898196e-03,2.288515785895483408e-06
8.005853422492097138e-03,-6.023230775008536764e-01,-3.290082667967017538e-01,3.722698053449792610e+01,-2.165553865899292987e+02,6.956367893469171948e-01,-6.990009192161605878e-01,-8.458640495221301592e+01,7.056838733626240128e+02,2.202445179945089759e-01,-1.797545154891595276e+00,1.741740630934164757e+00,9.769913417305080561e-01,-4.635671609735782113e+02,-2.493181944238512582e+00,2.440741550150325789e+00,8.569321648418173254e+01,6.183816948361526045e+01,7.963507887433023125e-02,-6.956367893469173058e-01,-6.023478383921837542e-01,-3.304695899641920120e-01,6.956726233858411268e-01,-6.954098727349278253e-01,-2.493167144968380100e+00,2.439500254213858188e+00,2.157862534600469007e-01,8.034804076206533696e-02,-1.797494521582538862e+00,1.744090381478930363e+00,-3.821281723668492059e-01,1.940111413208844615e+00,4.992991514048991109e-01,2.491394026533716791e-02,4.767091987109611795e-01,8.098530610198537150e-02,5.122946991687526985e-01,-9.178291027937121038e-01,9.237059376351492990e-01,1.122751643691174833e-01,3.472289252211870764e-02,2.216680666755882489e-01,2.794555369211013107e-03,3.740861503612538917e-06
9.006585100303610147e-03,-6.026302412155649657e-01,-2.918600567183293193e-01,3.701328141837858254e+01,-2.190495647690936210e+02,6.948884012157872103e-01,-7.833038398440848038e-01,-8.389096103503926827e+01,7.105249814328267348e+02,2.477750827438224279e-01,-1.795810253668106649e+00,1.743223875044721538e+00,1.784516732801475047e+00,1.989461667923128516e+02,-2.490698654883893415e+00,2.526527714888806120e+00,8.575440475992613187e+01,6.334887234836133985e+01,8.958946373362142168e-02,-6.948884012157867662e-01,-6.026578386647269969e-01,-2.937237471210379369e-01,6.949314342557328938e-01,-7.786563003866677768e-01,-2.490683590372278378e+00,2.524514049711059638e+00,2.433518016381999993e-01,8.973943769100192758e-02,-1.795752156116545484e+00,1.745857749324391861e+00,-3.805289187797146755e-01,1.914145169302618354e+00,4.996142343111901196e-01,2.430538465907582449e-02,4.757281327741897381e-01,8.075167073555854225e-02,5.110310540927244238e-01,-9.140570295388085187e-01,9.282388472105428390e-01,1.129991433067655260e-01,3.528597498217174444e-02,2.221003057636919964e-01,2.310942401496032458e-03,5.883507297805000819e-06
