time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel
0.000000000000000000e+00,6.923266371762137883e-01,-6.347770000000000357e-01,0.000000000000000000e+00,-1.633143185204870533e+05,-6.923266371762137883e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.802465536759915994e+05,-1.807227292212368611e-14,1.991156868371094735e+00,4.677686999999999706e+00,0.000000000000000000e+00,-4.194730055935257042e+03,2.683483505547308745e+00,4.677686999999999706e+00,0.000000000000000000e+00,-3.831575225823596702e+05,7.616022791177721429e-14,6.923266371762140103e-01,6.923266371762137883e-01,-6.347770000000000357e-01,-6.923266371762137883e-01,0.000000000000000000e+00,2.683483505547308745e+00,4.677686999999999706e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.991156868371094957e+00,4.677686999999999706e+00
1.000586863855036689e-03,6.916696085456404131e-01,-6.755625431352044741e-01,-4.057978394290324786e+01,3.470272453058202018e+02,-6.922751004511672468e-01,9.491514843474656293e-02,9.434358318875833049e+01,-9.813988252222801520e+02,-6.924741372521246718e-02,1.995836756136352363e+00,4.676298084541945954e+00,-2.065706599851821146e+00,-5.883452228309805832e+03,2.688111856587520165e+00,4.581382936107199377e+00,-9.705154705990238995e+01,-1.688060747962108508e+03,-3.646050134573416285e-02,6.922751004511678019e-01,6.916708744885557980e-01,-6.758984553395154249e-01,-6.922786862108543104e-01,9.595992417740045743e-02,2.688114656325687246e+00,4.579779075041161107e+00,-2.513917505475371256e-03,8.771531756531598598e-04,1.995835970114832936e+00,4.675738999218561176e+00
2.001173727710073378e-03,6.909692552618503791e-01,-7.159858136017385188e-01,-4.021273183824450115e+01,3.565810434222079834e+02,-6.921217021688156334e-01,1.888034844006487578e-01,9.330362684530474837e+01,-1.007399775587831073e+03,-1.384948274504068655e-01,2.000513797261791904e+00,4.672259925834957528e+00,-5.032505036110500818e+00,-4.390143543608083746e+03,2.692635499430608093e+00,4.483456441434308992e+00,-9.865955675445258066e+01,-1.658489310627951227e+03,-7.292100269154445924e-02,6.921217021688161886e-01,6.909740733890883391e-01,-7.169214069956358903e-01,-6.921345197813741912e-01,1.916101195194161166e-01,2.692649315285411404e+00,4.483951129926036394e+00,-4.174250700583317063e-03,-2.690684683951916414e-03,2.000514795504037213e+00,4.675561249445452816e+00
3.001760591565110284e-03,6.902262276537063368e-01,-7.560369266679590750e-01,-3.983579838195121425e+01,3.661201236794657348e+02,-6.918682601683412425e-01,2.816378642317143299e-01,9.223653373033690173e+01,-1.033345627914742408e+03,-2.077422411756012777e-01,2.005185354988192614e+00,4.665573005979377186e+00,-7.787623484797103757e+00,-3.848571093644275606e+03,2.697053615156533635e+00,4.383935141747663522e+00,-1.002399406490631293e+02,-1.629013206045410698e+03,-1.093815040373548042e-01,6.918682601683410205e-01,6.902361737182978185e-01,-7.580654872488105100e-01,-6.918951215458175596e-01,2.876673745306464469e-01,2.697087532495807238e+00,4.387174027586582703e+00,-9.001411107852243590e-03,-1.065892807770849743e-02,2.005192410949989679e+00,4.674841402117229094e+00
4.002347455420146756e-03,6.894411760500714914e-01,-7.957059976022227143e-01,-3.944898346351653373e+01,3.756438071228012632e+02,-6.915165922889263683e-01,3.733911442619510246e-01,9.114230335611445355e+01,-1.059233376294008849e+03,-2.769896549007956899e-01,2.009848792556330199e+00,4.656237807075545021e+00,-1.048850906872475619e+01,-3.565162504513018121e+03,2.701365384845257012e+00,4.282846662813593497e+00,-1.017926997593763048e+02,-1.599626515742180118e+03,-1.458420053831651075e-01,6.915165922889268124e-01,6.894570103382552384e-01,-7.993274791842229776e-01,-6.915588110367844044e-01,3.841235396886289455e-01,2.701428417706762009e+00,4.289331747881396595e+00,-1.645886987229281534e-02,-2.056054891744445168e-02,2.009869606669977493e+00,4.673455287570025263e+00
5.002934319275183228e-03,6.886147507798088263e-01,-8.349831416728854538e-01,-3.905228696427572999e+01,3.851513644434851358e+02,-6.910685163697528610e-01,4.640361808253666287e-01,9.002093519428130719e+01,-1.085059763041098222e+03,-3.462370686259900743e-01,2.014501473206984805e+00,4.644254811223806456e+00,-1.316725724548243193e+01,-3.390055202988561177e+03,2.705569989576737555e+00,4.180218630398440105e+00,-1.033178350150481322e+02,-1.570323819338658495e+03,-1.823025067289754109e-01,6.910685163697527500e-01,6.886365334470007094e-01,-8.406950874217389291e-01,-6.911261907905211777e-01,4.809436422244834919e-01,2.705670789703756629e+00,4.190321839791429248e+00,-2.707195365823270722e-02,-3.238554743921304158e-02,2.014544598913235340e+00,4.671265482015912518e+00
6.003521183130220568e-03,6.877476021717815469e-01,-8.738584741483045315e-01,-3.864570875669349448e+01,3.946420115771798578e+02,-6.905258502500032369e-01,5.535458302559692623e-01,8.887242867175238814e+01,-1.110821253004864047e+03,-4.154844823511844587e-01,2.019140760180932581e+00,4.629624500524506026e+00,-1.583465236097141826e+01,-3.270856412196649217e+03,2.709666610430935929e+00,4.076078670268536541e+00,-1.048153472685706618e+02,-1.541100143681287364e+03,-2.187630080747857697e-01,6.905258502500033480e-01,6.877745948977690427e-01,-8.821517547795257874e-01,-6.905962614209675277e-01,5.780793926671378147e-01,2.709813513643726246e+00,4.090076059939398156e+00,-4.066395776396425354e-02,-4.564040539314393602e-02,2.019217252222758496e+00,4.668155452606535860e+00
7.004108046985257040e-03,6.868403805548521923e-01,-9.123221102968358531e-01,-3.822924870357453386e+01,4.041149047659757798e+02,-6.898904117688595683e-01,6.418929488877660461e-01,8.769678316608268176e+01,-1.136514004588456146e+03,-4.847318960763788986e-01,2.023764016718951897e+00,4.612347357077977605e+00,-1.849533748557184154e+01,-3.184350417066626960e+03,2.713654428487811465e+00,3.970454408190212892e+00,-1.062852373030059852e+02,-1.511950918202275716e+03,-2.552235094205960730e-01,6.898904117688595683e-01,6.868711612569692315e-01,-9.236727039164418507e-01,-6.899692119155397263e-01,6.754577498827004645e-01,2.713855265676432094e+00,3.988557452010621951e+00,-5.786611780596295079e-02,-6.037290477478447770e-02,2.023886053760892256e+00,4.664015201893322526e+00
8.004694910840293512e-03,6.858937362578840791e-01,-9.503641653868364347e-01,-3.780290665718591470e+01,4.135691351199222368e+02,-6.891640187655041494e-01,7.290503930547651557e-01,8.649399800023891771e+01,-1.162133837033645023e+03,-5.539793098015732831e-01,2.028368606061820678e+00,4.592423862984572835e+00,-2.115164114823742736e+01,-3.118637286663016312e+03,2.717532624827324828e+00,3.863373469929808124e+00,-1.077275058388275539e+02,-1.482871935680002025e+03,-2.916840107664063764e-01,6.891640187655041494e-01,6.859261439478320233e-01,-9.652305825379091653e-01,-6.892444879847815509e-01,7.729976464930141677e-01,2.717794824684292454e+00,3.885750502061640965e+00,-7.827232790369330340e-02,-7.622974121111796009e-02,2.028550336699511014e+00,4.658748148554654911e+00
9.005281774695330851e-03,6.849083196097399684e-01,-9.879747546866624042e-01,-3.736668245827918611e+01,4.230037225051192422e+02,-6.883484890791191635e-01,8.149910190909747110e-01,8.526407243668171532e+01,-1.187676193351600659e+03,-6.232267235267676675e-01,2.032951891450315962e+00,4.569854500344628256e+00,-2.380485974839339036e+01,-3.066977198282810605e+03,2.721300380529435792e+00,3.754863481253653656e+00,-1.091421535399564391e+02,-1.453859317246164665e+03,-3.281445121122167352e-01,6.883484890791198296e-01,6.849395540768167256e-01,-1.006792511917802946e+00,-6.884222412320347706e-01,8.706014445296760274e-01,2.721630846557506533e+00,3.781659625625996224e+00,-1.025721065345051725e-01,-9.330570128384899076e-02,2.033208605325471652e+00,4.652261070155672584e+00
1.000586863855036646e-02,6.838847809392829546e-01,-1.025143993464670666e+00,-3.692057593499937695e+01,4.324176087694850708e+02,-6.874456405488866828e-01,8.996876833304016108e-01,8.400700567065540270e+01,-1.213136098218365305e+03,-6.924741372519620519e-01,2.037511236125216563e+00,4.544639751258488403e+00,-2.645577237619624000e+01,-3.025263389690275744e+03,2.724956876674103246e+00,3.644952067928087125e+00,-1.105291810191052804e+02,-1.424909481669263641e+03,-3.646050134580269830e-01,6.874456405488866828e-01,6.839113780490795325e-01,-1.048324406954640464e+00,-6.875022569883660895e-01,9.681677302047674294e-01,2.725362103010151582e+00,3.676301564379225173e+00,-1.301880766494687425e-01,-1.113343206428926840e-01,2.037859846021785604e+00,4.644469294583992713e+00
1.100645550240540380e-02,6.828237705753760212e-01,-1.061861996989217127e+00,-3.646458690166625161e+01,4.418096501074968501e+02,-6.864572910139890016e-01,9.831132421070544192e-01,8.272279682255289401e+01,-1.238508110069515169e+03,-7.617215509771564363e-01,2.042044003327299961e+00,4.516780097826495144e+00,-2.910487543751352035e+01,-2.990849250801985818e+03,2.728501294341288741e+00,3.533666855719440836e+00,-1.118885888425294439e+02,-1.396019117804941061e+03,-4.010655148038372864e-01,6.864572910139887796e-01,6.828416857572771059e-01,-1.089788615910271208e+00,-6.864847782330542048e-01,1.065584481680220907e+00,2.728987298671464945e+00,3.569704756729145334e+00,-1.618490809081236104e-01,-1.304503509869169853e-01,2.042502520438410851e+00,4.635289238409366241e+00
1.200704236626044114e-02,6.817259388468823733e-01,-1.098118880528659247e+00,-3.599871515740731098e+01,4.511786085724256168e+02,-6.853852583136085252e-01,1.065240551754940590e+00,8.141144492920719244e+01,-1.263786266358247076e+03,-8.309689647023510428e-01,2.046547556297343196e+00,4.486276022148992126e+00,-3.175250020224700620e+01,-2.961951688685151566e+03,2.731932814610952054e+00,3.421035470394051536e+00,-1.132203775342508862e+02,-1.367185160263465150e+03,-4.375260161496477562e-01,6.853852583136088583e-01,6.817305477638089251e-01,-1.131147121612185114e+00,-6.853699025838626557e-01,1.162738525422240654e+00,2.732505242999990980e+00,3.461904216241713961e+00,-1.968483088149842741e-01,-1.504345336841207137e-01,2.047135340416128102e+00,4.624642741663954837e+00
1.300762923011547674e-02,6.805919360826645503e-01,-1.133904759351352709e+00,-3.552296048462486766e+01,4.605231424550442512e+02,-6.842313602869271039e-01,1.146042468608067688e+00,8.007294893393051893e+01,-1.288964020897439013e+03,-9.002163784275453162e-01,2.051019258276125523e+00,4.453128006326320332e+00,-3.439887620028328286e+01,-2.937325188830892785e+03,2.735250618563052960e+00,3.307085537718251977e+00,-1.145245475798297292e+02,-1.338404767537580256e+03,-4.739865174954578930e-01,6.842313602869274369e-01,6.805781009782756463e-01,-1.172359843545483171e+00,-6.841580258128493464e-01,1.259510651222061073e+00,2.735914729815982938e+00,3.352940608108572640e+00,-2.359406103528192411e-01,-1.714576601817069945e-01,2.051756704003133702e+00,4.612451259330633491e+00
1.400821609397051408e-02,6.794224126115857576e-01,-1.169209748725654752e+00,-3.503732264727117496e+01,4.698417955378415058e+02,-6.829974147731270318e-01,1.225491849000444056e+00,7.870730767508365489e+01,-1.314034171860081415e+03,-9.694637921527394786e-01,2.055456472504423537e+00,4.417336532458820741e+00,-3.704416749457784874e+01,-2.916073259054625851e+03,2.738453887277550347e+00,3.191844683458376686e+00,-1.158010994297296037e+02,-1.309675302538640835e+03,-5.104470188412683074e-01,6.829974147731268097e-01,6.793845048849032064e-01,-1.213386763557649850e+00,-6.828495458191002898e-01,1.355781856002235219e+00,2.739214627596248341e+00,3.242857800683122793e+00,-2.783254785342814119e-01,-1.933194333145635269e-01,2.056365081777148163e+00,4.598639656685358013e+00
1.500880295782554968e-02,6.782180187625090895e-01,-1.204023963919921281e+00,-3.454180138890187379e+01,4.791329848974497736e+02,-6.816852396113904922e-01,1.303561549266077257e+00,7.731451987291833916e+01,-1.338988778811829434e+03,-1.038711205877934196e+00,2.059856562223016052e+00,4.378902082646838778e+00,-3.968849446835833561e+01,-2.897534089221202066e+03,2.741541801834406211e+00,3.075340533380761521e+00,-1.170500335023379535e+02,-1.280994315118204440e+03,-5.469075201870786662e-01,6.816852396113901591e-01,6.781497605023752984e-01,-1.254185342789154944e+00,-6.814445714003328769e-01,1.451426085613747308e+00,2.742403228974253704e+00,3.131696039165148715e+00,-3.247615977949365740e-01,-2.162220408757372092e-01,2.060958657573920938e+00,4.583122124778896023e+00
1.600938982168058702e-02,6.769794048642974182e-01,-1.238337520202508646e+00,-3.403639643047957009e+01,4.883949871314381994e+02,-6.802966526408998904e-01,1.380224425738974414e+00,7.589458411438178587e+01,-1.363819066738538368e+03,-1.107958619603128358e+00,2.064216890672678772e+00,4.337825138990714535e+00,-4.233194745444786378e+01,-2.881208424576004290e+03,2.744513543313578552e+00,2.957600713251740565e+00,-1.182713501866742121e+02,-1.252359526381202613e+03,-5.833680215328889140e-01,6.802966526408997794e-01,6.768745572378911390e-01,-1.294719175793722865e+00,-6.799447576106708580e-01,1.546334763259014311e+00,2.745480871073796347e+00,3.019509827442577343e+00,-3.745964421761484586e-01,-2.400210649187545509e-01,2.065536113463125378e+00,4.565844590701591876e+00
