time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,k0,costToGo
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.661046489012819075e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.721115051010255411e+05,1.588893736215990852e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.506269245498059900e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.154655556246493143e+04,-2.424050815016439651e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.366173058348212732e-03,-2.571573726720318429e-04,0.000000000000000000e+00,0.000000000000000000e+00,-8.213502009673136206e-02,1.014604265328818838e-01,4.677834094024135164e-02,-1.260517812886078823e-02,2.897369818142719877e-01,1.262430101426978597e-02,-1.057201014542060030e-01,-5.918709259173079301e-02,2.693200527022688306e-01,-5.245580946867748826e-03,-1.220466334197187371e-02,2.163924041193586167e-01,-8.366173058332324400e-03,0.000000000000000000e+00
1.000494783298093047e-03,9.539663460992777166e-06,1.663647492063628427e-02,1.656303130661159528e+01,-1.229921268381453672e+02,-2.486702342179376838e-05,-4.300628698748271139e-02,-4.285672465487865423e+01,2.386992796618367834e+02,2.131120183389224182e-03,-2.135519607670893086e-05,-3.743603202001468538e-02,-3.690182925232029731e+01,9.629393905990193616e+02,3.511827345084837098e-06,5.570254967468021672e-03,5.923892564835427699e+00,9.048768803078551173e+02,1.100248218188283611e-02,2.486702342179376838e-05,8.000627805990072314e-06,1.603217265482868512e-02,-2.062520490819213579e-05,-4.134228729368184113e-02,2.583909448557056211e-06,5.285084747577512704e-03,1.036178954325631639e-02,1.096221771852146434e-02,-1.804129545963507916e-05,-3.605720254610432496e-02,-8.257554551092219364e-02,9.908194837526250465e-02,4.682446324795525722e-02,-1.254959476684019103e-02,2.897702465291716045e-01,1.264346079212275500e-02,-1.066801635167732992e-01,-5.881566997249133844e-02,2.684888500915612597e-01,-5.106560280954902144e-03,-1.216232987995479950e-02,2.163324556122414588e-01,-8.597436434523935897e-03,9.330029125739005082e-08
2.000989566596186094e-03,3.794313029601988318e-05,3.314296264744870379e-02,1.643043777143591200e+01,-1.281408347907914163e+02,-9.894160751772620272e-05,-8.575662281055697334e-02,-4.259354177671313124e+01,2.530220309448128830e+02,4.262240366762560032e-03,-8.447033716494235095e-05,-7.385420350239091380e-02,-3.587853328538804476e+01,9.718907342029740448e+02,1.447127035278386024e-05,1.190241930816607861e-02,6.686651094057422640e+00,8.849067718417115884e+02,2.200496436378991671e-02,9.894160751772621627e-05,3.185763561019836149e-05,3.200705831296389581e-02,-8.217692534381176861e-05,-8.261249276707179068e-02,1.073081925666631868e-05,1.122986909279329558e-02,1.241207105764907150e-02,2.067787778271011970e-02,-7.144610608714544993e-05,-7.138262367427850030e-02,-8.301637480654193435e-02,9.644960737600327683e-02,4.685253639003843923e-02,-1.249227694108110548e-02,2.897983446388730511e-01,1.266161612684500032e-02,-1.076409603215449790e-01,-5.840166274324526396e-02,2.676475426483360676e-01,-4.965191095417553074e-03,-1.211849339718763276e-02,2.162722599729501871e-01,-9.065244515174954859e-03,3.376898157563317781e-07
3.001484349894278925e-03,8.488711518315441207e-05,4.951416613979588155e-02,1.629254847594648581e+01,-1.332813939066465423e+02,-2.214340230336240070e-04,-1.282363786970760478e-01,-4.231573407902523343e+01,2.673248646643960456e+02,6.393360550135895014e-03,-1.879197525518601169e-04,-1.092433491166624332e-01,-3.484405218029131390e+01,9.806847695621274852e+02,3.351427048176382916e-05,1.899302958041360762e-02,7.445336582545819759e+00,8.682593617120901399e+02,3.300744654569699038e-02,2.214340230336239528e-04,7.223587755956784864e-05,4.792359730692644787e-02,-1.864488156416713107e-04,-1.238143959585830262e-01,2.537238898228563858e-05,1.790089294925329214e-02,1.450495391368171461e-02,3.120435729328090158e-02,-1.610764266593856789e-04,-1.059135030093297375e-01,-8.345791861858241345e-02,9.357525233566504896e-02,4.686402686433594617e-02,-1.243374179249804624e-02,2.898229098578551932e-01,1.267905331640079188e-02,-1.086023349530717275e-01,-5.794580149802452257e-02,2.667964556754109928e-01,-4.821407565257454335e-03,-1.207337698669323257e-02,2.162117911972014361e-01,-9.403025266526194095e-03,6.869569916893605125e-07
4.001979133192372189e-03,1.500483328004695934e-04,6.574478835703644053e-02,1.614936336149936480e+01,-1.384134428308286999e+02,-3.915545407153137362e-04,-1.704309258748931688e-01,-4.202330144371046572e+01,2.816070517968523745e+02,8.524480733509229996e-03,-3.302777715246223156e-04,-1.435923035323631303e-01,-3.379838323214696061e+01,9.893044742173457280e+02,6.127676919069152900e-05,2.683862234253004894e-02,8.200120794700524129e+00,8.540221924656018473e+02,4.400992872760407099e-02,3.915545407153138446e-04,1.280187971119730326e-04,6.376379704051650388e-02,-3.306599898729907245e-04,-1.649124927517311989e-01,4.702680652148048742e-05,2.537043598936267186e-02,1.661726086949185874e-02,4.183911633089804766e-02,-2.836331833515102303e-04,-1.395420567623685271e-01,-8.390033090761896128e-02,9.047262065131728148e-02,4.686016287793429852e-02,-1.237392276425123595e-02,2.898439559411198907e-01,1.269576692805915279e-02,-1.095641567310730730e-01,-5.744928909425543739e-02,2.659359055887350887e-01,-4.675200072754330353e-03,-1.202697559535073103e-02,2.161510651911430492e-01,-9.696161676673484622e-03,1.119282178844892244e-06
5.002473916490465453e-03,2.331034978260384703e-04,8.182953225852897250e-02,1.600088236461557756e+01,-1.435365903511367094e+02,-6.085134313086223686e-04,-2.123256355718616817e-01,-4.171624374228603216e+01,2.958677994412612406e+02,1.065560091688256411e-02,-5.101187233703887054e-04,-1.768899014190268848e-01,-3.274152333528057568e+01,9.977302681238952573e+02,9.839470793823373092e-05,3.543573415283483852e-02,8.951116656182785292e+00,8.415892735357182346e+02,5.501241090951115159e-02,6.085134313086224770e-04,2.010317916006950484e-04,7.953878687566273697e-02,-5.195961056408133615e-04,-2.059158658213759707e-01,7.704871576939627980e-05,3.354878144693892311e-02,1.873165752549972238e-02,5.248552438966262723e-02,-4.425473898714171088e-04,-1.723670843744370407e-01,-8.434359324786466772e-02,8.715162479148726160e-02,4.684187177159480908e-02,-1.231285448312864107e-02,2.898615993856263895e-01,1.271182470606865324e-02,-1.105263350348640178e-01,-5.691254350425482833e-02,2.650662607554009065e-01,-4.526549512401016086e-03,-1.197928233321434756e-02,2.160900877636368345e-01,-9.944850767176547854e-03,1.594490316899014050e-06
6.002968699788557849e-03,3.337293249379342012e-04,9.776310080363216637e-02,1.584710541655047855e+01,-1.486504127176430927e+02,-8.715209655593763542e-04,-2.539058790158347789e-01,-4.139456083507051432e+01,3.101062457058451969e+02,1.278672110025589996e-02,-7.260169373763191531e-04,-2.091249774461873268e-01,-3.167346890617400135e+01,1.005939514600126472e+03,1.455040281830571197e-04,4.478090156964741053e-02,9.698401460870389457e+00,8.305422598021378917e+02,6.601489309141821138e-02,8.715209655593762457e-04,2.860271618423119631e-04,9.521497209004804729e-02,-7.397276619224254276e-04,-2.467484679547945481e-01,1.136086992992144963e-04,4.240106373640323278e-02,2.085014387176695183e-02,6.317615477853255612e-02,-6.261189626232109041e-04,-2.043474042183913153e-01,-8.478787865606492169e-02,8.362622318299732516e-02,4.681022541537602222e-02,-1.225051180568687004e-02,2.898759729462871970e-01,1.272723863479955850e-02,-1.114887341408369870e-01,-5.633686202031118473e-02,2.641878308427962341e-01,-4.375440507709384488e-03,-1.193030966512601335e-02,2.160288711016370988e-01,-1.014987900349233370e-02,2.204420999478736311e-06
7.003463483086651113e-03,4.516025288142299851e-04,1.135401969517045168e-01,1.568803244281285814e+01,-1.537544506381469489e+02,-1.179787414213402360e-03,-2.951570274346658196e-01,-4.105825257026780406e+01,3.243214540012791645e+02,1.491784128362923581e-02,-9.765467428295737965e-04,-2.402863662833785718e-01,-3.059421578792377616e+01,1.013905899635778042e+03,2.032406713838285630e-04,5.487066115128720611e-02,1.044202989706294815e+01,8.205829780725646287e+02,7.701737527332529198e-02,1.179787414213402360e-03,3.897682348076829807e-04,1.108005479893552636e-01,-1.008727893488557941e-03,-2.874301031539338580e-01,1.613318360249479911e-04,5.208180222883481564e-02,2.297682805593971936e-02,7.395542940963528711e-02,-8.473960574636099771e-04,-2.353483009250990354e-01,-8.523303937345226566e-02,7.990733233010964554e-02,4.676594410572766647e-02,-1.218679986909057718e-02,2.898868265024209245e-01,1.274201125460291614e-02,-1.124512772611410277e-01,-5.572293032917283867e-02,2.633009859922685880e-01,-4.221869862456801778e-03,-1.187999862984664805e-02,2.159674295703483959e-01,-1.031222534124079035e-02,2.825813056852601810e-06
8.003958266384744377e-03,5.863998241329989669e-04,1.291555236621047542e-01,1.552366336262625524e+01,-1.588482059223838689e+02,-1.532523048016527648e-03,-3.360644520562079407e-01,-4.070731878294340333e+01,3.385124066553267994e+02,1.704896146700257339e-02,-1.260282469017312773e-03,-2.703629026001342917e-01,-2.950375913082073964e+01,1.021598653458417289e+03,2.722405789992148745e-04,6.570154945607367680e-02,1.118204174852304966e+01,8.114931355665430601e+02,8.801985745523237259e-02,1.532523048016527648e-03,5.092787185626101824e-04,1.262781159412073584e-01,-1.318913106106208788e-03,-3.279133572239515959e-01,2.190241257753075771e-04,6.250437670318093053e-02,2.510351224011248689e-02,8.473470404073801809e-02,-1.099888980330901130e-03,-2.654089805207706654e-01,-8.567918596210385984e-02,7.600818410248889878e-02,4.670986232746091038e-02,-1.212172313343108480e-02,2.898943176615193518e-01,1.275617445970476764e-02,-1.134138396713377239e-01,-5.507194817020891198e-02,2.624060481105271458e-01,-4.065819349908673247e-03,-1.182836030643031298e-02,2.159057716769620106e-01,-1.043298136575661166e-02,3.516906250533763913e-06
9.004453049682836774e-03,7.377979255723144270e-04,1.446037838941914566e-01,1.535399808832474378e+01,-1.639311377063775694e+02,-1.928938137714577856e-03,-3.766135241083144458e-01,-4.034175929387900794e+01,3.526779977730305404e+02,1.918008165037591098e-02,-1.575798445226695354e-03,-2.993434210659882688e-01,-2.840209324178513484e+01,1.028981565529209320e+03,3.531396924878827726e-04,7.727010304232621862e-02,1.191846664811941103e+01,8.031092309812294161e+02,9.902233963713946707e-02,1.928938137714578073e-03,6.419850162480177699e-04,1.416331793330126987e-01,-1.663683820857352795e-03,-3.681596261971963879e-01,2.861816366553425841e-04,7.361641398838798811e-02,2.722818475035498550e-02,9.560030327516164106e-02,-1.377502184202010265e-03,-2.945432122088084137e-01,-8.612657916110506851e-02,7.194422976902140054e-02,4.664294574828049822e-02,-1.205528098201447476e-02,2.898987026958945723e-01,1.276974265683306249e-02,-1.143762657785375586e-01,-5.438558675190862529e-02,2.615033037207035171e-01,-3.907269861056413343e-03,-1.177542999463235956e-02,2.158439076767192932e-01,-1.051300521265976541e-02,4.390417655390119360e-06
