time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.584567004685508437e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.698473637293446227e+05,6.451188484906759886e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500416318503259099e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.987094535774812539e+04,1.122335649552134087e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000428376987204946e-03,7.140547532473362370e-06,1.624163292499724784e-02,1.576709667887125477e+01,-8.357292807475154177e+02,-1.821220736163078693e-05,-4.183551922823824931e-02,-4.049275536945783216e+01,2.337868622910331396e+03,8.313112841982436135e-03,-1.638142425667358292e-05,-3.713376529513018331e-02,-3.630064145176843482e+01,1.507014667427607947e+03,1.830783104957202946e-06,4.701753933108057323e-03,4.159493210347871894e+00,-6.064937829428243958e+02,-6.640320381445947648e-03,1.821220736163078693e-05,8.040102851222240027e-06,1.618846047957851406e-02,-2.070440807210055550e-05,-4.171082902776553081e-02,2.393293576552480642e-06,4.856451988165958258e-03,1.186569201291221703e-04,-3.861299695275170556e-04,-1.831111449554807401e-05,-3.685437703959957428e-02
2.000856753974409891e-03,2.809232479619365810e-05,3.157389310099859014e-02,1.486093528907699479e+01,-8.252337276003290754e+02,-7.151283462519671629e-05,-8.110160686456836798e-02,-3.793174676865670847e+01,2.305817005653363594e+03,1.662622568390035790e-02,-6.475869343627411936e-05,-7.266760906754436700e-02,-3.470843244353794432e+01,1.489179583553491511e+03,6.754141188922604555e-06,8.433997797024032211e-03,3.176327598164594423e+00,-4.798056314714254995e+02,-1.328064076289301766e-02,7.151283462519672984e-05,3.274404366556204842e-05,3.257860642197676904e-02,-8.438364676254172462e-05,-8.397140952926743229e-02,9.826961657093658372e-06,9.762926355580615195e-03,7.514521077466076657e-03,-3.132309206992931697e-03,-7.455668510544806286e-05,-7.420848317368682057e-02
3.001285130961615054e-03,6.215053379061120605e-05,4.600360588981496079e-02,1.396152527744376393e+01,-8.142847805189925339e+02,-1.578978895587081037e-04,-1.178171288321610416e-01,-3.538931069770348614e+01,2.271930392258799202e+03,2.493933852581828314e-02,-1.439813021531711926e-04,-1.066165198083722787e-01,-3.313116597757969117e+01,1.471097012716109475e+03,1.391658740553689081e-05,1.120060902378878370e-02,2.183630133224044645e+00,-2.147781105268996100e+02,-1.992096114434008247e-02,1.578978895587080766e-04,7.299135798295975600e-05,4.826929206768013070e-02,-1.880654767306982216e-04,-1.242727463233507662e-01,2.172505801938723723e-05,1.406866739295800119e-02,1.664541398309399289e-02,-6.728898857035514255e-03,-1.663404187113109946e-04,-1.102040789303927598e-01
4.001713507948819783e-03,1.086103765151763014e-04,5.953759665325732142e-02,1.306885303311465663e+01,-8.027933889660683917e+02,-2.753633799301751970e-04,-1.520009510541869557e-01,-3.286538521066240293e+01,2.235798628752988861e+03,3.325245136773620491e-02,-2.528987450217344535e-04,-1.389954860087437849e-01,-3.156883685005006868e+01,1.452733839077638322e+03,2.246463490844074345e-05,1.300546504544318124e-02,1.152424373608657016e+00,4.697947240427426436e+02,-2.656128152578715249e-02,2.753633799301751970e-04,1.289414681343962490e-04,6.306781447981363309e-02,-3.319722730827265019e-04,-1.620734896432102778e-01,3.765473784353279540e-05,1.759683178795268949e-02,2.707100184221425052e-02,-1.107271366610082519e-02,-2.943175352391937268e-04,-1.444766578552575953e-01
5.002141884936024512e-03,1.667670549693393129e-04,7.218269075313663019e-02,1.218290123346110398e+01,-7.906455268232165281e+02,-4.219053135076085794e-04,-1.836719394538167960e-01,-3.035988903456773613e+01,2.196879305525531436e+03,4.156556420965412668e-02,-3.903605166563336787e-04,-1.698194961597887243e-01,-3.002143890362415490e+01,1.434050770944182204e+03,3.154479685127486690e-05,1.385244329402809602e-02,0.000000000000000000e+00,-2.531814658075218460e+02,-3.320160190723420862e-02,4.219053135076085252e-04,1.987184091064798843e-04,7.694580875436858591e-02,-5.110876110059667634e-04,-1.972906324137311818e-01,5.658533673303402223e-05,2.028862241123960755e-02,3.800209369330350556e-02,-1.596574006410731231e-02,-4.545022742729327276e-04,-1.770020100024915777e-01
6.002570261923230108e-03,2.359157711525505688e-04,8.394571355126384526e-02,1.130364748625797944e+01,-7.776927632655505249e+02,-5.955196980590185497e-04,-2.128489599542212340e-01,-2.787271339436778561e+01,2.154439665890760352e+03,4.987867705157205539e-02,-5.552161116713386036e-04,-1.991035387526368383e-01,-2.848896479868865228e+01,1.415000830149283047e+03,4.030358638767995283e-05,1.374542120158438879e-02,-1.942838373586455725e-01,-2.795027920146597808e+03,-3.984192228868128904e-02,5.955196980590185497e-04,2.822995050518866127e-04,8.981210428645906851e-02,-7.251021810721972050e-04,-2.296683089169317682e-01,7.785352275332339117e-05,2.206785292671157098e-02,4.921339840920090775e-02,-2.131770770745829158e-02,-6.472486583188738138e-04,-2.076004559902202007e-01
7.002998638910434837e-03,3.153517270642603159e-04,9.483349040944989705e-02,1.043106232875091877e+01,-7.637382053377123157e+02,-7.942025413524152980e-04,-2.395508784785709833e-01,-2.540370930487538814e+01,2.107464869076558898e+03,5.819178989348998410e-02,-7.463150246811185847e-04,-2.268626022784181184e-01,-2.697140571532574427e+01,1.395527374958970086e+03,4.788751667129666586e-05,1.268827620015291341e-02,-1.383396718642614154e+00,-1.713204833862749410e+03,-4.648224267012836947e-02,7.942025413524152980e-04,3.781344006720614151e-04,1.016777223717063167e-01,-9.698087306924577751e-04,-2.592359545832121914e-01,1.004279717046624454e-04,2.285785500165721240e-02,6.042840640429320703e-02,-2.679450143507259435e-02,-8.693807589877953568e-04,-2.363780995815549790e-01
8.003427015897639565e-03,4.043701247039188824e-04,1.048528466895057160e-01,9.565106197798732168e+00,-7.485149199185433417e+02,-1.015949851155809177e-03,-2.637965609500366737e-01,-2.295266709871116007e+01,2.054507371599812359e+03,6.650490273540791974e-02,-9.625067503000434661e-04,-2.531116752282621118e-01,-2.546875096037052799e+01,1.375561479164783123e+03,5.344310085576568412e-05,1.068488572177455492e-02,-2.383835115459243426e+00,-1.432845584276263253e+03,-5.312256305157543601e-02,1.015949851155809177e-03,4.854139380387007202e-04,1.125168704650363338e-01,-1.242868147443609893e-03,-2.859176355157886928e-01,1.233779982443814242e-04,2.284294260357810566e-02,7.144844965102055412e-02,-3.265189119458199868e-02,-1.119490149199228388e-03,-2.630746929122105837e-01
9.003855392884844294e-03,5.022661660709764339e-04,1.140106077532422740e-01,8.705724695949253800e+00,-7.316516691279765610e+02,-1.258757635237209944e-03,-2.856048732917889077e-01,-2.051928202884521113e+01,1.993427874655837286e+03,7.481801557732582764e-02,-1.202640783142481899e-03,-2.778657460932987266e-01,-2.398098744228658319e+01,1.355018408576099773e+03,5.611685209472775353e-05,7.739127198490175844e-03,-3.349091583281685214e+00,-1.299531329041863046e+03,-5.976288343302248868e-02,1.258757635237209727e-03,6.029824698711484538e-04,1.223522134342941159e-01,-1.541075609515823270e-03,-3.097744696043955859e-01,1.457198075691727398e-04,2.173290371453133821e-02,8.218494328601931576e-02,-3.873342805257175975e-02,-1.395355801946650612e-03,-2.880415658898642373e-01
