time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,k0,costToGo
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.584567004685508437e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.698473637293446227e+05,6.451188484906759886e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500416318503259099e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.987094535774812539e+04,1.122335649552134087e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.727869826776969903e-03,-1.306803624700092915e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.099940003182953374e-01,4.281125623454366119e-02,-3.794288268948600024e-02,-4.513990553961981511e-02,6.376418868296165332e-01,2.227508882710704796e-02,-5.043274698825611635e-02,-2.282644542088851369e-01,1.259089904584353103e+00,1.033123497874477046e-03,-2.373120143845827007e-02,4.842301188228222975e-01,-9.727869826712457271e-03,0.000000000000000000e+00
1.000428376987204946e-03,7.140547532473362370e-06,1.624163292499724784e-02,1.576709667887125477e+01,-8.357292807475154177e+02,-1.821220736163078693e-05,-4.183551922823824931e-02,-4.049275536945783216e+01,2.337868622910331396e+03,8.313112841982436135e-03,-1.638142425667358292e-05,-3.713376529513018331e-02,-3.630064145176843482e+01,1.507014667427607947e+03,1.830783104957202946e-06,4.701753933108057323e-03,4.159493210347871894e+00,-6.064937829428243958e+02,-6.640320381445947648e-03,1.821220736163078693e-05,7.856283066163196826e-06,1.559880024274812663e-02,-2.019697553528882871e-05,-4.006521765988954598e-02,2.292056040761668788e-06,4.400237762792922995e-03,1.748956964952234558e-02,-7.926484881779648564e-03,-1.790491949452715950e-05,-3.566497989709662558e-02,-5.110136412904942027e-01,3.476225620757564250e-02,-3.895364505214515133e-02,-4.484117175910862924e-02,6.377705741865488109e-01,2.226194522162844650e-02,-5.062599601131272109e-02,-2.291569776220837296e-01,1.258145344870618576e+00,1.046483436182418488e-03,-2.374374314497942201e-02,4.842091536630546700e-01,-9.997843643174230202e-03,4.670891569643506943e-08
2.000856753974409891e-03,2.809232479619365810e-05,3.157389310099859014e-02,1.486093528907699479e+01,-8.252337276003290754e+02,-7.151283462519671629e-05,-8.110160686456836798e-02,-3.793174676865670847e+01,2.305817005653363594e+03,1.662622568390035790e-02,-6.475869343627411936e-05,-7.266760906754436700e-02,-3.470843244353794432e+01,1.489179583553491511e+03,6.754141188922604555e-06,8.433997797024032211e-03,3.176327598164594423e+00,-4.798056314714254995e+02,-1.328064076289301766e-02,7.151283462519672984e-05,3.107779707491675156e-05,3.043233008803285927e-02,-7.973465383034314445e-05,-7.792294009311001579e-02,8.421628386823708440e-06,7.636071422856897419e-03,2.560188327580215778e-02,-1.695659021587550205e-02,-7.131302544351942924e-05,-7.028686867025311924e-02,-5.120278726787537149e-01,2.657933822576103930e-02,-3.998427447891397118e-02,-4.453680896732922778e-02,6.378892053948611585e-01,2.224714766034817381e-02,-5.081796628398873444e-02,-2.300127003638535172e-01,1.257214437251422900e+00,1.059471964759508590e-03,-2.375459310951849590e-02,4.841889822730626736e-01,-1.103345532828892833e-02,1.509620609903782699e-07
3.001285130961615054e-03,6.215053379061120605e-05,4.600360588981496079e-02,1.396152527744376393e+01,-8.142847805189925339e+02,-1.578978895587081037e-04,-1.178171288321610416e-01,-3.538931069770348614e+01,2.271930392258799202e+03,2.493933852581828314e-02,-1.439813021531711926e-04,-1.066165198083722787e-01,-3.313116597757969117e+01,1.471097012716109475e+03,1.391658740553689081e-05,1.120060902378878370e-02,2.183630133224044645e+00,-2.147781105268996100e+02,-1.992096114434008247e-02,1.578978895587080766e-04,6.844685927205075831e-05,4.448355631086579193e-02,-1.752588345829164966e-04,-1.135489920482956744e-01,1.720088786896313953e-05,9.881849389476367665e-03,3.388447359768015366e-02,-2.440888417236221353e-02,-1.580579467139533469e-04,-1.036671426588193085e-01,-5.130333406583693634e-01,1.827988954484326134e-02,-4.103166215134886052e-02,-4.422868711948933079e-02,6.379986493883729182e-01,2.223156153113484829e-02,-5.100921064864263194e-02,-2.308318852388360487e-01,1.256298382827105931e+00,1.072180440193970952e-03,-2.376368808524143353e-02,4.841695004487375775e-01,-1.167395397683583524e-02,2.786051512472017126e-07
4.001713507948819783e-03,1.086103765151763014e-04,5.953759665325732142e-02,1.306885303311465663e+01,-8.027933889660683917e+02,-2.753633799301751970e-04,-1.520009510541869557e-01,-3.286538521066240293e+01,2.235798628752988861e+03,3.325245136773620491e-02,-2.528987450217344535e-04,-1.389954860087437849e-01,-3.156883685005006868e+01,1.452733839077638322e+03,2.246463490844074345e-05,1.300546504544318124e-02,1.152424373608657016e+00,4.697947240427426436e+02,-2.656128152578715249e-02,2.753633799301751970e-04,1.194495648790265985e-04,5.777673109674113378e-02,-3.052455954083931576e-04,-1.470162403996648770e-01,2.776590967939286791e-05,1.107735291053562471e-02,4.221596875996958681e-02,-3.166771683624442640e-02,-2.774796857290002931e-04,-1.359388874891292454e-01,-5.140337006632320627e-01,9.905478767840531287e-03,-4.209313474339899247e-02,-4.391733786737498507e-02,6.381026611613830335e-01,2.221498504929034917e-02,-5.119898595426209537e-02,-2.316201740228087114e-01,1.255398145673228605e+00,1.084712699734256261e-03,-2.377180787479959631e-02,4.841507646985389046e-01,-1.216242955536044230e-02,4.022122123111685944e-07
5.002141884936024512e-03,1.667670549693393129e-04,7.218269075313663019e-02,1.218290123346110398e+01,-7.906455268232165281e+02,-4.219053135076085794e-04,-1.836719394538167960e-01,-3.035988903456773613e+01,2.196879305525531436e+03,4.156556420965412668e-02,-3.903605166563336787e-04,-1.698194961597887243e-01,-3.002143890362415490e+01,1.434050770944182204e+03,3.154479685127486690e-05,1.385244329402809602e-02,0.000000000000000000e+00,-2.531814658075218460e+02,-3.320160190723420862e-02,4.219053135076085252e-04,1.839311736601402752e-04,7.028697516298700043e-02,-4.690403904783342322e-04,-1.782606126014230907e-01,3.925989999670710179e-05,1.145040391256885517e-02,5.061604108205665364e-02,-3.870008196625468466e-02,-4.297804904816271507e-04,-1.668102086888542390e-01,-5.150326844064300191e-01,1.497419499739886676e-03,-4.316586008763728666e-02,-4.360364421143983482e-02,6.382055195951343851e-01,2.219731293445901740e-02,-5.138652153366347203e-02,-2.323831813534409929e-01,1.254514661425710775e+00,1.097207488407253876e-03,-2.377980764428332464e-02,4.841328173756428987e-01,-1.252606914834625967e-02,5.083368581318891134e-07
6.002570261923230108e-03,2.359157711525505688e-04,8.394571355126384526e-02,1.130364748625797944e+01,-7.776927632655505249e+02,-5.955196980590185497e-04,-2.128489599542212340e-01,-2.787271339436778561e+01,2.154439665890760352e+03,4.987867705157205539e-02,-5.552161116713386036e-04,-1.991035387526368383e-01,-2.848896479868865228e+01,1.415000830149283047e+03,4.030358638767995283e-05,1.374542120158438879e-02,-1.942838373586455725e-01,-2.795027920146597808e+03,-3.984192228868128904e-02,5.955196980590185497e-04,2.600388855964204490e-04,8.199479520671737465e-02,-6.617162084971495769e-04,-2.072241124840563387e-01,5.056072796258610937e-05,1.090013909650576311e-02,5.904291075694190899e-02,-4.551868811515503987e-02,-6.111554805345634743e-04,-1.963239733875505877e-01,-5.160258866514512155e-01,-6.937813549811966927e-03,-4.424794515960617930e-02,-4.328665143881486183e-02,6.383019600063379873e-01,2.217879532596623432e-02,-5.157263117902825128e-02,-2.331200399671222723e-01,1.253649109599521472e+00,1.109397307314204930e-03,-2.378661563043280025e-02,4.841156471621320678e-01,-1.276688280031238777e-02,6.037789618906569047e-07
7.002998638910434837e-03,3.153517270642603159e-04,9.483349040944989705e-02,1.043106232875091877e+01,-7.637382053377123157e+02,-7.942025413524152980e-04,-2.395508784785709833e-01,-2.540370930487538814e+01,2.107464869076558898e+03,5.819178989348998410e-02,-7.463150246811185847e-04,-2.268626022784181184e-01,-2.697140571532574427e+01,1.395527374958970086e+03,4.788751667129666586e-05,1.268827620015291341e-02,-1.383396718642614154e+00,-1.713204833862749410e+03,-4.648224267012836947e-02,7.942025413524152980e-04,3.474448696322403264e-04,9.289649672725225349e-02,-8.822016087015730791e-04,-2.338986768043324616e-01,6.075967904856293615e-05,9.445132224606446469e-03,6.747373985166671417e-02,-5.221004747662039841e-02,-8.214419296530101836e-04,-2.244535445797260220e-01,-5.170127173577523383e-01,-1.538556614682958477e-02,-4.533744157471381042e-02,-4.296636674940560591e-02,6.383915429195556879e-01,2.215952558100314773e-02,-5.175740209985946888e-02,-2.338318985515302761e-01,1.252802389170621922e+00,1.121223047780445584e-03,-2.379212840479265692e-02,4.840992617247090735e-01,-1.288237018826027258e-02,6.915370629731134245e-07
8.003427015897639565e-03,4.043701247039188824e-04,1.048528466895057160e-01,9.565106197798732168e+00,-7.485149199185433417e+02,-1.015949851155809177e-03,-2.637965609500366737e-01,-2.295266709871116007e+01,2.054507371599812359e+03,6.650490273540791974e-02,-9.625067503000434661e-04,-2.531116752282621118e-01,-2.546875096037052799e+01,1.375561479164783123e+03,5.344310085576568412e-05,1.068488572177455492e-02,-2.383835115459243426e+00,-1.432845584276263253e+03,-5.312256305157543601e-02,1.015949851155809177e-03,4.455915551913499349e-04,1.029986243996841994e-01,-1.128828101446373126e-03,-2.583096689830022830e-01,6.901855421273587988e-05,6.986387807254857731e-03,7.590040123499072755e-02,-5.878994613061484104e-02,-1.059809547233637192e-03,-2.513232811757474261e-01,-5.179962038249181777e-01,-2.381811558073345172e-02,-4.643209860559632807e-02,-4.264361237543445871e-02,6.384780776803669067e-01,2.213943957066933158e-02,-5.194022427097226557e-02,-2.345224710729313100e-01,1.251975247278672043e+00,1.132806690732136509e-03,-2.379710022918392689e-02,4.840836912033988915e-01,-1.287657336535434974e-02,7.917112805858446448e-07
9.003855392884844294e-03,5.022661660709764339e-04,1.140106077532422740e-01,8.705724695949253800e+00,-7.316516691279765610e+02,-1.258757635237209944e-03,-2.856048732917889077e-01,-2.051928202884521113e+01,1.993427874655837286e+03,7.481801557732582764e-02,-1.202640783142481899e-03,-2.778657460932987266e-01,-2.398098744228658319e+01,1.355018408576099773e+03,5.611685209472775353e-05,7.739127198490175844e-03,-3.349091583281685214e+00,-1.299531329041863046e+03,-5.976288343302248868e-02,1.258757635237209727e-03,5.534265759740854664e-04,1.122940815028976302e-01,-1.398692205023812371e-03,-2.804384511502987509e-01,7.483043509248878458e-05,3.639907679350032343e-03,8.428197476890395001e-02,-6.526680798134901207e-02,-1.323861769931323519e-03,-2.767985434709487325e-01,-5.189772939541766883e-01,-3.221444324319825553e-02,-4.752969034005363747e-02,-4.231866043213310807e-02,6.385626433599838059e-01,2.211856686519657680e-02,-5.212086362756019470e-02,-2.351943366550595105e-01,1.251168468340072559e+00,1.144135845665225030e-03,-2.380174039503612365e-02,4.840689527323548957e-01,-1.274418920562396529e-02,9.002793052916958915e-07
1.000428376987204902e-02,6.083350531648839491e-04,1.223135989624705294e-01,7.852840919651968399e+00,-7.126162831385861409e+02,-1.520621901364629849e-03,-3.049946814269985929e-01,-1.810309348172243915e+01,1.920923860061536061e+03,8.313112841924377716e-02,-1.465566617822806330e-03,-3.011398033646580097e-01,-2.250809895890256840e+01,1.333792809792843627e+03,5.505528354182349124e-05,3.854878062340624800e-03,-4.299530601322365975e+00,-1.220145627886468901e+03,-6.640320381446956910e-02,1.520621901364629849e-03,6.699645010016232151e-04,1.207660413165403263e-01,-1.689064861379738908e-03,-3.002291152002771191e-01,7.520876804500772222e-05,-5.799159915223325206e-04,9.260469533400628173e-02,-7.167925200947961040e-02,-1.613856093334731104e-03,-3.008090311917994697e-01,-5.199520849977121717e-01,-4.057363055045382083e-02,-4.862854452713913367e-02,-4.199059833868199615e-02,6.386402935913751966e-01,2.209706620881153258e-02,-5.230006963634103306e-02,-2.358468400192001435e-01,1.250382860606889412e+00,1.154987207660129007e-03,-2.380506202908093741e-02,4.840550431944877219e-01,-1.247161384427345789e-02,1.026724802838162633e-06
1.100471214685925375e-02,7.218719879850907803e-04,1.297686456790014264e-01,7.006342477109487099e+00,-6.906174932416959109e+02,-1.799538657306076804e-03,-3.219848512788361372e-01,-1.570337071799913531e+01,1.831608872910656828e+03,9.144424126116169893e-02,-1.750133748955383459e-03,-3.229488355334694250e-01,-2.105006521529416119e+01,1.311752025998335057e+03,4.940490835069365671e-05,-9.639842546332222546e-04,-5.241001375762948555e+00,-1.166682452744139482e+03,-7.304352419591662871e-02,1.799538657306077021e-03,7.946382594051991074e-04,1.284253678097047047e-01,-1.998255787870515787e-03,-3.177178579008382853e-01,7.339484304100906797e-05,-5.709408094968375195e-03,1.008835942494767934e-01,-7.802623305525632769e-02,-1.924860944829506759e-03,-3.234272659958066787e-01,-5.209221902935311510e-01,-4.888284968998529018e-02,-4.972698718790116018e-02,-4.165994923163788416e-02,6.387133146072645484e-01,2.207494983289363943e-02,-5.247750761508167272e-02,-2.364814461726815475e-01,1.249619021688641363e+00,1.165400715734356578e-03,-2.380751109490630152e-02,4.840419767953829666e-01,-1.208280051999796080e-02,1.180296804956195802e-06
1.200514052384646022e-02,8.421721725310480147e-04,1.363825732646459232e-01,6.166058348081461915e+00,-6.644245245321596940e+02,-2.093503910829562845e-03,-3.365942487704723374e-01,-1.331888083519321064e+01,1.716043543227520786e+03,9.975735410307960682e-02,-2.055191671154584215e-03,-3.433078310908628250e-01,-1.960686044448905818e+01,1.288726629024529984e+03,3.831223967497889422e-05,-6.713582320390487634e-03,-6.175814506842011831e+00,-1.127711514640669520e+03,-7.968384457736370219e-02,2.093503910829563278e-03,9.267135327850902589e-04,1.352877376781741470e-01,-2.324161587284281471e-03,-3.329636765027551015e-01,6.421428368786183578e-05,-1.175024537654179198e-02,1.091292638341867099e-01,-8.428418817594052204e-02,-2.259947303596419703e-03,-3.447139218792968918e-01,-5.218896260405794241e-01,-5.712820668313586814e-02,-5.082332052066089456e-02,-4.132732132597836949e-02,6.387844680469234593e-01,2.205222168158694693e-02,-5.265275858866471509e-02,-2.370998053408968353e-01,1.248877536277550604e+00,1.175427820693894293e-03,-2.380962829768683633e-02,4.840297688524525799e-01,-1.160409326268904522e-02,1.371077442044437047e-06
