time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,-5.984944801006413240e-01,-5.000000000000000000e-01,4.145960465206695744e+01,-2.559111473757656654e+02,5.984944801006413240e-01,-3.200000000000000067e-01,-9.477561160756090430e+01,8.971886711402453329e+02,0.000000000000000000e+00,-1.811476377710991459e+00,1.436501999999999946e+00,-7.019863266039777727e+00,-3.021976451379994160e+02,-2.409970857811632783e+00,1.756502000000000008e+00,8.775574834152112658e+01,-1.199386316278244749e+03,3.609870484086359904e-18,-5.984944801006413240e-01
1.000814750876234498e-03,-5.989734001211415304e-01,-4.586357184050528502e-01,4.120067286041481225e+01,-2.615308496080770055e+02,5.981249965827061255e-01,-4.144011697291064000e-01,-9.387069333595472642e+01,9.111745065885072563e+02,2.086959742485907168e-02,-1.810043449209569832e+00,1.429326513608030647e+00,-7.317986289925443089e+00,-2.935630061206863957e+02,-2.408168445792275847e+00,1.843727683337136991e+00,8.655270704602928333e+01,-1.204737512709193652e+03,-6.824463592279649167e-03,-5.981249965827060144e-01
2.001629501752468995e-03,-5.994096256587951865e-01,-4.175333939983005282e-01,4.093611678787303987e+01,-2.671505518403884025e+02,5.976579388316466401e-01,-5.078896795863139246e-01,-9.295177783392860249e+01,9.251603420367690660e+02,4.173919484971814337e-02,-1.808620042657152371e+00,1.421856985653634498e+00,-7.607467639714087682e+00,-2.849283671033737164e+02,-2.406277981488798901e+00,1.929746665239948422e+00,8.534431019421451481e+01,-1.210088709140142782e+03,-1.364892718455930180e-02,-5.976579388316465291e-01
3.002444252628703493e-03,-5.998035770541457756e-01,-3.766986556430207411e-01,4.066593643444164030e+01,-2.727702540726997427e+02,5.970946138907419209e-01,-6.004515209369470918e-01,-9.201886510148253251e+01,9.391461774850309894e+02,6.260879227457721852e-02,-1.807206209307724354e+00,1.414102064851721074e+00,-7.888307315405725717e+00,-2.762937280860606961e+02,-2.404300823198466386e+00,2.014553585788668055e+00,8.413055778607680679e+01,-1.215439905571091685e+03,-2.047339077683895531e-02,-5.970946138907420320e-01
4.003259003504937991e-03,-6.001556746477374471e-01,-3.361371322024906960e-01,4.039013180012061355e+01,-2.783899563050110828e+02,5.964363288032702437e-01,-6.920726851463302465e-01,-9.107195513861650227e+01,9.531320129332929127e+02,8.347838969943628673e-02,-1.805802000415269948e+00,1.406070399917198177e+00,-8.160505317000328773e+00,-2.676590890687479032e+02,-2.402238329218540080e+00,2.098143085063528535e+00,8.291144982161617349e+01,-1.220791102002040816e+03,-2.729785436911860708e-02,-5.964363288032701327e-01
5.004073754381172488e-03,-6.004663387801137953e-01,-2.958544525399879332e-01,4.010870288490995250e+01,-2.840096585373224798e+02,5.956843906125103283e-01,-7.827391635797874558e-01,-9.011104794533054019e+01,9.671178483815547224e+02,1.043479871242953688e-01,-1.804407467233772877e+00,1.397770639564974715e+00,-8.424061644497925272e+00,-2.590244500514349966e+02,-2.400091857846283094e+00,2.180509803144762060e+00,8.168698630083261492e+01,-1.226142298432989719e+03,-3.412231796139825885e-02,-5.956843906125102173e-01
6.004888505257406986e-03,-6.007359897918184144e-01,-2.558562455187897711e-01,3.982164968880966427e+01,-2.896293607696338199e+02,5.948401063617410056e-01,-8.724369476026430092e-01,-8.913614352162460364e+01,9.811036838298166458e+02,1.252175845491544370e-01,-1.803022661017217088e+00,1.389211432509959376e+00,-8.678976297898472581e+00,-2.503898110341222036e+02,-2.397862767378958093e+00,2.261648380112602386e+00,8.045716722372613106e+01,-1.231493494863938849e+03,-4.094678155367791061e-02,-5.948401063617410056e-01
7.005703256133641484e-03,-6.009650480233951209e-01,-2.161481400021736110e-01,3.952897221181974174e+01,-2.952490630019452169e+02,5.939047830942405515e-01,-9.611520285802215291e-01,-8.814724186749874946e+01,9.950895192780785692e+02,1.460871819740135191e-01,-1.801647633019586747e+00,1.380401427467060405e+00,-8.925249277202041753e+00,-2.417551720168091833e+02,-2.395552416113827299e+00,2.341553456047281934e+00,7.922199259029670770e+01,-1.236844691294887753e+03,-4.777124514595756238e-02,-5.939047830942405515e-01
8.006518007009875981e-03,-6.011539338153879530e-01,-1.767357648534169379e-01,3.923067045394019203e+01,-3.008687652342565571e+02,5.928797278532877968e-01,-1.048870397877847083e+00,-8.714434298295292081e+01,1.009075354726340379e+03,1.669567793988725735e-01,-1.800282434494866468e+00,1.371349273151186487e+00,-9.162880582408575947e+00,-2.331205329994965041e+02,-2.393162162348154265e+00,2.420219671029033570e+00,7.798146240054434486e+01,-1.242195887725836883e+03,-5.459570873823721415e-02,-5.928797278532877968e-01
9.007332757886111346e-03,-6.013030675083402832e-01,-1.376247489357970422e-01,3.892674441517101513e+01,-3.064884674665679540e+02,5.917662476821613504e-01,-1.135578046860844070e+00,-8.612744686798716032e+01,1.023061190174602302e+03,1.878263768237316833e-01,-1.798927116697039530e+00,1.362063618277246091e+00,-9.391870213518089372e+00,-2.244858939821834838e+02,-2.390693364379200769e+00,2.497641665138090161e+00,7.673557665446907095e+01,-1.247547084156785786e+03,-6.142017233051687286e-02,-5.917662476821612394e-01
