time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,-5.431717398151376663e-01,-6.336429999999999563e-01,4.247955853513832380e+01,-3.635971351247887924e+02,5.431717398151376663e-01,0.000000000000000000e+00,-8.538902885856825264e+01,9.478473236374034059e+02,0.000000000000000000e+00,-2.028121858282009082e+00,1.756502000000000008e+00,6.448878215955133442e+00,-3.150335790894637285e+02,-2.571293598097146749e+00,1.756502000000000008e+00,9.183790707452338609e+01,-1.262880902726867134e+03,4.345908302453600345e-14,-5.431717398151376663e-01
1.000615837174089438e-03,-5.437839025759763079e-01,-5.913200723532018310e-01,4.211343242347577132e+01,-3.682044176000807738e+02,5.431277388273968443e-01,-8.496547496976505909e-02,-8.443570463113947255e+01,9.576276688854773056e+02,2.540666865144500589e-02,-2.026362215865700644e+00,1.762798429908496889e+00,6.137521520471622694e+00,-3.072965578446799100e+02,-2.569489954693097378e+00,1.847763904878261920e+00,9.057322615161109525e+01,-1.264924226730157216e+03,-4.408771137497802771e-03,-5.431277388273967333e-01
2.001231674348178877e-03,-5.443526593026979388e-01,-5.493658027715834224e-01,4.174269619200212134e+01,-3.728117000753727552e+02,5.429965643128311648e-01,-1.689721424220242685e-01,-8.347259403536243383e+01,9.674080141335512053e+02,5.081333730289001177e-02,-2.024598511903142661e+00,1.768787184653317857e+00,5.833906610978189633e+00,-2.995595365998963189e+02,-2.567595076215973826e+00,1.937759327075342153e+00,8.930650064634062346e+01,-1.266967550733447524e+03,-8.817542275039065569e-03,-5.429965643128311648e-01
3.001847511522268315e-03,-5.448785123243546913e-01,-5.077848042140389317e-01,4.136734984071734544e+01,-3.774189825506647367e+02,5.427794589444264739e-01,-2.520102099616199909e-01,-8.249969707123712226e+01,9.771883593816251050e+02,7.622000595433502113e-02,-2.022830830166205462e+00,1.774476010788132108e+00,5.538033487474862682e+00,-2.918225153551125004e+02,-2.565610289110631825e+00,2.026486220749752043e+00,8.803773055871198494e+01,-1.269010874736737605e+03,-1.322631341258032750e-02,-5.427794589444263629e-01
4.002463348696357753e-03,-5.453619639699989197e-01,-4.665816896394625046e-01,4.098739336962146496e+01,-3.820262650259567181e+02,5.424776653951683958e-01,-3.340698851933944780e-01,-8.151701373876358048e+01,9.869687046296990047e+02,1.016266746057800235e-01,-2.021059254426756269e+00,1.779872654866609505e+00,5.249902149961584996e+00,-2.840854941103289093e+02,-2.563536919821924887e+00,2.113942540060004038e+00,8.676691588872516547e+01,-1.271054198740027914e+03,-1.763508455012158943e-02,-5.424776653951686178e-01
5.003079185870447192e-03,-5.458035165686825341e-01,-4.257610720067485643e-01,4.060282677871446566e+01,-3.866335475012487564e+02,5.420924263380424435e-01,-4.151413757221901202e-01,-8.052454403794178006e+01,9.967490498777729044e+02,1.270333432572250398e-01,-2.019283868456664521e+00,1.784984863442421243e+00,4.969512598438413420e+00,-2.763484728655450908e+02,-2.561376294794706965e+00,2.200126239164611253e+00,8.549405663638019348e+01,-1.273097522743317995e+03,-2.204385568766285136e-02,-5.420924263380424435e-01
6.003695023044536630e-03,-5.462036724494575557e-01,-3.853275642747914786e-01,4.021365006799636888e+01,-3.912408299765407378e+02,5.416249844460342411e-01,-4.952148891528491692e-01,-7.952228796877173522e+01,1.006529395125846804e+03,1.524400119086700423e-01,-2.017504756027799662e+00,1.789820383069233634e+00,4.696864832905305320e+00,-2.686114516207614997e+02,-2.559129740473833792e+00,2.285035272222082803e+00,8.421915280167704054e+01,-1.275140846746608304e+03,-2.645262682520411329e-02,-5.416249844460341301e-01
7.004310860218626068e-03,-5.465629339413763388e-01,-3.452857794024852267e-01,3.981986323746714618e+01,-3.958481124518327192e+02,5.410765823921293016e-01,-5.742806330902140433e-01,-7.851024553125343175e+01,1.016309740373920704e+03,1.778466805601150447e-01,-2.015722000912030687e+00,1.794386960300719203e+00,4.431958853362289119e+00,-2.608744303759776813e+02,-2.556798583304160211e+00,2.368667593390933135e+00,8.294220438461572087e+01,-1.277184170749898385e+03,-3.086139796274537522e-02,-5.410765823921295237e-01
8.004926697392715507e-03,-5.468818033734910156e-01,-3.056403303487242873e-01,3.942146628712681888e+01,-4.004553949271247006e+02,5.404484628493132492e-01,-6.523288151391268830e-01,-7.748841672538685543e+01,1.026090085621994604e+03,2.032533492115600471e-01,-2.013935686881226150e+00,1.798692341690547147e+00,4.174794659809364816e+00,-2.531374091311938628e+02,-2.554384149730539288e+00,2.451021156829674030e+00,8.166321138519622025e+01,-1.279227494753188466e+03,-3.527016910028663715e-02,-5.404484628493131382e-01
9.005542534566805812e-03,-5.471607830748534962e-01,-2.663958300724028616e-01,3.901845921697537989e+01,-4.050626774024166821e+02,5.397418684905719299e-01,-7.293496429044302731e-01,-7.645680155117204890e+01,1.035870430870068503e+03,2.286600178630050773e-01,-2.012145897707253717e+00,1.802744273792386220e+00,3.925372252246518201e+00,-2.454003878864102717e+02,-2.551887766197825869e+00,2.532093916696816382e+00,8.038217380341856710e+01,-1.281270818756478775e+03,-3.967894023782789908e-02,-5.397418684905721520e-01
1.000615837174089438e-02,-5.474003753745162459e-01,-2.275568915324152897e-01,3.861084202701282209e+01,-4.096699598777086635e+02,5.389580419888906349e-01,-8.053333239909661323e-01,-7.541540000860899795e+01,1.045650776118142403e+03,2.540666865144500797e-01,-2.010352717161983715e+00,1.806550503159906729e+00,3.683691630673735062e+00,-2.376633666416264532e+02,-2.549310759150874350e+00,2.611883827150872861e+00,7.909909163928273301e+01,-1.283314142759768856e+03,-4.408771137536916102e-02,-5.389580419888906349e-01
1.100677420891498295e-02,-5.476010826015310640e-01,-1.891281276876557726e-01,3.819861471723915969e+01,-4.142772423530006449e+02,5.380982260172552101e-01,-8.802700660035770452e-01,-7.436421209769767415e+01,1.055431121366216303e+03,2.794733551658950543e-01,-2.008556229017285144e+00,1.810118776346778091e+00,3.449752795091072244e+00,-2.299263453968428621e+02,-2.546654455034540465e+00,2.690388842350355247e+00,7.781396489278874640e+01,-1.285357466763059165e+03,-4.849648251291041601e-02,-5.380982260172553211e-01
1.200739004608907326e-02,-5.477634070849505266e-01,-1.511141514970185951e-01,3.778177728765437848e+01,-4.188845248282926264e+02,5.371636632486510576e-01,-9.541500765471055967e-01,-7.330323781843810593e+01,1.065211466614290202e+03,3.048800238173400845e-01,-2.006756517045026111e+00,1.813456839906670615e+00,3.223555745498472902e+00,-2.221893241520590436e+02,-2.543920180293677280e+00,2.767606916453776211e+00,7.652679356393657883e+01,-1.287400790766349246e+03,-5.290525365045168488e-02,-5.371636632486511687e-01
1.300800588326316357e-02,-5.478878511538264329e-01,-1.135195759193978610e-01,3.736032973825849268e+01,-4.234918073035846646e+02,5.361555963560640237e-01,-1.026963563226393594e+00,-7.223247717083027908e+01,1.074991811862364102e+03,3.302866924687851147e-01,-2.004953665017075171e+00,1.816572440393253052e+00,3.005100481895951248e+00,-2.144523029072752252e+02,-2.541109261373139194e+00,2.843536003619646646e+00,7.523757765272623033e+01,-1.289444114769639327e+03,-5.731402478799294681e-02,-5.361555963560640237e-01
1.400862172043725214e-02,-5.479749171372108041e-01,-7.634901391368820178e-02,3.693427206905149518e+01,-4.280990897788766461e+02,5.350752680124795102e-01,-1.098700733646283734e+00,-7.115193015487419359e+01,1.084772157110438002e+03,3.556933611202300893e-01,-2.003147756705302207e+00,1.819473324360195932e+00,2.794387004283521492e+00,-2.067152816624916341e+02,-2.538223024717781495e+00,2.918174058006479665e+00,7.394631715915771508e+01,-1.291487438772929636e+03,-6.172279592553420874e-02,-5.350752680124792882e-01
