time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.669144418952753384e+01,-1.849240431658143962e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.310805716560376766e+01,4.136439526519592391e+02,3.037567163642366015e-14,0.000000000000000000e+00,0.000000000000000000e+00,-3.792247710371516689e+01,1.096830580959276858e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.185580061888597214e+00,6.831866283073176191e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000429817104317746e-03,9.287813384919489513e-06,1.660536673492308407e-02,1.650431097632608513e+01,-1.891815862387418008e+02,-2.417310481856770537e-05,-4.291762282156651176e-02,-4.268834859628366729e+01,4.254125451539974279e+02,2.666894362153436095e-03,-2.080333075389921145e-05,-3.738841277560163434e-02,-3.682074530299469473e+01,1.105686341036056774e+03,3.369774064668493917e-06,5.529210045964874816e-03,5.867603293288974342e+00,6.802737958820592894e+02,1.033658229029420575e-02,2.417310481856770537e-05
2.000859634208635492e-03,3.692160028776635448e-05,3.302138922169433471e-02,1.631291839008687816e+01,-1.934391293116691770e+02,-9.612271371293974005e-05,-8.540946732021055532e-02,-4.225686637611917718e+01,4.371811376560356166e+02,5.333788724276496314e-03,-8.226023762767417213e-05,-7.367018852009692143e-02,-3.571015393584028175e+01,1.114542101112836463e+03,1.386247608526556792e-05,1.173927880011363389e-02,6.546712440278893652e+00,6.773609634568009596e+02,2.067316458058841150e-02,9.612271371293974005e-05
3.001289451312953022e-03,8.255688083067317089e-05,4.924380625652458043e-02,1.611726643080990229e+01,-1.976966723845965817e+02,-2.149942683411194344e-04,-1.274637547845712260e-01,-4.181361050511029731e+01,4.489497301580738053e+02,8.000683086399555666e-03,-1.829410925394408410e-04,-1.088364638590587213e-01,-3.459070300225194217e+01,1.123397861189616378e+03,3.205317580167860701e-05,1.862729092551250118e-02,7.222907502858357809e+00,6.744481310315426299e+02,3.100974687088261725e-02,2.149942683411194344e-04
4.001719268417270985e-03,1.458491751357725622e-04,6.526835663562471912e-02,1.591735509849516816e+01,-2.019542154575239863e+02,-3.799332103611102545e-04,-1.690687065032875913e-01,-4.135858098325702770e+01,4.607183226601119941e+02,1.066757744852261588e-02,-3.214162674073152448e-04,-1.428783754180598942e-01,-3.346239250222966177e+01,1.132253621266396294e+03,5.851694295379500973e-05,2.619033108522769021e-02,7.896188481027364148e+00,6.715352986062843001e+02,4.134632916117682300e-02,3.799332103611102545e-04
5.002149085521588948e-03,2.264540033251970621e-04,8.109077915520554458e-02,1.571318439314266868e+01,-2.062117585304513909e+02,-5.900849814309154289e-04,-2.102125437649987882e-01,-4.089177781055936833e+01,4.724869151621501260e+02,1.333447181064567610e-02,-4.962561341494132984e-04,-1.757870598226733416e-01,-3.232522243577345478e+01,1.141109381343176210e+03,9.382884728150215768e-05,3.442548394232543274e-02,8.566555374785915333e+00,6.686224661810259704e+02,5.168291145147103222e-02,5.900849814309154289e-04
6.002578902625906043e-03,3.240268855210792515e-04,9.670681261147791308e-02,1.550475431475240917e+01,-2.104693016033787671e+02,-8.445950232085384576e-04,-2.508834878583439121e-01,-4.041320098701731922e+01,4.842555076641883147e+02,1.600136617276873632e-02,-7.060310646838510252e-04,-2.075536536984719793e-01,-3.117919280288331407e+01,1.149965141419956126e+03,1.385639585246874325e-04,4.332983415987192582e-02,9.234008184134006925e+00,6.657096337557677543e+02,6.201949374176523450e-02,8.445950232085384576e-04
7.003008719730224006e-03,4.382233418455518201e-04,1.121121958006527364e-01,1.529206486332438608e+01,-2.147268446763061718e+02,-1.142608777351982515e-03,-2.910697600719620581e-01,-3.992285051263088747e+01,4.960241001662265035e+02,1.866826053489179654e-02,-9.493114309287442858e-04,-2.381692936710286534e-01,-3.002430360355923966e+01,1.158820901496736042e+03,1.932973464232382293e-04,5.290046640093341163e-02,9.898546909071646027e+00,6.627968013305094246e+02,7.235607603205944371e-02,1.142608777351982515e-03
8.003438536834541969e-03,5.686988924207472948e-04,1.273026675189408430e-01,1.507511603885859941e+01,-2.189843877492335764e+02,-1.483271685519251589e-03,-3.307595816944922662e-01,-3.942072638740005885e+01,5.077926926682646922e+02,2.133515489701485676e-02,-1.224667604802209646e-03,-2.676251163659161270e-01,-2.886055483780123510e+01,1.167676661573515730e+03,2.586040807170419432e-04,6.313446532857611149e-02,1.056017154959882376e+01,6.598839689052510948e+02,8.269265832235364599e-02,1.483271685519251589e-03
9.003868353938859065e-03,7.151090573687982023e-04,1.422739665625530336e-01,1.485390784135505271e+01,-2.232419308221609526e+02,-1.865729189368347607e-03,-3.699411740145737149e-01,-3.890682861132484760e+01,5.195612851703028809e+02,2.400204925913791351e-02,-1.530669958222361828e-03,-2.959122584087074959e-01,-2.768794650560929682e+01,1.176532421650295646e+03,3.350592311459858882e-04,7.402891560586621900e-02,1.121888210571554900e+01,6.569711364799927651e+02,9.302924061264784827e-02,1.865729189368347824e-03
