time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.004196486479053618e+01,-8.287706686363857216e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.467392593432128223e+01,2.164125454400039416e+03,-2.023724842656292902e-14,0.000000000000000000e+00,0.000000000000000000e+00,-5.005553638022054486e+01,-7.329454006107607711e+02,0.000000000000000000e+00,0.000000000000000000e+00,-5.381610445899261741e+00,-2.897070855010800187e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000483145536479063e-03,1.000208845510038152e-05,1.963661431925528902e-02,1.921205048790888270e+01,-8.302565335392944235e+02,-2.223173538144754385e-05,-4.361187196479393569e-02,-4.250716742904238998e+01,2.167298847839519112e+03,1.487830125479508783e-02,-2.566834861116899048e-05,-5.044543150266415921e-02,-5.078548984171038683e+01,-7.262565154763397004e+02,-3.436613229721447052e-06,-6.833559537870220052e-03,-8.278322412667993291e+00,-2.893555363315858813e+03,-3.203427142931732086e-02,2.223173538144754385e-05
2.000966291072958127e-03,3.943366850509316717e-05,3.844216964168820777e-02,1.838064952823532394e+01,-8.317423984422031253e+02,-8.743645799747552393e-05,-8.505435033430752689e-02,-4.033723399711314528e+01,2.170472241278998354e+03,2.975660250961041295e-02,-1.030665310162969255e-04,-1.016178214655220069e-01,-5.150875118636080430e+01,-7.195676303419190845e+02,-1.563007301882140155e-05,-1.656347113121448347e-02,-1.117151718924766080e+01,-2.890039871620917438e+03,-6.406854285863464171e-02,8.743645799747552393e-05
3.001449436609437190e-03,8.743271217701581856e-05,5.641517866627099309e-02,1.754776198576985990e+01,-8.332282633451118272e+02,-1.933784425556120206e-04,-1.243242586479387929e-01,-3.816412563853354101e+01,2.173645634718478050e+03,4.463490376442574153e-02,-2.327842520728152977e-04,-1.535104745384677782e-01,-5.222532041417181148e+01,-7.128787452074980138e+02,-3.940580951720328392e-05,-2.918621589052897841e-02,-1.406119477563826869e+01,-2.886524379925976064e+03,-9.610281428795196257e-02,1.933784425556120206e-04
4.001932582145916253e-03,1.531371914979057702e-04,7.355415409197592347e-02,1.671338786051249059e+01,-8.347141282480205291e+02,-3.378219637633849380e-04,-1.614184204450857252e-01,-3.598784235330358428e+01,2.176819028157957746e+03,5.951320501924106665e-02,-4.154112166381554645e-04,-2.061166953713956251e-01,-5.293519752514339416e+01,-7.061898600730773978e+02,-7.758925287477051291e-05,-4.469827492630990690e-02,-1.694735517183981344e+01,-2.883008888231035144e+03,-1.281370857172692834e-01,3.378219637633849380e-04
5.002415727682394883e-03,2.356850784948005481e-04,8.985760861777522535e-02,1.587752715246321955e+01,-8.361999931509292310e+02,-5.185312963283223667e-04,-1.963336592651462875e-01,-3.380838414142326798e+01,2.179992421597436987e+03,7.439150627405638483e-02,-6.515371295697488033e-04,-2.594297886141997411e-01,-5.363838251927555945e+01,-6.995009749386567819e+02,-1.330058332414264907e-04,-6.309612934905346748e-02,-1.982999837785229147e+01,-2.879493396536093769e+03,-1.601713571465865904e-01,5.185312963283223667e-04
6.002898873218874380e-03,3.342143451947375901e-04,1.053240549426411737e-01,1.504017986162204501e+01,-8.376858580538379329e+02,-7.332707149579524922e-04,-2.290667986475185824e-01,-3.162575100289260632e+01,2.183165815036916683e+03,8.926980752887171688e-02,-9.417516957250271796e-04,-3.134430589167744308e-01,-5.433487539656832155e+01,-6.928120898042357112e+02,-2.084809807670746874e-04,-8.437626026925586220e-02,-2.270912439367571523e+01,-2.875977904841152395e+03,-1.922056285759039251e-01,7.332707149579524922e-04
7.003382018755353877e-03,4.478629636247544155e-04,1.199520057655460298e-01,1.420134598798896342e+01,-8.391717229567466347e+02,-9.798044943598032287e-04,-2.596146621316005598e-01,-2.943994293771158155e+01,2.186339208476395925e+03,1.041481087836870489e-01,-1.286644619961421808e-03,-3.681498109290138321e-01,-5.502467615702165915e+01,-6.861232046698150953e+02,-3.068401256016185254e-04,-1.085351487974132861e-01,-2.558473321931007405e+01,-2.872462413146211020e+03,-2.242399000052212599e-01,9.798044943598032287e-04
8.003865164291832507e-03,5.757689058118880014e-04,1.337399737854620407e-01,1.336102553156398010e+01,-8.406575878596553366e+02,-1.255896909241402057e-03,-2.879740732567902528e-01,-2.725095994588020432e+01,2.189512601915875621e+03,1.190264100385023671e-01,-1.686805607136363308e-03,-4.235433493008121664e-01,-5.570778480063557225e+01,-6.794343195353940246e+02,-4.309086978949612512e-04,-1.355692760440219136e-01,-2.845682485475536794e+01,-2.868946921451269645e+03,-2.562741714345385668e-01,1.255896909241402057e-03
9.004348309828311137e-03,7.170701437831765446e-04,1.466864717013614539e-01,1.251921849234709150e+01,-8.421434527625640385e+02,-1.559312234310278192e-03,-3.141418555624855280e-01,-2.505880202739847462e+01,2.192685995355355317e+03,1.339047112933176853e-01,-2.142824362107284900e-03,-4.796169786820634329e-01,-5.638420132741007507e+01,-6.727454344009729539e+02,-5.835121277970064906e-04,-1.654751231195779326e-01,-3.132539930001160045e+01,-2.865431429756328271e+03,-2.883084428638558738e-01,1.559312234310278409e-03
