time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.669144418952996389e+01,-8.156920848238243025e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.310805716561047518e+01,2.318815190185245228e+03,-2.403651978353351821e-16,0.000000000000000000e+00,0.000000000000000000e+00,-3.792247710372058123e+01,1.337768881839434925e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.185580061889897507e+00,-9.810463083458103029e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000449334896973260e-03,7.533456194054150895e-06,1.629151208739984535e-02,1.587772601372226866e+01,-8.110133312810171446e+02,-1.928774798919691093e-05,-4.196914503380096140e-02,-4.079470013271403417e+01,2.305820865242132641e+03,7.237312691134454440e-03,-1.728917899093260341e-05,-3.727170483551772717e-02,-3.658912542573519744e+01,1.327736769424138402e+03,1.998568998264307526e-06,4.697440198283231623e-03,4.205574706978838506e+00,-9.780840958179943527e+02,-7.446454987428680408e-03,1.928774798919691093e-05
2.000898669793946521e-03,2.968328911492759949e-05,3.177128184659027549e-02,1.506868869378461895e+01,-8.063345777382098731e+02,-7.586407600789057807e-05,-8.163039656524843923e-02,-3.849434326356436031e+01,2.292826540299020053e+03,1.447462538226914827e-02,-6.846520443142656938e-05,-7.321447943660980284e-02,-3.526581036794330259e+01,1.317704657008841423e+03,7.398871576464015473e-06,8.415917128638629452e-03,3.228532895621057719e+00,-9.751218832901785163e+02,-1.489290997485736082e-02,7.586407600789057807e-05
3.001348004690919564e-03,6.577369527068684389e-05,4.644399223671321492e-02,1.426433222971702008e+01,-8.016558241954027153e+02,-1.677986101327354131e-04,-1.189967605995164573e-01,-3.620698655816146783e+01,2.279832215355907010e+03,2.171193807340384557e-02,-1.524908090230261146e-04,-1.078383649332734506e-01,-3.395253193034491801e+01,1.307672544593544444e+03,1.530780110970929851e-05,1.115839566624301019e-02,2.254454627816553369e+00,-9.721596707623625662e+02,-2.233936496228603949e-02,1.677986101327354131e-04
4.001797339587893042e-03,1.151288711693983382e-04,6.031432621691062285e-02,1.346465662151946852e+01,-7.969770706525955575e+02,-2.931609764403858413e-04,-1.540812431417790118e-01,-3.393263001650534250e+01,2.266837890412794422e+03,2.894925076453853940e-02,-2.683287254672755235e-04,-1.411534024555058386e-01,-3.264929011294001526e+01,1.297640432178247920e+03,2.483225097311033807e-05,1.292784068627318358e-02,1.283339903565325235e+00,-9.691974582345466160e+02,-2.978581994971472163e-02,2.931609764403858413e-04
5.002246674484866519e-03,1.770730133191286812e-04,7.338696674632441685e-02,1.266966186919196602e+01,-7.922983171097882860e+02,-4.500208010074963115e-04,-1.868968501972101681e-01,-3.167127363859599143e+01,2.253843565469681835e+03,3.618656345567323324e-02,-4.149416864657190095e-04,-1.731696331333042183e-01,-3.135608491572861567e+01,1.287608319762951169e+03,3.507911454177730206e-05,1.372721706390596201e-02,3.151887228673746488e-01,-9.662352457067306659e+02,-3.723227493714340725e-02,4.500208010074963115e-04
6.002696009381839129e-03,2.509303182279441703e-04,8.566659678409654921e-02,1.187934797273451082e+01,-7.876195635669811281e+02,-6.364477099107208663e-04,-2.174565877709838391e-01,-2.942291742443341462e+01,2.240849240526569247e+03,4.342387614680792707e-02,-5.912924247199005147e-04,-2.038970980966656743e-01,-3.007291633871071213e+01,1.277576207347654417e+03,4.515528519082037868e-05,1.355948967431817170e-02,-6.499989142772986117e-01,-9.632730331789148295e+02,-4.467872992457207898e-02,6.364477099107208663e-04
7.003145344278812606e-03,3.360249824039114011e-04,9.715789928936896525e-02,1.109371493214710469e+01,-7.829408100241739703e+02,-8.505113292267144423e-04,-2.457734618682740901e-01,-2.718756137401760498e+01,2.227854915583456204e+03,5.066118883794262090e-02,-7.963436729313647404e-04,-2.333458384755874859e-01,-2.879978438188630108e+01,1.267544094932357439e+03,5.416765629534972906e-05,1.242762339268661635e-02,-1.612223007868695879e+00,-9.603108206510988794e+02,-5.212518491200076459e-02,8.505113292267144423e-04
8.003594679175786084e-03,4.316812023550969284e-04,1.078655572212835895e-01,1.031276274742974408e+01,-7.782620564813668125e+02,-1.090281285032131163e-03,-2.718604784942549313e-01,-2.496520548734856959e+01,2.214860590640343617e+03,5.789850152907731473e-02,-1.029058163801655629e-03,-2.615258954000668212e-01,-2.753668904525538608e+01,1.257511982517060687e+03,6.122312123047556173e-05,1.033458309418810658e-02,-2.571483557906816486e+00,-9.573486081232829292e+02,-5.957163989942944327e-02,1.090281285032131163e-03
9.004044014072759561e-03,5.372231745895672799e-04,1.177942535389823603e-01,9.536491418582436097e+00,-7.735833029385595410e+02,-1.353827203403625695e-03,-2.957306436541004557e-01,-2.275584976442630492e+01,2.201866265697231029e+03,6.513581422021201550e-02,-1.288398630032317610e-03,-2.884473100001009871e-01,-2.628363032881796357e+01,1.247479870101763936e+03,6.542857337130803105e-05,7.283333653999462566e-03,-3.527780564391659546e+00,-9.543863955954670928e+02,-6.701809488685812888e-02,1.353827203403625695e-03
