meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
6.962299346923828125e-03,nan,nan,nan,nan,nan,-5.223204582750607949e-01,nan,2.163950617229101411e-02,nan,0.000000000000000000e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.631448167818574380e+00,nan,1.787158328032133420e-03,nan,0.000000000000000000e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.461243629455566406e-02,nan,nan,nan,nan,nan,-5.223204582750607949e-01,nan,-2.133541816866222490e-02,nan,0.000000000000000000e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.631544041617817520e+00,nan,4.361213634624810931e-02,nan,0.000000000000000000e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.087497711181640625e-02,nan,nan,nan,nan,nan,-5.213617202826322794e-01,nan,4.202350854609506192e-01,nan,1.797135472297668457e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.635091372189803050e+00,nan,1.531713709589873185e+00,nan,5.039205551147460938e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.724909782409667969e-02,nan,nan,nan,nan,nan,-5.082270097863614833e-01,nan,2.441246159838632135e+00,nan,1.743857622146606445e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.676796474860443809e+00,nan,7.922396577902937054e+00,nan,4.727843284606933594e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.357768058776855469e-02,nan,nan,nan,nan,nan,-4.918325901158336899e-01,nan,2.160616059314236725e+00,nan,3.156427145004272461e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.711502790186356648e+00,nan,2.102113567410625716e+00,nan,9.429488182067871094e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.996062278747558594e-02,nan,nan,nan,nan,nan,-5.004612320476904408e-01,nan,-2.353109863053814532e+00,nan,2.598488092422485352e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.699902060477971322e+00,nan,-1.355336441305830197e+00,nan,5.359127998352050781e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.640626907348632812e-02,nan,nan,nan,nan,nan,-5.185813801045895399e-01,nan,-2.291498401054834044e+00,nan,2.111300706863403320e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.712461528178784942e+00,nan,2.773427901821531982e+00,nan,5.793938636779785156e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.292320251464843750e-02,nan,nan,nan,nan,nan,-5.234709438659750358e-01,nan,-4.243891174187698345e-01,nan,1.936779499053955078e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.732115657023569621e+00,nan,2.885891987910709222e+00,nan,6.395245075225830078e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.924510955810546875e-02,nan,nan,nan,nan,nan,-5.268265268394748402e-01,nan,-7.293795893589862800e-01,nan,2.471735715866088867e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.742182405944069146e+00,nan,1.452481972790006681e+00,nan,6.429485321044921875e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
6.553506851196289062e-02,nan,nan,nan,nan,nan,-5.350716735743602515e-01,nan,-1.558401548559774419e+00,nan,2.393626213073730469e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.753112019057754711e+00,nan,1.776922560871345702e+00,nan,6.357759952545166016e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
