meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.928817510604858398e+00,2.251082129898517893e-03,1.758106228355494488e-02,4.962404716385477310e-01,2.833916925945199894e-02,-6.484222242087661972e-03,5.752427954571154387e-04,-1.419153235769643029e+00,-3.097683682387753282e-02,4.811613771335642581e-02,0.000000000000000000e+00,3.771800191948018049e-02,3.771800191948018049e-02,3.279812690117908137e-03,3.834951969714102925e-04,6.512875229813070987e-01,-9.067982563586086259e-03,-2.152302927266681876e-02,0.000000000000000000e+00,-2.134674531151101173e-02,-2.134674531151101173e-02,-7.678657127883359301e-01,9.587379924285257312e-04,-3.204409551969753835e-03,-4.004481938746361908e-02,1.815630507901206184e-02,-2.637667564425534312e-03,-5.078138260418463279e-01,3.809135954964092824e-02,-5.057004844505895436e-02,-4.441650163045554600e-02,6.416935363255507063e-01,2.152606568609077148e-02,-5.165572994056168848e-02,-2.899168738799347000e-01,1.241430638292125410e+00,1.474376639598683810e-03,-2.463413327684901843e-02,4.836510195116911492e-01,1.000000000000000000e+00
1.941255331039428711e+00,3.345705485085732900e-03,1.746226791265522577e-02,2.045452200295468925e-01,-1.583819994656907038e-02,-9.193708517813070288e-03,6.711165946999680118e-04,-5.294749382553723960e-01,1.320056229069093388e-02,1.435968815775082452e-01,1.409842371940612793e-01,-1.759152624238722040e-01,-1.759152624238722040e-01,3.129211410746912843e-03,3.834951969714102925e-04,8.439235034608238983e-02,6.835020248885636520e-04,-1.219789596649778346e-01,-1.971406489610671997e-02,-5.729816047591522465e-02,-5.729816047591522465e-02,-4.450825879092900061e-01,1.054611791671378196e-03,-6.064497107066157446e-03,1.388406431557949808e-02,1.813338450735519497e-02,-2.637637655878136058e-03,-5.218894305980004145e-01,-1.207097006507295012e-01,-5.783414064176513325e-02,-4.046409513854790085e-02,6.395339465339576757e-01,2.165341856330093087e-02,-5.300661586310560086e-02,-2.507293244275946020e-01,1.243757214196736127e+00,1.276658775979790800e-03,-2.405362546275237670e-02,4.839370309309781737e-01,1.000000000000000000e+00
1.953564405441284180e+00,3.162270306859582894e-03,1.801926985295817379e-02,-3.180477621537497468e-02,-4.319359229785929566e-02,-7.633767029084286698e-03,-1.917475984857051462e-04,1.985068009162689329e-01,1.279966714608472139e-02,2.239615316405937639e-01,-3.400157988071441650e-01,3.444998847090771643e-01,3.444998847090771643e-01,-6.101785982972843941e-04,2.876213977285577194e-04,-3.964690816888194469e-01,1.381250384908454601e-02,-1.944340609900485073e-01,-9.775842726230621338e-02,-3.887695983781286890e-01,-3.887695983781286890e-01,-1.979622807725505140e-01,9.587379924285257312e-05,-8.243945627381571092e-03,2.661217099516926740e-02,1.782752225447246930e-02,-3.039392515177457427e-02,-5.349323110232953038e-01,-2.351431236335944641e-01,-6.333508269603634055e-02,-3.666710313037089414e-02,6.379695465910905083e-01,2.176133727975963772e-02,-5.432194372661075521e-02,-2.208439030643645773e-01,1.246088504143345377e+00,1.054826592988483431e-03,-2.356196902398783460e-02,4.841698719763354308e-01,1.000000000000000000e+00
1.966042995452880859e+00,1.805003205955625287e-03,1.321583018828177518e-02,-2.270403404503141265e-01,-6.383555125714927003e-01,-2.114896884696172014e-03,4.506068564414071262e-03,8.078588702952975709e-01,6.117413141669213461e-01,2.937258183595585215e-01,4.600772559642791748e-01,8.021844784383838078e-01,8.021844784383838078e-01,-7.773943634726227479e-03,-5.177185159114038732e-03,-8.179315151388077965e-01,-7.673319443526231964e-01,-2.442137619626900680e-01,-5.377754569053649902e-01,-6.731613663791312652e-01,-6.731613663791312652e-01,-1.007264484351022560e-02,-6.711165946999674697e-04,-9.888840519422400360e-03,-1.555906301857018503e-01,1.772189875269584644e-02,-2.661419840457138891e-02,-5.475513954406069361e-01,-3.136322947402825356e-01,-6.744554037812502956e-02,-3.286092943018635582e-02,6.368861724492993481e-01,2.185581039081973750e-02,-5.565713673502156733e-02,-1.982601410602357339e-01,1.248516829598359523e+00,8.021603798237879855e-04,-2.313185395410886219e-02,4.843634441141016489e-01,1.000000000000000000e+00
1.978327035903930664e+00,-7.667436262534712416e-04,4.065334955700786179e-03,-3.853451225053404205e-01,-6.900396109241204723e-01,7.521733599652592403e-03,1.572330307582782069e-02,1.311715697602163999e+00,8.375104418773064996e-01,3.544171120009078080e-01,9.387359619140625000e-01,7.974090793635237873e-01,7.974090793635237873e-01,-1.855467282103129625e-02,-1.217597250384227711e-02,-1.189258912345563246e+00,-6.148761252472427774e-01,-2.722881913268399567e-01,-5.557789206504821777e-01,-5.075608837938138107e-01,-5.075608837938138107e-01,1.224567852566007531e-01,3.547330571985543579e-03,-1.103293922137870385e-02,2.226343166300637222e-01,1.978863803152860687e-02,1.474708309531860828e-01,-5.600347895357932204e-01,-3.577053303903456327e-01,-7.024943760254467873e-02,-2.895759011488894391e-02,6.362626120704035770e-01,2.193891342660906144e-02,-5.704319120886801320e-02,-1.825142645357302751e-01,1.251099046298393747e+00,5.125800404657202946e-04,-2.275383341255268407e-02,4.845219071940625177e-01,1.000000000000000000e+00
1.990697860717773438e+00,-4.471446818599271282e-03,-3.611357423196025901e-03,-5.020764414038880741e-01,-6.331785958090823119e-01,2.097210294534931907e-02,2.626942099254160612e-02,1.695259918396045951e+00,8.096690276335075653e-01,4.042383907396379650e-01,8.654090762138366699e-01,9.376790203931688605e-01,9.376790203931688605e-01,-3.261557752794936454e-02,-2.320145941677032378e-02,-1.499438482993858290e+00,-1.044900637174242419e+00,-2.778849535410896632e-01,-4.424739480018615723e-01,-7.502486469005946734e-01,-7.502486469005946734e-01,1.958214354021876602e-01,3.067961575771282340e-03,-1.164347458260004547e-02,-2.352316095407348540e-01,2.265806356934558022e-02,1.764904318244252535e-01,-5.720070514584969512e-01,-3.661508238754597189e-01,-7.166673675624571360e-02,-2.507494863542945526e-02,6.361160960251078800e-01,2.200818222956952772e-02,-5.843819947993204866e-02,-1.740574206118316036e-01,1.253756881513362842e+00,1.949294867250779290e-04,-2.243911514438142948e-02,4.846406076436013399e-01,1.000000000000000000e+00
2.002828598022460938e+00,-9.383130730518669804e-03,-8.787252445210284174e-03,-5.805656205037645901e-01,-4.228309018649644146e-01,3.850883834133815575e-02,3.633616991304112337e-02,1.969226744166596266e+00,7.866242994080775430e-01,4.445226174212909553e-01,8.861890435218811035e-01,1.174247722479041967e+00,1.174247722479041967e+00,-5.025079516958790710e-02,-3.902063629184100019e-02,-1.756684670157970363e+00,-1.429098783837757569e+00,-2.614285734195284649e-01,-7.431417107582092285e-01,-6.662788150996481473e-01,-6.662788150996481473e-01,2.125420740086259030e-01,-2.684466378799876818e-03,-1.174195682824975134e-02,-6.424744844296800261e-01,2.754891746783083920e-02,3.637933975431131284e-01,-5.837613383770883235e-01,-3.396314715939031670e-01,-7.174928472651558031e-02,-2.111980846175681020e-02,6.364369507673521831e-01,2.206545354725225269e-02,-5.987543458686778175e-02,-1.725929737287739407e-01,1.256552971600199520e+00,-1.580312150188645758e-04,-2.217934822461884586e-02,4.847229005075030517e-01,1.000000000000000000e+00
2.015156269073486328e+00,-1.534540812372065660e-02,-1.312405998304067012e-02,-6.193690537936096252e-01,-5.087058232638171917e-01,5.957766516510085847e-02,4.793689962142628352e-02,2.128138650008733368e+00,1.044986305656964376e+00,4.743437400420010830e-01,1.200155973434448242e+00,1.326628633231410115e+00,1.326628633231410115e+00,-7.091275390470999640e-02,-5.934588173132574612e-02,-1.954937721833626796e+00,-1.836216386125738786e+00,-2.237734274207141549e-01,-5.456187725067138672e-01,-5.503170390411257218e-01,-5.503170390411257218e-01,1.732009281751065721e-01,-1.140898210989946260e-02,-1.133508873960913793e-02,-7.912300804687744105e-01,3.481283963838561341e-02,5.362804823931471843e-01,-5.949803881950060935e-01,-2.795135711991391103e-01,-7.051931352269243114e-02,-1.720159924492281611e-02,6.372078322153024166e-01,2.210938218716874959e-02,-6.131484015271501664e-02,-1.780326624878256214e-01,1.259408358974412057e+00,-5.360073306159784078e-04,-2.198062427761904997e-02,4.847672045618463543e-01,1.000000000000000000e+00
2.022147655487060547e+00,-2.256982939600847907e-02,-1.832345034598155398e-02,-6.201291197358935747e-01,-5.556934453564684739e-01,8.492716615344980680e-02,5.877063893586862570e-02,2.178450694955449851e+00,1.184346269370259330e+00,4.948495802949406941e-01,1.310104012489318848e+00,1.218944679705075362e+00,1.218944679705075362e+00,-9.533807570375539553e-02,-7.689078699276775952e-02,-2.101768124816332239e+00,-2.085195212407516596e+00,-1.636665914883341788e-01,-3.604942560195922852e-01,-3.673564576835016693e-01,-3.673564576835016693e-01,7.668257013911761177e-02,-1.812014805689913383e-02,-1.041090955030558873e-02,-9.008489430372572659e-01,4.044718858988707172e-02,6.286528240137908563e-01,-6.060766096121205093e-01,-1.837953759918969920e-01,-6.793943721883230480e-02,-1.317714512103804886e-02,6.384542988281809439e-01,2.214164715475524028e-02,-6.280892387268184607e-02,-1.905355547378335679e-01,1.262426890639808397e+00,-9.526474050460839553e-04,-2.183534393346471536e-02,4.847753532012599731e-01,1.000000000000000000e+00
2.028118610382080078e+00,-2.713143462185658994e-02,-2.021970623436732811e-02,-6.035080214764871887e-01,-4.383990341954030479e-01,1.008669083095294905e-01,6.567355248135400836e-02,2.157633748394073958e+00,1.132815225798310843e+00,5.020197143142964835e-01,1.170731306076049805e+00,1.127425599475495144e+00,1.127425599475495144e+00,-1.105348735526713588e-01,-8.935438089433860032e-02,-2.159953371391657662e+00,-2.081731771409868426e+00,-1.203609321187772002e-01,-3.963805139064788818e-01,-2.266477059616665568e-01,-2.266477059616665568e-01,-2.319622997583703494e-03,-2.368082841298459196e-02,-9.667965243141868337e-03,-9.489165456115575825e-01,4.545384624698668025e-02,6.944161916029077952e-01,-6.121595234409200614e-01,-1.149011810440631054e-01,-6.590767448379114546e-02,-1.090340415347693798e-02,6.393568270250968855e-01,2.215426995191474915e-02,-6.365987744357277933e-02,-2.006155603404842225e-01,1.264169688253031998e+00,-1.200433640300354720e-03,-2.177892139706020386e-02,4.847636648409431315e-01,1.000000000000000000e+00
