meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.541519165039062500e-02,2.251082129898517893e-03,-5.714556447387297324e-03,4.962404716385477310e-01,-6.551248006435878013e-02,-6.484222242087661972e-03,5.752427954571154387e-04,-1.419153235769643029e+00,6.453547243575197268e-02,4.811613771335642581e-02,0.000000000000000000e+00,3.771800191948018049e-02,3.771800191948018049e-02,3.279812690117908137e-03,2.876213977285577194e-04,6.512875229813070987e-01,5.523938290773806881e-02,-2.152302927266681876e-02,0.000000000000000000e+00,-2.134674531151101173e-02,-2.134674531151101173e-02,-7.678657127883359301e-01,8.628641931856731581e-04,-3.204409551969753835e-03,1.197748553434900415e-01,-5.139313651930182102e-03,-9.770076286068083218e-04,-5.078138260418463279e-01,3.809135954964092824e-02,-5.057004844505895436e-02,-4.441650163045554600e-02,6.416935363255507063e-01,2.152606568609077148e-02,-5.165572994056168848e-02,-2.899168738799347000e-01,1.241430638292125410e+00,1.474376639598683810e-03,-2.463413327684901843e-02,4.836510195116911492e-01,1.000000000000000000e+00
2.848649024963378906e-02,3.369717495635909856e-03,-5.609202565459664967e-03,1.881761540444183978e-01,-1.248767927917269344e-02,-9.214488027610165735e-03,4.793689962142628656e-04,-4.793003904532071591e-01,1.257786389566047103e-02,1.490598446588488335e-01,7.336817681789398193e-02,-2.163053809619071288e-01,-2.163053809619071288e-01,2.994314330520773601e-03,1.917475984857051462e-04,5.182740558998399916e-02,-3.743925110651478289e-02,-1.273037232541170405e-01,-8.363777399063110352e-02,-1.096113952756126719e-01,-1.096113952756126719e-01,-4.274729848632231599e-01,6.711165946999680118e-04,-6.220173697089392134e-03,-2.486138721085431186e-02,-5.129833569245401993e-03,9.018461648777721185e-05,-5.227365657951222877e-01,-1.291234745735664047e-01,-5.822832600300421879e-02,-4.022151695352917111e-02,6.394192387907925434e-01,2.166073054134511067e-02,-5.309014006682207659e-02,-2.485954912669320893e-01,1.243903369983200502e+00,1.263409197013634416e-03,-2.402030482537919134e-02,4.839531193639650675e-01,1.000000000000000000e+00
4.160165786743164062e-02,3.064294968670289339e-03,-2.619592096393318255e-03,-5.656842995514105299e-02,4.342278893469855294e-01,-7.194012277129280958e-03,-2.588592579557019366e-03,2.753043333056099939e-01,-4.378833078488227892e-01,2.326025077906431482e-01,-2.476455122232437134e-01,3.913324859594423666e-01,3.913324859594423666e-01,-1.268133810192668444e-03,4.793689962142628656e-04,-4.484354263533236740e-01,2.690481605358202924e-02,-2.013677309701157880e-01,-3.122754395008087158e-03,-4.062121526806579119e-01,-4.062121526806579119e-01,-1.731310930477136800e-01,-2.109223583342756392e-03,-8.462146087321948534e-03,-4.109784917952407635e-01,-5.208184675950337621e-03,-3.655418501837233783e-03,-5.364193996417059296e-01,-2.460853720892421381e-01,-6.388312656786397647e-02,-3.622552956898601739e-02,6.378192801487969632e-01,2.177299247751702388e-02,-5.447600039010295353e-02,-2.178500047170304765e-01,1.246365592849140613e+00,1.027049520763729162e-03,-2.350888890627369360e-02,4.841943486534478480e-01,1.000000000000000000e+00
5.107903480529785156e-02,1.439273693894249813e-03,-7.773597819636700670e-04,-2.578306981936686060e-01,-2.320823679764051906e-01,-7.123722535367273817e-04,-4.218447166685512784e-03,9.049662583259485693e-01,2.375652096474033248e-01,3.051533856939402933e-01,3.666088283061981201e-01,1.165010896855201761e+00,1.165010896855201761e+00,-9.416330718455431098e-03,-1.533980787885641170e-03,-8.874503155824795542e-01,-1.379440462660785349e-01,-2.507975191954693872e-01,-6.417484283447265625e-01,-7.368662441598003987e-01,-7.368662441598003987e-01,1.751594274346901514e-02,-5.752427954571153954e-03,-1.012870297199215848e-02,9.962116338132478988e-02,-4.995806948649182851e-03,5.482841670998127304e-03,-5.497736388604026470e-01,-3.239932313268523156e-01,-6.803925522107698298e-02,-3.217641864752873726e-02,6.367415921774302046e-01,2.187137979841217647e-02,-5.589899037307843876e-02,-1.949630214597877775e-01,1.248963019566985855e+00,7.535796186242404732e-04,-2.306100383216782082e-02,4.843941275075075992e-01,1.000000000000000000e+00
6.008148193359375000e-02,-5.650744708667358382e-04,-9.931330538694459198e-03,-3.763643302971329541e-01,-1.286581189732736163e+00,6.779366526053808364e-03,5.944175553056859317e-03,1.282761026326327158e+00,1.287572765099576300e+00,3.508177135226455134e-01,1.345557093620300293e+00,1.001014144626227287e+00,1.001014144626227287e+00,-1.775458906062165818e-02,-5.081311359871186484e-03,-1.167071469263272210e+00,-5.458637489819050392e-01,-2.711613517754304925e-01,-8.380619287490844727e-01,-8.145526652205565821e-01,-8.145526652205565821e-01,1.156895570630549486e-01,8.628641931856728328e-04,-1.097522253456784981e-02,7.417090161176712604e-01,-3.987154985637600749e-03,9.915753668401506692e-04,-5.592412496733304428e-01,-3.559468519740952019e-01,-7.011042406264612892e-02,-2.921000692717365052e-02,6.362883251477269297e-01,2.193395248526858535e-02,-5.695305655863923400e-02,-1.833102741016292003e-01,1.250929307920872535e+00,5.322193762239009994e-04,-2.277638832937049079e-02,4.845128602911200066e-01,1.000000000000000000e+00
6.896662712097167969e-02,-3.110939119100841234e-03,-1.782513849893666708e-02,-4.675736995764535053e-01,-7.055836874197750630e-01,1.606505068177346146e-02,1.591505067431352866e-02,1.580131169814911640e+00,8.976040268906179120e-01,3.887683741805412208e-01,1.193159580230712891e+00,5.358038367419609704e-01,5.358038367419609704e-01,-2.756229036736967258e-02,-1.131310831065660341e-02,-1.402417919613364816e+00,-7.749713259692456724e-01,-2.784483355872260923e-01,-7.004341483116149902e-01,-7.286814220322284097e-01,-7.286814220322284097e-01,1.777132502015468241e-01,4.601942363656925244e-03,-1.149723968559621112e-02,1.226327009213722397e-01,-1.910087824623138203e-03,1.920203394708428768e-01,-5.680620899949182512e-01,-3.671859626147582212e-01,-7.134328702572104164e-02,-2.637001641589389184e-02,6.361134067084485144e-01,2.198653511007441635e-02,-5.797111547962476713e-02,-1.760939991286818440e-01,1.252860631532106694e+00,3.041050704494605451e-04,-2.253741898431519883e-02,4.846052509147737997e-01,1.000000000000000000e+00
7.791495323181152344e-02,-6.238445051449444979e-03,-1.737256745301712230e-02,-5.372249017495986934e-01,2.399878602433185848e-01,2.730781234900843402e-02,1.840776945462769404e-02,1.815073579947737326e+00,5.298942075349749592e-02,4.210658990846915528e-01,7.296595573425292969e-01,9.813343722852971851e-01,9.813343722852971851e-01,-3.905114211702800930e-02,-2.061286683721330268e-02,-1.605937945303298253e+00,-1.205068117752705614e+00,-2.741283389482782051e-01,-6.134518384933471680e-01,-7.331965569168755747e-01,-7.331965569168755747e-01,2.091356346444390724e-01,-2.205097382585608640e-03,-1.174332976801957529e-02,-1.152078696999208063e+00,1.035202001610570008e-03,2.929772809968160807e-01,-5.766089124259866638e-01,-3.600281442675342669e-01,-7.185922844690423306e-02,-2.354401363222072274e-02,6.361848472339204363e-01,2.203191801910202655e-02,-5.899260887257982977e-02,-1.726472751169279563e-01,1.254828725016585711e+00,6.177218842143760921e-05,-2.233139197959050498e-02,4.846770163866467307e-01,1.000000000000000000e+00
8.683919906616210938e-02,-1.000346693794674363e-02,-1.941213321246976556e-02,-5.868764933120360627e-01,-4.362328678587058528e-01,4.070972804899141567e-02,2.320145941677032378e-02,1.992751779027265080e+00,6.675371969636849645e-01,4.483934532755800006e-01,9.649246931076049805e-01,1.685239625138305719e+00,1.685239625138305719e+00,-5.243054611232129264e-02,-3.250121794332701958e-02,-1.781901888891322727e+00,-1.441515657987548993e+00,-2.582225396847375176e-01,-6.752187609672546387e-01,-6.232747738879247379e-01,-6.232747738879247379e-01,2.108498901359423527e-01,-9.299758526556695798e-03,-1.172081806332987697e-02,-7.739784610238640283e-01,3.789326204300559522e-03,2.313043291049791117e-01,-5.850513765483519313e-01,-3.345008871567751729e-01,-7.167486642346460046e-02,-2.067659823909862374e-02,6.365018011259762076e-01,2.207105439098816513e-02,-6.003748457066613448e-02,-1.728683700942063861e-01,1.256871747001832684e+00,-1.993895425981028532e-04,-2.215397777990491326e-02,4.847297481213489467e-01,1.000000000000000000e+00
9.564328193664550781e-02,-1.437554203590180740e-02,-2.389038847043413460e-02,-6.159425329255101556e-01,-7.635436226691206807e-01,5.616164884165903565e-02,3.192597514786990609e-02,2.111161736209531181e+00,1.157563399241928748e+00,4.704676944618169099e-01,1.614974260330200195e+00,1.378824862683935448e+00,1.378824862683935448e+00,-6.758981846554459882e-02,-4.669054023126920083e-02,-1.928514120839039503e+00,-1.664019552545009661e+00,-2.308019657672432112e-01,-5.229343771934509277e-01,-5.472215903728603337e-01,-5.472215903728603337e-01,1.826476153704916783e-01,-1.476456508339929474e-02,-1.142816962388556318e-02,-5.064561533030809137e-01,8.035586677435773220e-03,3.940197765728080670e-01,-5.933112276657681594e-01,-2.907196410105840068e-01,-7.078735378782355370e-02,-1.779385042119478039e-02,6.370629479754559288e-01,2.210354409381425772e-02,-6.109629281921523380e-02,-1.767790372038494651e-01,1.258971410010967906e+00,-4.771024024180958896e-04,-2.200699219378263530e-02,4.847628381374703976e-01,1.000000000000000000e+00
1.045210361480712891e-01,-1.928980313731047669e-02,-2.736290173370951179e-02,-6.245884642776973195e-01,-4.293410261973930053e-01,7.343663252447552026e-02,4.160922887139801435e-02,2.170381421302825409e+00,1.022048499188111803e+00,4.871627037482615385e-01,1.468648433685302734e+00,1.117739969764542263e+00,1.117739969764542263e+00,-8.431192083522016933e-02,-6.270146470482558521e-02,-2.044804064781946540e+00,-1.834658249634528282e+00,-1.924602363055855081e-01,-4.840625524520874023e-01,-4.530951882305446210e-01,-4.530951882305446210e-01,1.255773565208788689e-01,-2.109223583342757086e-02,-1.087528831074464908e-02,-8.126097504464164789e-01,1.424632713768850430e-02,5.927074729907187978e-01,-6.012981361019049675e-01,-2.296290333485005997e-01,-6.922391248187548252e-02,-1.492921201613399418e-02,6.378559325029581339e-01,2.212917549220722729e-02,-6.215654954795711562e-02,-1.842449987354215224e-01,1.261102254488432939e+00,-7.677794185980851317e-04,-2.189138398231769284e-02,4.847763828430636801e-01,1.000000000000000000e+00
