meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.398849487304687500e-02,-4.673305821765560975e-03,2.921848290350488250e-02,-1.509797093244597856e-02,-6.608681886381161975e-04,1.186129500397101015e-02,-1.917475984857051462e-04,5.668368767202397462e-02,1.324441682597978670e-04,4.745523018995253042e-03,0.000000000000000000e+00,-7.189746633363245862e-03,-7.189746633363245862e-03,5.588299241264171532e-03,2.876213977285577194e-04,-1.315459630892600318e-01,4.254893722545143725e-02,-6.761957652658556750e-02,0.000000000000000000e+00,-6.587761336709697935e-02,-6.587761336709697935e-02,-7.486227541723605716e-02,9.587379924285257312e-05,1.744959424523518168e-02,4.268138139371123463e-02,2.902673530501917801e-02,-5.284240203783183848e-04,-2.909933207784535236e-01,9.664571968090779341e-02,-2.756207859449223349e-02,-3.459722901900395831e-02,5.059788135276428456e-01,1.743861328794416021e-02,-1.229356884145463846e-01,-1.925030800037801637e-01,9.296534876349917820e-01,-9.373616479569291809e-03,-2.205585894977696651e-02,3.872574200241562514e-01,1.000000000000000000e+00
2.626180648803710938e-02,1.333110210707567911e-03,2.921092112654130948e-02,2.010279835267752002e-01,8.787564216877642026e-03,-3.447059223075579423e-03,-1.917475984857051462e-04,-5.229257470623915882e-01,-9.849062321550328472e-03,4.080672926179679944e-02,3.451998531818389893e-02,-2.288988269778872153e-01,-2.288988269778872153e-01,4.526260109452978631e-04,3.834951969714102925e-04,1.052767251622796496e-01,1.232681691283167152e-01,1.231817571204874007e-01,-1.702780276536941528e-02,1.638266130395179543e-01,1.638266130395179543e-01,-4.176490219001119386e-01,1.917475984857051462e-04,-2.994433212130281560e-03,1.134191068067663816e-01,2.901917352805560499e-02,-1.061498104672686012e-03,-3.000700962449895370e-01,4.894235418164204210e-02,-1.988460005719869250e-02,-3.206396858855141418e-02,5.064353947967206171e-01,1.801711824397604286e-02,-1.382484454232051907e-01,-1.877130512887773828e-01,9.151956900932552985e-01,-9.061346183945365521e-03,-2.171697640405262364e-02,3.866525782903622033e-01,1.000000000000000000e+00
3.607988357543945312e-02,6.921867931075078098e-03,3.074357327010498672e-02,3.575423590338772106e-01,2.257173927503370314e-01,-1.798209138436803606e-02,-1.917475984857051462e-03,-9.486491019989069517e-01,-2.263072943100413181e-01,7.404575768249334333e-02,-2.748504281044006348e-01,-4.046235690381480010e-01,-4.046235690381480010e-01,1.113309284292268372e-03,9.587379924285257312e-04,3.883501039685774980e-01,1.782846413566445409e-02,2.859739886064303627e-01,1.148032918572425842e-01,4.154421120697162628e-01,4.154421120697162628e-01,-5.602989980303294537e-01,-9.587379924285257312e-04,-1.686878210007576595e-02,-2.084788301743768502e-01,2.882609728524793483e-02,-5.899015597042788980e-04,-3.097441831450569172e-01,1.224829918605951917e-02,-2.106676282363704328e-02,-2.968147422289743251e-02,5.068013979378800382e-01,1.819558613095000402e-02,-1.527655920561328817e-01,-1.882937738240670345e-01,9.012054220955107997e-01,-8.221354387415577211e-03,-2.135702743878225771e-02,3.860270941507550901e-01,1.000000000000000000e+00
4.594874382019042969e-02,1.104563535487766354e-02,3.399623607189104779e-02,4.409127228904193285e-01,3.689158375769205356e-01,-2.891676883802248715e-02,-6.040049352299712432e-03,-1.180954657128477470e+00,-3.655356890229592981e-01,9.834511931910486227e-02,-6.878618597984313965e-01,-3.755806372834881723e-01,-3.755806372834881723e-01,5.519106732674366675e-03,2.205097382585609073e-03,6.424016854302980750e-01,1.149556462383726774e-01,3.954736885903943344e-01,2.826579213142395020e-01,6.699403181771866889e-01,6.699403181771866889e-01,-5.385529716981793946e-01,-3.834951969714103358e-03,-2.339766210534811874e-02,-2.505800427845866207e-01,2.795618671959133536e-02,3.380148553961219698e-03,-3.177673443285604638e-01,-9.285780228775214473e-03,-2.793673625942794461e-02,-2.790522022263276780e-02,5.070290806699970787e-01,1.806807319477597359e-02,-1.636712369306984050e-01,-1.923512889879984700e-01,8.904950291140930618e-01,-7.205751187975317426e-03,-2.105928159158077309e-02,3.855204014358115105e-01,1.000000000000000000e+00
5.619502067565917969e-02,1.507962364719838549e-02,3.117423777124849263e-02,4.918642351677692814e-01,-1.529628156671238859e-01,-3.981324346547022303e-02,-5.464806556842596343e-03,-1.330234662857515238e+00,5.791820827442428765e-02,1.218994678192534681e-01,-2.906447350978851318e-01,-3.489122688173198483e-01,-3.489122688173198483e-01,1.356271333256857912e-02,7.382282541699648239e-03,9.339747292569547943e-01,7.761646926148992875e-01,4.924701539163198749e-01,7.579522132873535156e-01,8.497442385442943724e-01,8.497442385442943724e-01,-3.962599336005604433e-01,1.917475984857051896e-03,-2.625053013290164217e-02,8.340829008893235752e-01,2.570943121440589715e-02,-9.504460739269959824e-02,-3.264591047557851011e-01,-2.507075919759810256e-02,-4.037231376733882438e-02,-2.615021188480236639e-02,5.072114233722126997e-01,1.769634719285691216e-02,-1.745242215658233120e-01,-1.997785406567872957e-01,8.796486458848170598e-01,-5.835103166900890148e-03,-2.073738158298015291e-02,3.849816998645735344e-01,1.000000000000000000e+00
6.591415405273437500e-02,1.906051933726557804e-02,3.217785049485834270e-02,5.078356519656387347e-01,2.484106694713852925e-01,-5.079036390503402498e-02,-7.669903939428205850e-03,-1.390141038089394820e+00,-3.387718251263147073e-01,1.449016684105475794e-01,-2.172643393278121948e-01,-5.903118286244291024e-01,-5.903118286244291024e-01,2.568629016365912149e-02,1.965412884478477673e-02,1.269975839770779658e+00,1.381624774903300601e+00,5.768454002485825516e-01,8.972231149673461914e-01,8.237152398322105107e-01,8.237152398322105107e-01,-1.201651983186151629e-01,1.198422490535657088e-02,-2.510407374137490349e-02,1.042852949776985838e+00,2.450794655543013512e-02,-9.036115565492942869e-02,-3.359818522235367144e-01,-3.472833453030133022e-02,-5.905142737298389732e-02,-2.439876635857125137e-02,5.073460932137022761e-01,1.705261722797139431e-02,-1.854415077711401016e-01,-2.109848411706216897e-01,8.685311461577084335e-01,-4.059670334970342728e-03,-2.038537209788448407e-02,3.844018365752708832e-01,1.000000000000000000e+00
7.568907737731933594e-02,2.264465284848646634e-02,3.144702009107815111e-02,4.882381565282424840e-01,-6.293502107160796333e-02,-6.089531948951976137e-02,-1.025849651898522522e-02,-1.357514710216237264e+00,-1.063984649288519796e-01,1.653715231659318441e-01,-6.889316439628601074e-01,-3.455016389514975472e-01,-3.455016389514975472e-01,4.074683170244229602e-02,3.556917951909830539e-02,1.620286803056194103e+00,1.691108582168969310e+00,6.415765515809469521e-01,8.521106243133544922e-01,7.872953022691197011e-01,7.872953022691197011e-01,2.627720928399568390e-01,2.531068300011308017e-02,-2.014848778707746535e-02,1.584710117240117233e+00,2.118852357209292936e-02,-1.693334860004599429e-01,-3.454917228638197946e-01,-3.756107306331568640e-02,-8.221398596066160913e-02,-2.280253524218443795e-02,5.074225066158515318e-01,1.619883197949265399e-02,-1.954758398642164607e-01,-2.249134888326584092e-01,8.581118299923596870e-01,-2.042461007682658952e-03,-2.003443284734446328e-02,3.838319820153534567e-01,1.000000000000000000e+00
8.551478385925292969e-02,2.605789628471236880e-02,2.990913726793452410e-02,4.344295135248456563e-01,8.993473519058323151e-02,-7.074799230910761016e-02,-1.188835110611371863e-02,-1.236905134328012634e+00,-2.623829711782157958e-01,1.846173412409386483e-01,-2.769833207130432129e-01,-3.882715032977478442e-01,-3.882715032977478442e-01,5.937712619345420634e-02,5.474393936766881741e-02,2.003336747735209755e+00,1.978383186389328197e+00,6.916002877580817998e-01,6.912586688995361328e-01,8.714767414951893887e-01,8.714767414951893887e-01,7.664316134071971209e-01,4.285558826155509704e-02,-1.137086611565340383e-02,1.716000215211112456e+00,1.802078616182080373e-02,-1.724482359876325643e-01,-3.555165854159330063e-01,-3.419484721437668351e-02,-1.108354960725652094e-01,-2.126240035404474565e-02,5.074489004702728012e-01,1.510211119510602648e-02,-2.052439276466884732e-01,-2.421492938540066864e-01,8.477653485058078697e-01,3.116961532445838845e-04,-1.966504320347363041e-02,3.832398703743803980e-01,1.000000000000000000e+00
9.570765495300292969e-02,2.929932963275171109e-02,2.973175286083244370e-02,3.458043819673956576e-01,2.769043589653202853e-02,-8.034977454010708287e-02,-1.524393407961355945e-02,-1.026765667148847205e+00,-2.645252684134946075e-01,2.026295604797332395e-01,-4.540425837039947510e-01,-1.800471933878775854e-01,-1.800471933878775854e-01,8.164777439125725511e-02,7.650729179579635053e-02,2.419894404009704125e+00,2.414288394928089332e+00,7.266981703843415907e-01,7.651248574256896973e-01,9.531993090663526402e-01,9.531993090663526402e-01,1.393128736860856920e+00,6.126335771618279108e-02,1.297999851150172246e-03,2.149763126514594891e+00,1.448781878121888425e-02,-2.368348325169625790e-01,-3.660708172805767768e-01,-2.452361830324345515e-02,-1.450239972712881187e-01,-1.977842389357631001e-02,5.074244497487945260e-01,1.375774800378219004e-02,-2.147468804738014436e-01,-2.627576497826965007e-01,8.374870134403703537e-01,3.009805460408012875e-03,-1.927668222648895938e-02,3.826247895226247420e-01,1.000000000000000000e+00
1.054072380065917969e-01,3.245681353482890441e-02,2.789300778198173375e-02,2.173846318025760005e-01,-1.267371499691659353e-01,-8.997774910000951032e-02,-1.735315766295631584e-02,-7.148378554901453352e-01,-1.185550332872908619e-01,2.198782313241009756e-01,-1.038572862744331360e-01,-6.018100367706002984e-03,-6.018100367706002984e-03,1.084766988599007997e-01,1.031602079853093656e-01,2.884874471394296869e+00,2.896414511884640497e+00,7.469698092183556515e-01,8.038895726203918457e-01,9.844832875660760596e-01,9.844832875660760596e-01,2.170036615904151311e+00,8.580705032235305674e-02,1.849894975989128942e-02,2.777859478597349607e+00,1.053985011902541617e-02,-2.452921832564567972e-01,-3.775114738528863034e-01,-7.840804968584746959e-03,-1.861872282501376707e-01,-1.830891526316383300e-02,5.073450926795723959e-01,1.210851384901233396e-02,-2.242578323704503829e-01,-2.875882202037788327e-01,8.269671528470867727e-01,6.156745460396025049e-03,-1.885624455134750702e-02,3.819664447288431131e-01,1.000000000000000000e+00
