meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.480031013488769531e-02,2.251082129898517893e-03,9.650080229744787547e-03,4.962404716385477310e-01,4.270447662619656325e-03,-6.484222242087661972e-03,-5.752427954571154387e-04,-1.419153235769643029e+00,-1.078596333580963441e-02,4.811613771335642581e-02,0.000000000000000000e+00,3.771800191948018049e-02,3.771800191948018049e-02,3.279812690117908137e-03,-2.876213977285577194e-04,6.512875229813070987e-01,5.190249017561894725e-03,-2.152302927266681876e-02,0.000000000000000000e+00,-2.134674531151101173e-02,-2.134674531151101173e-02,-7.678657127883359301e-01,-8.628641931856731581e-04,-3.204409551969753835e-03,-5.595714318247739689e-03,9.074837434287672325e-03,-6.515515673189978089e-03,-5.078138260418463279e-01,3.809135954964092824e-02,-5.057004844505895436e-02,-4.441650163045554600e-02,6.416935363255507063e-01,2.152606568609077148e-02,-5.165572994056168848e-02,-2.899168738799347000e-01,1.241430638292125410e+00,1.474376639598683810e-03,-2.463413327684901843e-02,4.836510195116911492e-01,1.000000000000000000e+00
2.705526351928710938e-02,3.347983120392443966e-03,9.559661210868500292e-03,2.031187651014595974e-01,-3.374408141440472797e-02,-9.196168899432591998e-03,-5.752427954571154387e-04,-5.251037905592907951e-01,2.509873542878885214e-02,1.440724234288589256e-01,1.766131371259689331e-01,-1.911142902207952909e-01,-1.911142902207952909e-01,3.118081749224573852e-03,-4.793689962142628656e-04,8.155825626905799375e-02,-1.027530018121091959e-01,-1.224445238248607071e-01,6.119110062718391418e-02,-6.551440367556496391e-02,-6.551440367556496391e-02,-4.435455342902328013e-01,-1.054611791671378196e-03,-6.078087150208018145e-03,-7.765426638332034726e-02,8.984418415411385070e-03,-8.645345985615874099e-03,-5.219629694564174027e-01,-1.214453676478864652e-01,-5.786855784332678443e-02,-4.044305890246228941e-02,6.395239184429613033e-01,2.165405493535590628e-02,-5.301385625504699550e-02,-2.505430521833895141e-01,1.243769873525125691e+00,1.275514823852842662e-03,-2.405072547448563677e-02,4.839384327409518294e-01,1.000000000000000000e+00
3.937053680419921875e-02,3.169063959386695696e-03,9.605613535451407864e-03,-2.990172046389344418e-02,-8.034974482919796102e-02,-7.664980708191344166e-03,-8.628641931856731581e-04,1.926098918695824391e-01,5.409690825622590765e-02,2.232995453213822978e-01,-2.627325952053070068e-01,3.294808359846601031e-01,3.294808359846601031e-01,-5.621016610255361381e-04,-1.246359390157083559e-03,-3.924903280437699316e-01,-4.385634711289249782e-02,-1.938950725139622078e-01,-8.338756114244461060e-02,-3.353473953921296546e-01,-3.353473953921296546e-01,-1.998804361741874924e-01,-2.109223583342756825e-03,-8.227082369216879437e-03,1.024056114333340983e-02,8.742749342265734164e-03,-2.625283657297205683e-02,-5.348191558247438193e-01,-2.342924407426639766e-01,-6.329270169161226034e-02,-3.670062892352921047e-02,6.379812218234472976e-01,2.176044484273977064e-02,-5.431025638242779896e-02,-2.210752634024439334e-01,1.246067516848369916e+00,1.056918870822963008e-03,-2.356603353107913912e-02,4.841679917279329004e-01,1.000000000000000000e+00
5.180644989013671875e-02,1.820777086242426381e-03,5.995247086012144878e-03,-2.256078839965745542e-01,-5.319609461567754716e-01,-2.175792695000644886e-03,2.876213977285576977e-03,8.033493943573639662e-01,5.361452915977173994e-01,2.931976530012602722e-01,4.114503562450408936e-01,7.676149497115685172e-01,7.676149497115685172e-01,-7.701728769709135537e-03,-6.423544549271122291e-03,-8.147222565442007181e-01,-6.473518298992674280e-01,-2.438971013308667835e-01,-2.423354983329772949e-01,-6.408551825298256510e-01,-6.408551825298256510e-01,-1.137286218683675187e-02,-3.547330571985545314e-03,-9.877521464709781290e-03,-1.112065383015500286e-01,8.871461063297721855e-03,4.184345440941913963e-03,-5.474499091625861791e-01,-3.131337682761028418e-01,-6.741747283580255823e-02,-3.289208562513800532e-02,6.368931137244686624e-01,2.185509153984724340e-02,-5.564614093255173394e-02,-1.984156968589779191e-01,1.248496588788382322e+00,8.043490491499907108e-04,-2.313512542186160759e-02,4.843620179050899255e-01,1.000000000000000000e+00
6.408929824829101562e-02,-7.297663793407408589e-04,-6.794946658640868900e-03,-3.837272092360813347e-01,-1.010688406890161373e+00,7.385727693717361250e-03,1.658616726901349439e-02,1.306495147642342314e+00,1.089646456034346400e+00,3.537668602215505165e-01,9.460514187812805176e-01,8.373068124702444104e-01,8.373068124702444104e-01,-1.840835237776443367e-02,-2.157160482964182863e-02,-1.185248793687476709e+00,-1.626792243158146745e+00,-2.720905843551642556e-01,-4.325420558452606201e-01,-5.641566988948653050e-01,-5.641566988948653050e-01,1.212463539548656044e-01,-4.985437560628334236e-03,-1.102262468404707242e-02,-5.371457871238003445e-01,9.791220610372625491e-03,7.895804914418495801e-02,-5.598908426759818813e-01,-3.573971287797479968e-01,-7.022462624640815609e-02,-2.900342247634863507e-02,6.362671324286087726e-01,2.193801684563013651e-02,-5.702681997917580237e-02,-1.826565410313265581e-01,1.251068198210859128e+00,5.161553141972921198e-04,-2.275790959084328380e-02,4.845202767090095453e-01,1.000000000000000000e+00
7.208895683288574219e-02,-4.421139551419365175e-03,-1.411543992050375701e-02,-5.009291975094396498e-01,-5.861306156670378353e-01,2.079115413035871607e-02,2.655704239027016286e-02,1.691398131560744478e+00,7.532988851222360838e-01,4.037097917301833983e-01,9.721933007240295410e-01,7.820057966529840865e-01,7.820057966529840865e-01,-3.243041974228360463e-02,-4.103398607594090086e-02,-1.496110518845883419e+00,-2.176062976203184895e+00,-2.779460296720392964e-01,-2.061242461204528809e-01,-2.409192942521481418e-01,-2.409192942521481418e-01,1.952876127148610585e-01,-1.447694368567073800e-02,-1.163926561192488857e-02,-1.422764091080948923e+00,1.244160246976640585e-02,1.671682694551982762e-01,-5.718681210274452198e-01,-3.662526711475257435e-01,-7.165780462394744088e-02,-2.512082625470171693e-02,6.361151283701572678e-01,2.200744004718728844e-02,-5.842162306299167329e-02,-1.741162971903883194e-01,1.253724967500552623e+00,1.988515374048234387e-04,-2.244248466639778977e-02,4.846394268111343107e-01,1.000000000000000000e+00
7.802271842956542969e-02,-7.418521620341486482e-03,-1.532873193334040492e-02,-5.559675024914250141e-01,-2.551438704756620601e-01,3.152072554329171661e-02,3.029612056074141441e-02,1.880542556071341576e+00,5.206101314902279453e-01,4.307056511322832071e-01,1.027943849563598633e+00,1.160592642268795549e+00,1.160592642268795549e+00,-4.328664334552697474e-02,-5.397694897372599943e-02,-1.667511222701109297e+00,-2.104667143583037081e+00,-2.701385022371031730e-01,-4.696022272109985352e-01,-5.119641511675596113e-02,-5.119641511675596113e-02,2.130313333702322787e-01,-2.368082841298458502e-02,-1.176591780223525813e-02,-1.584057012092809025e+00,1.496738862740100949e-02,2.654662610145658852e-01,-5.794267693924242124e-01,-3.535996957574824018e-01,-7.187634947796309182e-02,-2.259555540389875106e-02,6.362627130578170087e-01,2.204562579534375191e-02,-5.933729531030320498e-02,-1.723101427491692261e-01,1.255499412577129936e+00,-2.292690009935067531e-05,-2.226921835163840624e-02,4.846966746580211316e-01,1.000000000000000000e+00
8.402132987976074219e-02,-9.982617710845336639e-03,-1.631255479209684986e-02,-5.866746167197973705e-01,-3.755775431089017902e-01,4.063579677365364989e-02,3.413107253045551820e-02,1.991992566787408325e+00,7.286043129970425358e-01,4.482668120606276285e-01,1.222015142440795898e+00,1.399411473705812536e+00,1.399411473705812536e+00,-5.235742064999698159e-02,-6.250971710633987377e-02,-1.781075000950242959e+00,-1.133164640855707672e+00,-2.583334951892203302e-01,-3.276866376399993896e-01,-1.324308764975203612e-01,-1.324308764975203612e-01,2.109175658371653661e-01,-2.837864457588435557e-02,-1.172162387634333169e-02,-4.045603278586651363e-01,1.781851773835866834e-02,3.530267698881407457e-01,-5.850085712712027597e-01,-3.346783820422101208e-01,-7.167760852164588303e-02,-2.069133441795234854e-02,6.364995524523893167e-01,2.207087078466462432e-02,-6.003209343113728030e-02,-1.728578068765249942e-01,1.256861130688319506e+00,-1.980086510430596920e-04,-2.215480934876159352e-02,4.847295280451290878e-01,1.000000000000000000e+00
8.992433547973632812e-02,-1.285079811535261296e-02,-1.829252088751753824e-02,-6.085307035442719670e-01,-5.562429012624330316e-01,5.078341713893261972e-02,3.959587908729811367e-02,2.078245459920414984e+00,9.942732790615635974e-01,4.636899723488264180e-01,1.237251996994018555e+00,1.310566094244699942e+00,1.310566094244699942e+00,-6.233904583214463363e-02,-6.691991187151109799e-02,-1.882884917902851729e+00,-7.327618559582519397e-01,-2.412177692142873364e-01,-2.508822679519653320e-01,-6.355752116080362057e-01,-6.355752116080362057e-01,1.953605420175632545e-01,-2.732403278421298431e-02,-1.155562869321201391e-02,2.615114231033116576e-01,2.130335819978057543e-02,4.380303777991305103e-01,-5.905777701041982075e-01,-3.073355897050362717e-01,-7.116105014053283884e-02,-1.875659708196160749e-02,6.368488481607270657e-01,2.209344826996448297e-02,-6.074176564836247794e-02,-1.750669753994228695e-01,1.258265156371342286e+00,-3.826868399631909359e-04,-2.205262668485160130e-02,4.847539803417817428e-01,1.000000000000000000e+00
9.588265419006347656e-02,-1.594573540159531858e-02,-2.023627606453288694e-02,-6.210297348930162720e-01,-5.401679277646601607e-01,6.169032489982894524e-02,4.601942363656923163e-02,2.137231721457381717e+00,1.048307153103589906e+00,4.765874330482711141e-01,1.270664930343627930e+00,1.177598952227991269e+00,1.177598952227991269e+00,-7.296350819495953099e-02,-7.267233982608224674e-02,-1.970364150885254517e+00,-1.075674066942542417e+00,-2.192788238510711141e-01,-5.045468807220458984e-01,-8.543628559474919504e-01,-8.543628559474919504e-01,1.668675705721271996e-01,-2.665291618951301511e-02,-1.127318329513058576e-02,-2.736691383895251128e-02,2.578314757203634469e-02,5.081392253389297453e-01,-5.959887115146649261e-01,-2.723496453069479406e-01,-7.034256115791759356e-02,-1.684220368874768739e-02,6.373006209785221365e-01,2.211278726626777005e-02,-6.144762870277953315e-02,-1.788674524535510679e-01,1.259674430417609736e+00,-5.720568509664379804e-04,-2.196525341677817850e-02,4.847694542232138804e-01,1.000000000000000000e+00
