meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.245570182800292969e-02,nan,5.331103359450286572e-01,nan,1.465917210872394287e-02,nan,-5.300862360137318374e-01,nan,-1.393772963666981522e-02,nan,0.000000000000000000e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.500484558052837869e+00,nan,-3.055020017274853381e-02,nan,0.000000000000000000e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.863050460815429688e-02,nan,5.332270434058149489e-01,nan,6.216934353285875903e-02,nan,-5.301821098129747556e-01,nan,-6.091446930929452636e-02,nan,-4.164023399353027344e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.500484558052837869e+00,nan,-5.393014144686176375e-02,nan,-2.139706134796142578e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.477312088012695312e-02,nan,5.517836738744018588e-01,nan,3.997794358419766159e+00,nan,-5.483981316691167729e-01,nan,-3.912900364554768196e+00,nan,-3.320314645767211914e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.494636256299024080e+00,nan,-1.049653505870301151e+00,nan,-2.093277215957641602e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.086924552917480469e-02,nan,5.850522713432406707e-01,nan,5.543648895798606979e+00,nan,-5.818580876048722317e-01,nan,-5.492317843140956057e+00,nan,-4.629416942596435547e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.483610769386095818e+00,nan,-1.949314138106786887e+00,nan,-2.184004783630371094e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.688216209411621094e-02,nan,5.994253579630216544e-01,nan,1.244738127385362381e+00,nan,-5.941299339079574304e-01,nan,-4.865767116673997417e-01,nan,-5.733000755310058594e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.471338923083010730e+00,nan,-1.876901518904825261e+00,nan,-2.576110601425170898e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.296970367431640625e-02,nan,5.992009558773216948e-01,nan,1.983872335903003048e-02,nan,-5.890486225480862092e-01,nan,5.572340632411333372e-01,nan,-3.793208599090576172e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.469421447098153699e+00,nan,2.357948212979081026e-01,nan,-2.936213016510009766e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.907727241516113281e-02,nan,6.058307083617486821e-01,nan,1.441289345470946337e+00,nan,-5.940340601087145123e-01,nan,-1.176336874809684074e+00,nan,-3.938124656677246094e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.474311010859539195e+00,nan,6.715170831533482376e-01,nan,-2.114064216613769531e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.520319938659667969e-02,nan,6.140860619151388144e-01,nan,1.173372013978504436e+00,nan,-6.000741094610142490e-01,nan,-7.523506801399783006e-01,nan,-4.414307594299316406e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.474311010859539195e+00,nan,-1.184852345398928614e-01,nan,-2.249595165252685547e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
6.122899055480957031e-02,nan,6.201258261474482669e-01,nan,1.151752968471053684e+00,nan,-6.032379448360284391e-01,nan,-5.895652549936155618e-01,nan,-4.014252185821533203e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.475269748851967933e+00,nan,3.261671357018346984e-01,nan,-2.498579978942871094e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
6.734514236450195312e-02,nan,6.286798084287799071e-01,nan,1.228884505226364610e+00,nan,-6.079357609989282096e-01,nan,-6.586603036854489224e-01,nan,-4.230830669403076172e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.478433584226981790e+00,nan,4.703892539433819908e-01,nan,-2.271966934204101562e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
7.339906692504882812e-02,nan,6.387951415096009278e-01,nan,1.617855802222115003e+00,nan,-6.128253247603135945e-01,nan,-9.458296714308577213e-01,nan,-3.967708826065063477e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.480926303007295886e+00,nan,4.568464244130295837e-01,nan,-2.422930002212524414e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
7.940936088562011719e-02,nan,6.496965592335974815e-01,nan,1.919524529979432570e+00,nan,-6.197282383057990396e-01,nan,-1.176126214606269649e+00,nan,-4.175124645233154297e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.485144750173981620e+00,nan,7.114365831264695128e-01,nan,-2.310290336608886719e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
8.551406860351562500e-02,nan,6.609348876230852765e-01,nan,1.976845098507698850e+00,nan,-6.265352780520415665e-01,nan,-1.123196574537163261e+00,nan,-4.168404102325439453e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.489267323541424215e+00,nan,7.430170755407395911e-01,nan,-2.543905496597290039e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
9.156346321105957031e-02,nan,6.728689937587226666e-01,nan,1.768132874675539590e+00,nan,-6.327670750028270286e-01,nan,-9.544115936109349718e-01,nan,-4.171408176422119141e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.495594994291452373e+00,nan,9.110068844191461235e-01,nan,-2.265152692794799805e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
9.764599800109863281e-02,nan,6.852782441500824273e-01,nan,1.979880357297521876e+00,nan,-6.398617361467980880e-01,nan,-1.163463757472675386e+00,nan,-4.249770164489746094e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.499238198662681043e+00,nan,4.945052127098638062e-01,nan,-2.168139696121215820e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.036431789398193359e-01,nan,6.965188497340909501e-01,nan,1.739271186773374334e+00,nan,-6.459017854990978247e-01,nan,-9.457441902016499036e-01,nan,-4.227180004119873047e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.501155674647538074e+00,nan,3.083004586830216942e-01,nan,-2.229153871536254883e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.089713573455810547e-01,nan,7.073271043038159567e-01,nan,1.871151450344532563e+00,nan,-6.518459610521546432e-01,nan,-9.924123536379786392e-01,nan,-4.240600585937500000e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.501922665041480531e+00,nan,3.298495228708981514e-02,nan,-2.211238861083984375e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.127700805664062500e-01,nan,7.162386372939365531e-01,nan,2.021496117155374250e+00,nan,-6.574066414082401222e-01,nan,-1.188566120938300941e+00,nan,-4.285122871398925781e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.500963927049052238e+00,nan,-2.795228236818703138e-01,nan,-2.152413368225097656e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.166372299194335938e-01,nan,7.249602659600520305e-01,nan,2.309653709079905859e+00,nan,-6.624879527681112323e-01,nan,-1.339832505721824774e+00,nan,-4.223119258880615234e+00,-4.299999999999999822e+00,-4.299999999999999822e+00,nan,2.498567082067980838e+00,nan,-6.756805246002532961e-01,nan,-2.044587135314941406e+00,-2.200000000000000178e+00,-2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
