meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.332974433898925781e-02,nan,-5.489716992812151419e-01,nan,1.079002854133223784e-02,nan,5.719830862828584328e-01,nan,-1.085014447778324259e-02,nan,0.000000000000000000e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.530109562018879377e+00,nan,-7.391117396563957886e-02,nan,0.000000000000000000e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.017235755920410156e-02,nan,-5.503420939706091808e-01,nan,-7.567227407269936368e-01,nan,5.736129408699869314e-01,nan,7.391079711794236173e-01,nan,3.554675817489624023e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.529438445424179616e+00,nan,2.633038605540975463e-01,nan,1.973454236984252930e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.703642845153808594e-02,nan,-5.782360367478465157e-01,nan,-5.051935222067229780e+00,nan,6.017998378473855547e-01,nan,5.085993821245926583e+00,nan,3.032976388931274414e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.516303734927908486e+00,nan,2.339346168003526572e+00,nan,1.758817076683044434e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.374910354614257812e-02,nan,-6.063934609897484451e-01,nan,-1.939467195683570511e+00,nan,6.307537252187270793e-01,nan,2.275538784044153662e+00,nan,6.410931587219238281e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.497416596477066708e+00,nan,2.458612050740550448e+00,nan,3.131196737289428711e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.053807258605957031e-02,nan,-5.910929761016560091e-01,nan,1.722673395222321657e+00,nan,6.207828500974703623e-01,nan,-1.570354595755025784e+00,nan,3.902231693267822266e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.500580431852081009e+00,nan,-1.171104824370925224e+00,nan,2.839846849441528320e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.615211486816406250e-02,nan,-5.945707507585097362e-01,nan,-9.354458773437733798e-01,nan,6.245219282679416173e-01,nan,1.354646973866743931e+00,nan,3.478685855865478516e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.508058588193023297e+00,nan,-7.965469567494416481e-01,nan,1.916772842407226562e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.139088630676269531e-02,nan,-6.020122854945580970e-01,nan,-1.364672914004727344e+00,nan,6.338216867944983512e-01,nan,1.562831873077716427e+00,nan,4.593239307403564453e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.507962714393780601e+00,nan,1.934002745948702195e-01,nan,2.111114501953125000e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.655837059020996094e-02,nan,-6.025857168813719689e-01,nan,9.135171946268172416e-02,nan,6.375607649649696063e-01,nan,5.968950597379757417e-01,nan,4.398714542388916016e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.506141112208166266e+00,nan,3.546283356707682355e-01,nan,2.428244590759277344e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
6.180214881896972656e-02,nan,-5.998598680960113283e-01,nan,-1.338551337983981959e-01,nan,6.400534837452838133e-01,nan,4.770778090285485162e-01,nan,4.123452186584472656e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.507003976401351864e+00,nan,-2.841668044594530818e-01,nan,2.515619516372680664e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
6.699633598327636719e-02,nan,-6.021270209751339308e-01,nan,-2.603508341450119223e-01,nan,6.437925619157550683e-01,nan,8.219155010854258814e-01,nan,3.929736852645874023e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.509017326185452035e+00,nan,-3.590246736758926360e-01,nan,2.327570915222167969e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
