meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.311397552490234375e-02,nan,-5.521841376839720095e-01,nan,-3.600420408736375311e-02,nan,5.800364854192581188e-01,nan,3.538153394290686343e-02,nan,0.000000000000000000e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.539696941943164532e+00,nan,-2.699364736519128949e-02,nan,0.000000000000000000e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.992964744567871094e-02,nan,-5.531399911520960000e-01,nan,-4.667402423725461880e-01,nan,5.809952234116866343e-01,nan,4.655906485764930713e-01,nan,3.819423675537109375e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.538929951549221631e+00,nan,3.099257021523643685e-01,nan,2.021454095840454102e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.658176422119140625e-02,nan,-5.764727720573480374e-01,nan,-4.259759394838718016e+00,nan,6.045801780254282942e-01,nan,4.336394410175919312e+00,nan,3.295809268951416016e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.525986988651436782e+00,nan,2.111093684188534603e+00,nan,2.224969625473022461e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.318715095520019531e-02,nan,-6.011320047395085631e-01,nan,-2.172463406061941882e+00,nan,6.301784824232700144e-01,nan,2.395058582546359727e+00,nan,6.008062839508056641e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.510934802170309066e+00,nan,2.256018915969011829e+00,nan,2.327616453170776367e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.983879089355468750e-02,nan,-5.925500798015712611e-01,nan,1.457167781841460563e+00,nan,6.256724138588558581e-01,nan,-8.611781625443007959e-01,nan,4.093456745147705078e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.497800091674037937e+00,nan,1.661989911705179068e+00,nan,2.696752548217773438e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.645466804504394531e-02,nan,-5.939885210089598244e-01,nan,-6.802005955663361636e-01,nan,6.284527540368985976e-01,nan,9.539469240155811214e-01,nan,3.841130018234252930e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.495882615689180906e+00,nan,-1.186697728780839456e-01,nan,2.672662496566772461e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.304813385009765625e-02,nan,-5.972564043939254663e-01,nan,-4.365738741930201283e-01,nan,6.339175605937411584e-01,nan,7.428240171676548931e-01,nan,4.235681533813476562e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.497416596477066708e+00,nan,-6.609431112764051208e-02,nan,2.034736156463623047e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.968642234802246094e-02,nan,-5.978174370007699467e-01,nan,-1.020058108765442562e-02,nan,6.370813959687553485e-01,nan,4.800464794284438064e-01,nan,4.055735588073730469e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.497033101280095480e+00,nan,-1.001588150338170585e-01,nan,2.577117919921875000e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
6.594204902648925781e-02,nan,-5.986418090595407859e-01,nan,-8.892238287601406110e-02,nan,6.406287265407408782e-01,nan,5.582491645413197867e-01,nan,4.182017326354980469e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.499334072461923739e+00,nan,-3.659462657594141355e-01,nan,2.226551771163940430e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
7.059073448181152344e-02,nan,-6.007336026120106975e-01,nan,-2.909106763132930373e-01,nan,6.453265427036406487e-01,nan,8.672612802048541569e-01,nan,3.977609395980834961e+00,4.299999999999999822e+00,4.299999999999999822e+00,nan,-2.500484558052837869e+00,nan,-3.345232535505409110e-01,nan,2.498213529586791992e+00,2.200000000000000178e+00,2.200000000000000178e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
