meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.456141471862792969e-02,4.668003182670286445e-03,-1.570172042819466263e-02,3.605571527958689043e-02,5.242161877998047920e-02,-1.177603138280637618e-02,-9.587379924285257312e-05,-1.154919915728303131e-01,-5.240404286158721614e-02,-8.226200672107598227e-03,0.000000000000000000e+00,2.929386778579106537e-03,2.929386778579106537e-03,-6.131947027407554096e-03,-9.587379924285257312e-05,1.507860258184515190e-01,6.194054834674787846e-02,7.267885926642145278e-02,0.000000000000000000e+00,7.137050498064176351e-02,7.137050498064176351e-02,3.529403424562120584e-02,-1.917475984857051462e-04,-1.790797841021393028e-02,9.536505485160662321e-03,-1.579759422743751487e-02,1.757591839326344657e-05,-8.642479663553102875e-02,9.149161164687623360e-02,2.660653314297065780e-02,-1.352122778174889503e-02,2.897685091937541868e-01,1.144344277526292836e-02,-1.014175026482705688e-01,-6.933892104237709963e-02,2.771106126980416029e-01,-4.868963019750572295e-03,-1.249594512688993568e-02,2.170459441886658791e-01,1.000000000000000000e+00
2.621698379516601562e-02,-1.481346881271324717e-03,-1.589803290017792470e-02,-2.094762748888844839e-01,-7.039947682713591781e-02,3.829150587227238972e-03,9.587379924285257312e-05,5.463123603932286132e-01,7.094840205143992939e-02,-3.501748959476302936e-02,-1.276748776435852051e-01,1.457111489024584816e-01,1.457111489024584816e-01,-3.993195710655017203e-04,-1.917475984857051462e-04,-1.167216238768861158e-01,2.255341669747559612e-03,-1.361912117144317980e-01,-5.541735514998435974e-02,-1.844330168999159247e-01,-1.844330168999159247e-01,4.295907365163424974e-01,-9.587379924285257312e-05,3.429831016161737252e-03,7.320374372118748640e-02,-1.580215910093507245e-02,5.489252243040057284e-04,-8.800142978454658649e-02,3.573721784215413977e-02,4.665377161133231476e-02,-1.179946884509085886e-02,2.896553089803346470e-01,1.278010644422041334e-02,-1.180275367092894212e-01,-4.868260312089848357e-02,2.581866990142483997e-01,-3.273207372956207784e-03,-1.153635593943171979e-02,2.156354736044133191e-01,1.000000000000000000e+00
3.615236282348632812e-02,-6.880710988857834977e-03,-1.680422822810161143e-02,-3.761767610095744785e-01,-2.439862577432268254e-01,1.788242600774007235e-02,1.054611791671378196e-03,1.002287949030120195e+00,2.482757829629159974e-01,-5.832375676664722230e-02,1.885840296745300293e-01,2.129536509700896696e-01,2.129536509700896696e-01,-9.639348079296655020e-04,-1.150485590914230877e-03,-4.062140238336487408e-01,-5.352005039920927632e-02,-2.989649697357502633e-01,-2.235750108957290649e-01,-4.001064196044544774e-01,-4.001064196044544774e-01,5.960739251964715102e-01,-9.587379924285268154e-05,1.691849119981040511e-02,1.947557325637067072e-01,-1.574961643643023324e-02,4.289525219689181539e-03,-9.147252102318578770e-02,3.711331224935665585e-05,5.384867182157742488e-02,-1.043181662229924513e-02,2.895424838616463270e-01,1.342188648077615246e-02,-1.309713891823716114e-01,-3.532790497415069786e-02,2.435732695904486433e-01,-1.280041524295864094e-03,-1.065371321092706269e-02,2.145984785665090711e-01,1.000000000000000000e+00
4.620170593261718750e-02,-1.142088695324749298e-02,-1.761931176907322733e-02,-4.789014679615054004e-01,-3.808641212508313834e-02,2.996857312022444680e-02,2.013349784099904144e-03,1.289861657143622109e+00,6.157800213667157657e-02,-7.775473079085570838e-02,4.018358588218688965e-01,2.185153262076326430e-01,2.185153262076326430e-01,-5.727116512971308637e-03,-2.492718780314167118e-03,-6.914745526535079900e-01,-1.515607941211401799e-01,-4.200393238322293055e-01,-3.989655673503875732e-01,-5.716648391370894311e-01,-5.716648391370894311e-01,5.983871044901141190e-01,-4.793689962142629740e-04,2.424145660725313817e-02,-8.998279198446859639e-02,-1.560596198497332145e-02,2.349159001158843824e-02,-9.598981921195438860e-02,-1.982859252695250152e-02,5.192611676435432422e-02,-9.392197231917660122e-03,2.894373235084541918e-01,1.355410868614183653e-02,-1.405988941431600692e-01,-2.776182036041111023e-02,2.328192486348839851e-01,8.494824853060136197e-04,-9.880814846528042025e-03,2.138808204925634338e-01,1.000000000000000000e+00
5.617046356201171875e-02,-1.593608256527959122e-02,-1.776294116303560322e-02,-5.452824360078949439e-01,-1.217083788244722742e-01,4.224535187798061919e-02,2.588592579557019366e-03,1.484285079870716340e+00,1.628121438821624467e-01,-9.691960564270421519e-02,2.389749437570571899e-01,3.061755399191304905e-01,3.061755399191304905e-01,-1.456119992470533697e-02,-9.587379924285257746e-03,-1.015133729684119412e+00,-1.057168083019745186e+00,-5.253546416937865393e-01,-6.198189854621887207e-01,-7.301980460588561872e-01,-7.301980460588561872e-01,4.691513501865969271e-01,-6.998787344728238380e-03,2.768415195327528222e-02,-8.943559391375827117e-01,-1.517434858347858559e-02,4.110376505769017946e-02,-1.020095060340525522e-01,-2.988441331469553208e-02,4.239724227601843892e-02,-8.463774498129364443e-03,2.893229119017494688e-01,1.329634583488582822e-02,-1.489728624179602612e-01,-2.373744969865689697e-02,2.235899736540998273e-01,3.400584176110146330e-03,-9.082830404696472584e-03,2.133145491760026491e-01,1.000000000000000000e+00
6.617283821105957031e-02,-2.033718432318274913e-02,-1.817978085952933615e-02,-5.738438115467638934e-01,-2.955035977389058877e-02,5.447165451528168667e-02,4.122573367442660536e-03,1.581296841224693717e+00,1.091723682673459289e-01,-1.154393991536799696e-01,2.405347973108291626e-01,2.913309609091813135e-01,2.913309609091813135e-01,-2.731081128866182789e-02,-2.559830439784163691e-02,-1.370988845338029671e+00,-1.953536143090241151e+00,-6.127624688252153451e-01,-7.045270204544067383e-01,-7.008221304239996563e-01,-7.008221304239996563e-01,2.103079958866640453e-01,-2.147573103039897638e-02,2.716084322661985878e-02,-1.844363774822895152e+00,-1.405720749208667734e-02,7.962200849345534015e-02,-1.094198493931832494e-01,-2.988694824647004922e-02,2.541483020132179887e-02,-7.665360695617551810e-03,2.892014615752026563e-01,1.265188208627842509e-02,-1.559224610753425222e-01,-2.335043267629401120e-02,2.160743858147287644e-01,6.324921230357918346e-03,-8.275373285444491758e-03,2.129115237192745758e-01,1.000000000000000000e+00
7.611703872680664062e-02,-2.467619445063607211e-02,-1.751950515160794267e-02,-5.652029348149245624e-01,7.385563192383663711e-02,6.678993238041747160e-02,4.793689962142628873e-03,1.582759469013008236e+00,6.978797300634091531e-03,-1.335341813815701661e-01,2.498375922441482544e-01,2.950954165652082128e-01,2.950954165652082128e-01,-4.409454815962272206e-02,-4.774515202294057903e-02,-1.762931948177600461e+00,-2.260578351784957363e+00,-6.834136518349701594e-01,-7.939299941062927246e-01,-6.653705641300610152e-01,-6.653705641300610152e-01,-1.801724791645922252e-01,-4.295146206079795276e-02,2.269538422079474954e-02,-2.253599554484323253e+00,-1.272581518946531466e-02,8.083442922447073298e-02,-1.182964614991695168e-01,-1.991210713787268383e-02,8.378018379212384681e-04,-6.986696924921654596e-03,2.890716143957639539e-01,1.161614748074906410e-02,-1.615391957458993666e-01,-2.656881805372168781e-02,2.101722189425641596e-01,9.653657506405156907e-03,-7.449132287057867730e-03,2.126658287927649937e-01,1.000000000000000000e+00
8.607745170593261719e-02,-2.891596822200228484e-02,-1.729503546084777688e-02,-5.195475749309652613e-01,4.355301917647907972e-03,7.909391523672801294e-02,6.135923151542564680e-03,1.488951684550086751e+00,1.395439636976328890e-01,-1.510495556354455315e-01,3.366781473159790039e-01,2.795440692101068825e-01,2.795440692101068825e-01,-6.475569961097996097e-02,-5.982525072754000389e-02,-2.187480629187875891e+00,-9.186122795229509919e-01,-7.367513756008668979e-01,-6.879042983055114746e-01,-7.446151417838626774e-01,-7.446151417838626774e-01,-6.985289446377891398e-01,-5.368932757599743921e-02,1.433821562574805197e-02,-7.790683158253181029e-01,-1.115911230930521220e-02,1.438992656152807970e-01,-1.285584952593057384e-01,-7.613484832465211571e-05,-3.109922120554849817e-02,-6.433257505605687911e-03,2.889345132039927155e-01,1.019924665173384606e-02,-1.657788020902145609e-01,-3.335392196573903900e-02,2.059293379633533871e-01,1.335691873309462208e-02,-6.611273880203498605e-03,2.125790987600364446e-01,1.000000000000000000e+00
9.602618217468261719e-02,-3.308494485288609316e-02,-1.598480397664101688e-02,-4.368044729492865375e-01,6.162259539073101922e-02,9.146446036253325085e-02,7.190534943213942876e-03,1.299840528631173386e+00,9.166702616243961599e-02,-1.681040467550086459e-01,1.751704066991806030e-01,1.566657990648090693e-01,1.566657990648090693e-01,-8.940617511046125565e-02,-7.305583502305365573e-02,-2.647222375412448869e+00,-1.736075828309550984e+00,-7.732316971679893403e-01,-5.905877351760864258e-01,-1.163525591528713932e+00,-1.163525591528713932e+00,-1.347381846781275483e+00,-6.586530007983970592e-02,2.058285252071995197e-03,-1.644408802147111270e+00,-8.794269033427072266e-03,1.532896215531706352e-01,-1.402648403479718753e-01,2.969085404953590579e-02,-7.056086345894058143e-02,-6.000643273349524388e-03,2.887893023739837028e-01,8.394210211283453446e-03,-1.686775361012621544e-01,-4.372846496857366039e-02,2.033077392065713862e-01,1.745672380225941206e-02,-5.756368993848418915e-03,2.126497917654170955e-01,1.000000000000000000e+00
1.063330173492431641e-01,-3.717506757720796112e-02,-1.403546403131691704e-02,-3.171002907709243313e-01,-1.032712285132520447e-01,1.038778999420073706e-01,7.765777738671058097e-03,1.015706388421189432e+00,2.282339457170915187e-01,-1.846645481318605342e-01,-2.373317070305347443e-02,8.451794310001636834e-02,8.451794310001636834e-02,-1.180021431329306425e-01,-9.922938221635241307e-02,-3.141305848067361239e+00,-2.964236236680279912e+00,-7.927700929157878162e-01,-9.288157224655151367e-01,-1.116610667074395380e+00,-1.116610667074395380e+00,-2.125599459646172029e+00,-9.146360447768135671e-02,-1.412424319092327185e-02,-2.736002290963188255e+00,-6.269686292645858944e-03,1.249627172038394740e-01,-1.533942926707675958e-01,6.934034654454361568e-02,-1.174779404372688352e-01,-5.689788281008762577e-03,2.886362533999174418e-01,6.204164809953538126e-03,-1.702286803229341450e-01,-5.767564980307660072e-02,2.023138507839083999e-01,2.194555221927491778e-02,-4.886042516685911233e-03,2.128779081825240838e-01,1.000000000000000000e+00
