meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.591587066650390625e-02,-4.673305821765560975e-03,-3.116674767768429888e+00,-1.509797093244597856e-02,1.420024576720290560e-02,1.186129500397101015e-02,-4.793689962142628656e-04,5.668368767202397462e-02,-1.494004649576162989e-02,4.745523018995253042e-03,0.000000000000000000e+00,-7.189746633363245862e-03,-7.189746633363245862e-03,5.588299241264171532e-03,-4.793689962142628656e-04,-1.315459630892600318e-01,-2.708734434233218968e-02,-6.761957652658556750e-02,0.000000000000000000e+00,-6.587761336709697935e-02,-6.587761336709697935e-02,-7.486227541723605716e-02,-9.587379924285257312e-04,1.744959424523518168e-02,-4.202739083809382131e-02,-3.117154136764644257e+00,-7.398007285587237516e-04,-2.909933207784535236e-01,9.664571968090779341e-02,-2.756207859449223349e-02,-3.459722901900395831e-02,5.059788135276428456e-01,1.743861328794416021e-02,-1.229356884145463846e-01,-1.925030800037801637e-01,9.296534876349917820e-01,-9.373616479569291809e-03,-2.205585894977696651e-02,3.872574200241562514e-01,1.000000000000000000e+00
2.834892272949218750e-02,1.971922471997363153e-03,-3.116685013349765665e+00,2.212292890807777690e-01,1.931004887082196642e-02,-5.093364820292782882e-03,-4.793689962142628656e-04,-5.774754638663481821e-01,-1.952010214203463850e-02,4.462236448243817044e-02,6.703945994377136230e-02,-1.190483786487154472e+00,-1.190483786487154472e+00,2.461691357711166470e-04,-4.793689962142628656e-04,1.343815204904406091e-01,2.724900556759968923e-02,1.425536317889436189e-01,9.578826278448104858e-02,-2.171585687764925887e-01,-2.171585687764925887e-01,-4.430939433759075730e-01,-9.587379924285257312e-04,-4.847195684521666235e-03,7.728903425565050722e-03,-3.117164382345980034e+00,-2.100532712126736872e-04,-3.011121894262418497e-01,4.434933831168289681e-02,-1.958810929392596628e-02,-3.179295811272200151e-02,5.064802798602341394e-01,1.805617055071373836e-02,-1.398938462228077606e-01,-1.875182724151454317e-01,9.136244391982017987e-01,-8.993815712445918722e-03,-2.167814682072690888e-02,3.865843339575689708e-01,1.000000000000000000e+00
4.079103469848632812e-02,7.506170021242569712e-03,-3.110820316863692980e+00,3.711205834596043029e-01,8.654028390112236124e-01,-1.951991167005137640e-02,-8.628641931856731798e-03,-9.860623366819416535e-01,-9.631150433216930651e-01,7.750122574048559643e-02,-1.177952885627746582e+00,-1.390528974059696665e+00,-1.390528974059696665e+00,1.522193991500046806e-03,-1.533980787885641170e-03,4.218635471279941207e-01,-5.153839327237862145e-02,3.020728744426999790e-01,-2.423360645771026611e-01,-1.973197296064155282e-03,-1.973197296064155282e-03,-5.641987895539475328e-01,-1.016262271974237297e-02,-1.799771767855132959e-02,-1.014653436594071589e+00,-3.119448958795549842e+00,-9.771220431046949428e-02,-3.108323516862384617e-01,8.892516112322959576e-03,-2.171050118489297256e-02,-2.943079960958317268e-02,5.068359880904944603e-01,1.819176612237403262e-02,-1.543001691078725590e-01,-1.886692110055794847e-01,8.997091475612511990e-01,-8.099208289412837547e-03,-2.131660668358537417e-02,3.859577829387642600e-01,1.000000000000000000e+00
5.304646492004394531e-02,1.276035558671478887e-02,-3.097823577377550208e+00,4.665209922716124225e-01,9.757187111742237073e-01,-3.352271589709663463e-02,-2.511893540162737568e-02,-1.254473115909070513e+00,-1.228822911303778076e+00,1.083852045786257434e-01,-1.549757480621337891e+00,-1.018227626010566045e+00,-1.018227626010566045e+00,8.456230787196190521e-03,0.000000000000000000e+00,7.607828194107139064e-01,-3.927018085780238643e-02,4.380100242920749176e-01,-3.213660418987274170e-01,2.505435990269775370e-01,2.505435990269775370e-01,-4.936902964983566067e-01,-2.511893540162737568e-02,-2.506648510990044237e-02,-1.268093092161580504e+00,-3.122942512779177449e+00,-2.531042001295543686e-01,-3.213530840784754594e-01,-1.667706266861754272e-02,-3.248497877557426916e-02,-2.716147125804712140e-02,5.071118014957505249e-01,1.794194616452432153e-02,-1.682606455585524685e-01,-1.950620022934000664e-01,8.859322292256364140e-01,-6.671816315618122467e-03,-2.092640674177837987e-02,3.852969722277672093e-01,1.000000000000000000e+00
6.541991233825683594e-02,1.763634712796088161e-02,-3.097414929696849839e+00,5.063744521676886157e-01,-5.045646847507440080e-02,-4.683550882326006221e-02,-3.211772274635561059e-02,-1.379543607765346236e+00,-3.986045894011098212e-01,1.367026050170300766e-01,-8.425362110137939453e-01,-9.417352622045427335e-01,-9.417352622045427335e-01,2.083023321768896069e-02,1.150485590914230877e-03,1.143788441976862913e+00,2.332787894550827357e-01,5.480661572532925518e-01,3.217140734195709229e-01,4.681494460163033722e-01,4.681494460163033722e-01,-2.357551657884833229e-01,-3.096723715544138014e-02,-2.600527560557110152e-02,-1.653257999460270855e-01,-3.129532652443205443e+00,-4.490610578761842220e-01,-3.324578946975682014e-01,-3.200705082093149856e-02,-5.157478116339141161e-02,-2.502777035598476030e-02,5.073035263545948581e-01,1.731723352640730448e-02,-1.815101552741398838e-01,-2.064952455274666476e-01,8.725597489530274586e-01,-4.747242771444140814e-03,-2.051556122841366805e-02,3.846152643707101970e-01,1.000000000000000000e+00
7.770824432373046875e-02,2.225613213391845063e-02,-3.093047873646169066e+00,4.920828959764917410e-01,2.819529758616217130e-01,-5.978870565747712584e-02,-4.266384066306939254e-02,-1.365434318875047293e+00,-8.355888463151381895e-01,1.631647288525449602e-01,-8.661895394325256348e-01,-1.390392091703868571e+00,-1.390392091703868571e+00,3.890437771917142074e-02,5.177185159114038732e-03,1.579892872211176247e+00,4.048763649771654483e-01,6.351285316687271809e-01,4.064043760299682617e-01,6.047719511104316936e-01,6.047719511104316936e-01,2.144585533361289542e-01,-3.748665550395535728e-02,-2.088432793830570511e-02,-4.307124813379727413e-01,-3.135711714309238562e+00,-5.536358704535164765e-01,-3.444134472801939628e-01,-3.755083039370316067e-02,-7.938188663866878325e-02,-2.297654653715975465e-02,5.074164934942635430e-01,1.630526675369790152e-02,-1.943777298747706439e-01,-2.232092280841706522e-01,8.592620382032781778e-01,-2.282328366841851301e-03,-2.007419692753096771e-02,3.838961738188506057e-01,1.000000000000000000e+00
8.999657630920410156e-02,2.654145067707974412e-02,3.193470947696554152e+00,4.236864073022547639e-01,2.748752944501945406e-01,-7.216419636196268195e-02,-5.531918216312593783e-02,-1.211869590715508815e+00,-9.528624452884034701e-01,1.873218775459381813e-01,-1.453167796134948730e+00,-1.095822258600057664e+00,-1.095822258600057664e+00,6.239713187835386338e-02,1.361407949248506603e-02,2.061992620728749337e+00,6.991358061554487913e-01,6.976554981926818000e-01,5.805079340934753418e-01,7.528859006464686532e-01,7.528859006464686532e-01,8.501230300132405215e-01,-4.170510267064087007e-02,-9.767064483608818570e-03,-2.537266391329546789e-01,3.138151765533428339e+00,-6.779871508382089296e-01,-3.570227792764800179e-01,-3.317963334311030410e-02,-1.154729644523572601e-01,-2.104243284831487301e-02,5.074485226607869937e-01,1.492155833912587812e-02,-2.066466101707967185e-01,-2.449436393009910562e-01,8.462619255090527703e-01,6.836604688051136497e-04,-1.960958839067109688e-02,3.831515979749334222e-01,1.000000000000000000e+00
1.027281284332275391e-01,3.052791118562234174e-02,3.197808776135766973e+00,3.012161472353311331e-01,6.570255888293309310e-01,-8.406089885215864421e-02,-6.979612584879667236e-02,-9.191007008112641596e-01,-1.446536205582079626e+00,2.093790134968843974e-01,-1.005114078521728516e+00,1.416924731868603349e+00,1.416924731868603349e+00,9.143056671122493095e-02,2.713228518572727982e-02,2.593250296543684552e+00,1.282254297164039158e+00,7.363648445601767012e-01,6.806745529174804688e-01,2.224785675004822494e+00,2.224785675004822494e+00,1.674149595732420392e+00,-4.266384066306939254e-02,7.369667859066286741e-03,-1.642819084180404676e-01,3.128012650286970509e+00,-7.895106167527486951e-01,-3.703741478805107068e-01,-1.896057257645678007e-02,-1.600359558223447554e-01,-1.920969930916620327e-02,5.074006710587714020e-01,1.315944874505434181e-02,-2.184151237957262237e-01,-2.718113392034181008e-01,8.334586193226329875e-01,4.167981254485511947e-03,-1.911847513381003533e-02,3.823761929696076756e-01,1.000000000000000000e+00
1.098377704620361328e-01,3.434029718850650781e-02,3.189071592806842492e+00,1.173544680580588667e-01,-1.853509391718167532e+00,-9.587395464027605174e-02,-6.739928086772535576e-02,-4.690871385770608026e-01,1.141151284114314102e+00,2.300019762384947486e-01,1.071223020553588867e+00,1.959220171818819800e+00,1.959220171818819800e+00,1.273385502801246127e-01,4.736165682596917004e-02,3.195196569256736119e+00,2.964102163164151094e+00,7.513162071899142092e-01,1.990086078643798828e+00,2.276848757667401024e+00,2.276848757667401024e+00,2.726109430679675150e+00,-2.003762404175618572e-02,3.146459563984856100e-02,4.105253447278465195e+00,3.121672311939116984e+00,-7.123581076038533189e-01,-3.849814782464051066e-01,6.152570734857087942e-03,-2.151164108318727730e-01,-1.741899419104028790e-02,5.072668434080938038e-01,1.093566209580442566e-02,-2.300726818446187094e-01,-3.050470222706183065e-01,8.204093245699093373e-01,8.322637109724254773e-03,-1.858199659044118893e-02,3.815407872764040031e-01,1.000000000000000000e+00
1.163542270660400391e-01,3.630570980259242853e-02,3.170556574748957690e+00,-8.924569037077010117e-03,-3.116779490693199151e+00,-1.021696396781499039e-01,-5.359345377675459043e-02,-1.568587429966983859e-01,2.416118985282382337e+00,2.404115457248511001e-01,1.759922623634338379e+00,7.781077922888802734e-01,7.781077922888802734e-01,1.496924334023983227e-01,7.334345642078221594e-02,3.549822257871247722e+00,4.211555862857904842e+00,7.486110791358773220e-01,2.156626462936401367e+00,1.854781551302438602e+00,1.854781551302438602e+00,3.392963514874549169e+00,1.975000264402762551e-02,4.752279372424841886e-02,6.627674848140287622e+00,3.116963120972203072e+00,-7.006605054108165920e-01,-3.933797982185968101e-01,2.453279793301527123e-02,-2.493933073438521775e-01,-1.647789449055817382e-02,5.071562953686006292e-01,9.535066569474889148e-03,-2.362726750711352797e-01,-3.257395878284268242e-01,8.133020918798290477e-01,1.085260547576420015e-02,-1.827389816195051572e-02,3.810658181182460802e-01,1.000000000000000000e+00
