meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.481747627258300781e-02,-2.251082129898517893e-03,-5.610649385711605902e-02,-4.962404716385477310e-01,-2.564797973178059229e-02,6.484222242087661972e-03,-2.876213977285577194e-04,1.419153235769643029e+00,2.424312584635826551e-02,-4.811613771335642581e-02,0.000000000000000000e+00,-3.771800191948018049e-02,-3.771800191948018049e-02,-3.279812690117908137e-03,9.587379924285257312e-05,-6.512875229813070987e-01,-1.728727075850228223e-02,2.152302927266681876e-02,0.000000000000000000e+00,2.134674531151101173e-02,2.134674531151101173e-02,7.678657127883359301e-01,-1.917475984857051462e-04,3.204409551969753835e-03,6.955855087855983276e-03,-5.639411525484461923e-02,-1.404853885422326564e-03,-5.078138260418463279e-01,3.809135954964092824e-02,-5.057004844505895436e-02,-4.441650163045554600e-02,6.416935363255507063e-01,2.152606568609077148e-02,-5.165572994056168848e-02,-2.899168738799347000e-01,1.241430638292125410e+00,1.474376639598683810e-03,-2.463413327684901843e-02,4.836510195116911492e-01,1.000000000000000000e+00
2.733993530273437500e-02,-3.351307445676269745e-03,-5.619740944136121519e-02,-2.009961163768758663e-01,-7.820953950175389691e-02,9.199602288399720204e-03,-1.917475984857051462e-04,5.185988348446871621e-01,7.733749195410814792e-02,-1.447802396269054492e-01,-2.730271518230438232e-01,1.526055861465560604e-01,1.526055861465560604e-01,-3.101300725483299714e-03,9.587379924285257312e-05,-7.733965195053804642e-02,-2.889179820222121872e-02,1.231367682909498690e-01,-5.227915197610855103e-02,7.219328770396660211e-02,7.219328770396660211e-02,4.412591828941491157e-01,-9.587379924285257312e-05,6.098301562916420490e-03,4.844569375188692573e-02,-5.638915703984691968e-02,-8.720475476457554935e-04,-5.220724989564766716e-01,-1.225392197036176967e-01,-5.791974931329237075e-02,-4.041171968429219108e-02,6.395090073033113942e-01,2.165500218124220833e-02,-5.302464377479303853e-02,-2.502659813855437898e-01,1.243788738413424966e+00,1.273808817423885712e-03,-2.404640882998652224e-02,4.839405187830485011e-01,1.000000000000000000e+00
3.965306282043457031e-02,-3.145943014585496009e-03,-5.757247732191667078e-02,3.626516031478027591e-02,-2.390249797870382387e-01,7.559189828495968891e-03,1.246359390157083559e-03,-2.123306675914435893e-01,2.450776099747453141e-01,-2.255142291406661281e-01,2.795948982238769531e-01,-4.361003111789941156e-01,-4.361003111789941156e-01,7.242278021948834674e-04,5.752427954571154387e-04,4.058026203596178938e-01,1.267772999834164416e-01,1.956939654973869347e-01,1.216434612870216370e-01,4.083260118274619765e-01,4.083260118274619765e-01,1.934719527681743045e-01,1.821602185614198998e-03,8.283417630690851491e-03,3.718549099581617279e-01,-5.632611793175958809e-02,6.052630187707084934e-03,-5.351981430129458817e-01,-2.371315770975277459e-01,-6.343426995201534302e-02,-3.658830077290643051e-02,6.379422522161201092e-01,2.176343076106359090e-02,-5.434941992439315528e-02,-2.203023456309470551e-01,1.246137862717123790e+00,1.049899430298958328e-03,-2.355243458499902895e-02,4.841742793187205907e-01,1.000000000000000000e+00
5.206155776977539062e-02,-1.764352531879656051e-03,-5.652115216498555111e-02,2.306882293725452393e-01,4.386883689627861793e-01,1.958132379540277260e-03,9.587379924285257312e-05,-8.193458808798235182e-01,-4.416929337807486422e-01,-2.950721906045882803e-01,-4.285047948360443115e-01,-1.008645362232114095e+00,-1.008645362232114095e+00,7.959471209191031765e-03,7.669903939428205850e-03,8.261138755829611213e-01,8.538091750021055137e-01,2.450161514708202315e-01,3.012763261795043945e-01,6.134666031972452194e-01,6.134666031972452194e-01,6.767994703137603096e-03,7.765777738671058097e-03,9.917603588731309025e-03,4.121162412213568715e-01,-5.642527836574269540e-02,-3.004564817962485871e-03,-5.478105760573384053e-01,-3.148954431931333398e-01,-6.751684414388128830e-02,-3.278132003112558396e-02,6.368685791452457501e-01,2.185764313944861537e-02,-5.568523780399094181e-02,-1.978648420120324158e-01,1.248568575253315327e+00,7.965590293071839190e-04,-2.312351327754008645e-02,4.843670765859904304e-01,1.000000000000000000e+00
6.446647644042968750e-02,8.121135076277980272e-04,-5.600630938395616959e-02,3.873131214720498261e-01,-2.285832828497186553e-01,-7.688542021982170890e-03,-2.588592579557019366e-03,-1.318068474958071779e+00,-8.270591269038014837e-03,-3.552091631231166224e-01,-1.064141988754272461e+00,-9.405061999280718288e-01,-9.405061999280718288e-01,1.873397718940070233e-02,1.476456508339929648e-02,1.194144617470776604e+00,4.349489984687733846e-01,2.725252868671864670e-01,4.778878688812255859e-01,4.678774671633380011e-01,4.678774671633380011e-01,-1.239238574872951748e-01,1.217597250384227711e-02,1.104543516741853144e-02,4.266784071997353767e-01,-5.859490196351319069e-02,-2.368538741187566632e-01,-5.602104827948207744e-01,-3.580750140475327803e-01,-7.027947690225919142e-02,-2.890162307688226573e-02,6.362571814114139634e-01,2.194000574031766682e-02,-5.706318559710886473e-02,-1.823418848510992563e-01,1.251136732494555037e+00,5.082086062763553017e-04,-2.274886743962452329e-02,4.845238908861075888e-01,1.000000000000000000e+00
7.682132720947265625e-02,4.575981019941771123e-03,-5.653174834691943040e-02,5.044317242343414609e-01,-4.753815834736282997e-02,-2.134798826130408084e-02,-6.040049352299712432e-03,-1.703196462723628901e+00,-1.680531707862557012e-01,-4.053271145601113901e-01,-1.073811292648315430e+00,-1.514922331496559860e+00,-1.514922331496559860e+00,3.299994221070069039e-02,2.646116859102731061e-02,1.506295983177036391e+00,9.864722976622329886e-01,2.777490921073334507e-01,5.353038311004638672e-01,8.561271630053755022e-01,8.561271630053755022e-01,-1.969004795465925106e-01,2.042111923872759818e-02,1.165195394939660956e-02,8.184191268759772875e-01,-6.257179769921913937e-02,-2.155913291336185311e-01,-5.722941931428771056e-01,-3.659250554512258891e-01,-7.168462351986629177e-02,-2.498006587156174907e-02,6.361182998236951658e-01,2.200971146394052266e-02,-5.847248931523522930e-02,-1.739387341400127629e-01,1.253822923331023631e+00,1.868053586292690339e-04,-2.243217260127038093e-02,4.846430331678338588e-01,1.000000000000000000e+00
8.922767639160156250e-02,9.507238981321719518e-03,-5.485741656413582051e-02,5.818795338263507144e-01,1.133989596615248008e-02,-3.894936076181406553e-02,-1.284708909854224458e-02,-1.974091117392738681e+00,-4.405497510768860980e-01,-4.453143794016328760e-01,-1.496159195899963379e+00,-1.627441515555563711e+00,-1.627441515555563711e+00,5.068756682438321781e-02,4.199272406836943028e-02,1.761833395201413577e+00,1.375283247393225494e+00,2.608032204963575129e-01,8.277365565299987793e-01,7.071000158099028932e-01,7.071000158099028932e-01,-2.122577221913251044e-01,2.914563496982718743e-02,1.173820606256915228e-02,9.347334963163393962e-01,-6.770450566267806336e-02,-4.292098551107336180e-01,-5.840222025010964879e-01,-3.386303936691846816e-01,-7.173560495569171469e-02,-2.103033475328539362e-02,6.364495785283197371e-01,2.206659734397737813e-02,-5.990813269474824787e-02,-1.726415123517081318e-01,1.256617237373089502e+00,-1.663514904098760318e-04,-2.217416649145988183e-02,4.847243210017727066e-01,1.000000000000000000e+00
1.016914844512939453e-01,1.564238342964521106e-02,-5.524017721701790506e-02,6.202330880208830610e-01,2.861990990976980287e-01,-6.062293954670527202e-02,-2.166747862888468087e-02,-2.132767619374524415e+00,-8.667566319842301414e-01,-4.754680334494785221e-01,-1.503248333930969238e+00,-1.588084441744613384e+00,-1.588084441744613384e+00,7.192780062572626254e-02,6.366020269725411462e-02,1.962654838253215850e+00,1.892957758728805118e+00,2.215633049316306780e-01,5.917176604270935059e-01,5.834034200295774575e-01,5.834034200295774575e-01,-1.701127811213085650e-01,4.199272406836943028e-02,1.130486107902099052e-02,1.026201126744574976e+00,-7.690765584590258941e-02,-5.805575328865321127e-01,-5.954814902598016824e-01,-2.759906784369451360e-01,-7.043287741913392686e-02,-1.702314555450756134e-02,6.372534466832637801e-01,2.211108590850256392e-02,-6.138075897893698063e-02,-1.784401907104264107e-01,1.259540387181322441e+00,-5.538786344614012210e-04,-2.197293270118823999e-02,4.847683592931652519e-01,1.000000000000000000e+00
1.087687015533447266e-01,2.300426336951524181e-02,-5.190881573820231576e-02,6.190316267972268971e-01,3.779137980542819353e-01,-8.644710286965326396e-02,-3.087136335619852789e-02,-2.177960888561248698e+00,-1.026670758558053675e+00,-4.956964521905872223e-01,-1.433062076568603516e+00,-1.374000909929952385e+00,-1.374000909929952385e+00,9.679178162536671015e-02,8.206797215188180172e-02,2.108289607646620656e+00,2.167036795060795829e+00,1.596942533559202460e-01,5.308794379234313965e-01,3.401178866799706713e-01,3.401178866799706713e-01,-6.967128091462804207e-02,5.119660879568327383e-02,1.034467875571344619e-02,1.140366036502742153e+00,-8.278017909440084365e-02,-6.487569605037717402e-01,-6.066821415034413523e-01,-1.774741463094794414e-01,-6.775737222334417276e-02,-1.295301108195209827e-02,6.385369745020905707e-01,2.214306930846990720e-02,-6.289259012573830687e-02,-1.914335046738659396e-01,1.262597500917756133e+00,-9.766797830981859517e-04,-2.182896807090786359e-02,4.847747178947208191e-01,1.000000000000000000e+00
1.149251461029052734e-01,2.765930980835976799e-02,-5.059190618729740574e-02,6.009141213935553782e-01,3.126405748608210855e-01,-1.027088774652466785e-01,-3.719903410622679707e-02,-2.153163080763309534e+00,-1.045043230725264838e+00,-5.026229299953520746e-01,-1.438250184059143066e+00,-1.269724501401995997e+00,-1.269724501401995997e+00,1.122846183827986011e-01,9.520268264815261172e-02,2.165332992852504468e+00,2.182339901250879510e+00,1.151396529121927609e-01,2.625246644020080566e-01,1.847011649473008776e-01,1.847011649473008776e-01,1.216991208919493417e-02,5.800364854192581465e-02,9.575740917551922582e-03,1.137296670525614672e+00,-8.779094029352420281e-02,-7.324026558644437523e-01,-6.128272424525709194e-01,-1.065971013322325467e-01,-6.565676379052987066e-02,-1.065076612561204755e-02,6.394657969040722367e-01,2.215542683181384934e-02,-6.375472691888371679e-02,-2.018677196830456766e-01,1.264364970610240002e+00,-1.228508464037040681e-03,-2.177377649654729797e-02,4.847616522513697457e-01,1.000000000000000000e+00
1.208844184875488281e-01,3.207159042554027367e-02,-4.908547620982521564e-02,5.745752063823490463e-01,4.541030876099766411e-01,-1.180870434493739435e-01,-4.410194765171218667e-02,-2.101472753864970233e+00,-1.195586723317427102e+00,-5.060913773740441934e-01,-1.368933796882629395e+00,-1.233890536568976071e+00,-1.233890536568976071e+00,1.268485058567664914e-01,1.088167621406376656e-01,2.200895542632854696e+00,2.311139047646600275e+00,7.003920681991517017e-02,2.168759256601333618e-01,1.521527738583864364e-01,1.521527738583864364e-01,9.942278876788446240e-02,6.471481448892547894e-02,8.761462407392547891e-03,1.115552324329173173e+00,-9.318742386153740231e-02,-7.414836357074504614e-01,-6.181569196544346445e-01,-3.488372530392170462e-02,-6.344980570054903346e-02,-8.611891566638919804e-03,6.404080841070441954e-01,2.216298596572321630e-02,-6.452235776433808134e-02,-2.129292195315088398e-01,1.265952816704525530e+00,-1.459010388907975003e-03,-2.174038940230586109e-02,4.847402451117469591e-01,1.000000000000000000e+00
1.269116401672363281e-01,3.661796170309459392e-02,-4.730270310780625848e-02,5.398468437300760758e-01,4.195119581623991678e-01,-1.339031331713857742e-01,-5.138835639416897832e-02,-2.024875773436759285e+00,-1.219604046295332367e+00,-5.071012994859080969e-01,-1.274340510368347168e+00,-1.097614555336926756e+00,-1.097614555336926756e+00,1.417548313761543555e-01,1.225267154323655822e-01,2.222217251662514048e+00,2.284165553440868912e+00,2.119247296352656795e-02,-2.474978193640708923e-02,5.102511575746242894e-02,5.102511575746242894e-02,1.973414782257547628e-01,7.113835903819659690e-02,7.851698204768581268e-03,1.064561507145536545e+00,-9.869105950197523680e-02,-8.000920881329331991e-01,-6.232387846964867473e-01,4.276174852890345796e-02,-6.099702888564352554e-02,-6.629701772730318965e-03,6.414302597012040419e-01,2.216733566936152783e-02,-6.527229784578358895e-02,-2.252967503052167864e-01,1.267516517253640673e+00,-1.689733624292482413e-03,-2.172165717234545226e-02,4.847107171056908026e-01,1.000000000000000000e+00
1.328439712524414062e-01,4.149766532676243264e-02,-4.474844926103294096e-02,4.954404539912638517e-01,4.263315189269543115e-01,-1.508511810086053118e-01,-5.896238653435433019e-02,-1.920732921654836556e+00,-1.298332352022416813e+00,-5.057757984895621117e-01,-1.123749136924743652e+00,-1.022689711948896019e+00,-1.022689711948896019e+00,1.576599348063187356e-01,1.363325425233363475e-01,2.230703681130199900e+00,2.302078599111122337e+00,-3.346817037171111175e-02,-2.882093563675880432e-02,1.703495955834689879e-02,1.703495955834689879e-02,3.099707594753633444e-01,7.737015598898201729e-02,6.808753797713423817e-03,1.003746247088705523e+00,-1.037108357953872712e-01,-8.720008330954625020e-01,-6.283081480734328261e-01,1.296266825138913115e-01,-5.819643870162737043e-02,-4.613680113632334656e-03,6.425755438099143291e-01,2.216877232237611864e-02,-6.603867416374140098e-02,-2.394824865490003396e-01,1.269126826770446970e+00,-1.930998066768177101e-03,-2.171627702913293129e-02,4.846720039057003659e-01,1.000000000000000000e+00
