meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
1.477575302124023438e-02,2.251082129898517893e-03,2.449902240442893009e-02,4.962404716385477310e-01,-2.835095459251715452e-02,-6.484222242087661972e-03,-9.587379924285257312e-05,-1.419153235769643029e+00,2.744216634494996490e-02,4.811613771335642581e-02,0.000000000000000000e+00,3.771800191948018049e-02,3.771800191948018049e-02,3.279812690117908137e-03,9.587379924285257312e-05,6.512875229813070987e-01,2.715798865638000339e-02,-2.152302927266681876e-02,0.000000000000000000e+00,-2.134674531151101173e-02,-2.134674531151101173e-02,-7.678657127883359301e-01,0.000000000000000000e+00,-3.204409551969753835e-03,5.460015500132996830e-02,2.440314860518607784e-02,-9.087882475671904894e-04,-5.078138260418463279e-01,3.809135954964092824e-02,-5.057004844505895436e-02,-4.441650163045554600e-02,6.416935363255507063e-01,2.152606568609077148e-02,-5.165572994056168848e-02,-2.899168738799347000e-01,1.241430638292125410e+00,1.474376639598683810e-03,-2.463413327684901843e-02,4.836510195116911492e-01,1.000000000000000000e+00
2.717041969299316406e-02,3.347491467549133706e-03,2.459583062146602009e-02,2.034285457247612117e-01,3.769659380606164845e-02,-9.195645027763002521e-03,-1.917475984857051462e-04,-5.260530845270126044e-01,-3.807155355873563518e-02,1.439691425252515034e-01,1.266984492540359497e-01,-2.102461524075872612e-01,-2.102461524075872612e-01,3.120508818756224413e-03,9.587379924285257312e-05,8.217379120136147908e-02,6.508630205430226967e-02,-1.223434429698697923e-01,1.353484690189361572e-01,-7.432873542367682274e-02,-7.432873542367682274e-02,-4.438792933256511253e-01,-9.587379924285257312e-05,-6.075136209006778108e-03,2.701474849556663449e-02,2.440408302298031559e-02,-3.749597526739900958e-04,-5.219469946005622640e-01,-1.212856437825353961e-01,-5.786108459274286880e-02,-4.044762895712732814e-02,6.395260957094855980e-01,2.165391672243974219e-02,-5.301228325829632909e-02,-2.505834993957208323e-01,1.243767123080891990e+00,1.275763425267566458e-03,-2.405135531888620559e-02,4.839381283093788233e-01,1.000000000000000000e+00
3.942155838012695312e-02,3.161791162621459435e-03,2.491847659524607309e-02,-3.193791751297642145e-02,-5.141514765819615862e-02,-7.631569762744070534e-03,-1.054611791671378196e-03,1.989193851234285493e-01,1.944517001509649470e-02,2.240078562116833705e-01,-3.472699820995330811e-01,3.816773595769838434e-01,3.816773595769838434e-01,-6.135551533510063757e-04,-2.876213977285577194e-04,-3.967475200324437346e-01,4.841547279020542993e-02,-1.944717374801657184e-01,-2.562221288681030273e-01,-4.208475950766114027e-01,-4.208475950766114027e-01,-1.978281349090151853e-01,-1.342233189399935807e-03,-8.245124916095077777e-03,6.786064280530192117e-02,2.386386480357469489e-02,-3.196997764309966045e-02,-5.349402334581458973e-01,-2.352025878008630055e-01,-6.333804636584870751e-02,-3.666475546681011860e-02,6.379687304368628631e-01,2.176139973330392871e-02,-5.432276218837634590e-02,-2.208277233783300930e-01,1.246089974057108751e+00,1.054679991822175377e-03,-2.356168458701874552e-02,4.841700035259302592e-01,1.000000000000000000e+00
5.180644989013671875e-02,1.813500694061351802e-03,1.967521320562556214e-02,-2.262698625624982030e-01,-7.377285588047899356e-01,-2.147697204444630123e-03,4.218447166685512784e-03,8.054332630798022308e-01,7.144230426102086140e-01,2.934416962289577713e-01,4.078968465328216553e-01,7.985721804608363339e-01,7.985721804608363339e-01,-7.735056811790306554e-03,-3.834951969714102925e-03,-8.162050808038023852e-01,-4.867927554093459119e-01,-2.440435490989663614e-01,-4.391287863254547119e-01,-6.877145436293768954e-01,-6.877145436293768954e-01,-1.077181772400015447e-02,3.834951969714098588e-04,-9.882754016234937544e-03,2.276302872008627021e-01,2.389366037231107492e-02,-2.330551619458136325e-02,-5.474967886936409345e-01,-3.133643265161452085e-01,-6.743044837272675618e-02,-3.287769477897680565e-02,6.368899036847913697e-01,2.185542368301445632e-02,-5.565121968848942002e-02,-1.983437871752118387e-01,1.248505937151396461e+00,8.033383611654824072e-04,-2.313361384610608876e-02,4.843626769830525758e-01,1.000000000000000000e+00
6.410050392150878906e-02,-7.258422890099921337e-04,1.491765814532733901e-02,-3.835547699935571431e-01,-1.025475373735636186e-01,7.371291625847530352e-03,1.255946770081368784e-02,1.305938847658930424e+00,2.699812740551723600e-01,3.536976031890672889e-01,1.024218320846557617e+00,7.222843038779338531e-01,7.222843038779338531e-01,-1.839281478318224861e-02,-1.466869128415644423e-02,-1.184821731896388730e+00,-6.804355935251031884e-01,-2.720693812268594747e-01,-7.881510257720947266e-01,-6.397381304972820093e-01,-6.397381304972820093e-01,1.211171157625416939e-01,-2.109223583342756392e-03,-1.102152315733471825e-02,-4.104543194699308284e-01,2.747712584614102685e-02,1.674337366816087413e-01,-5.598755266387356322e-01,-3.573640542547649179e-01,-7.022197571086834234e-02,-2.900829791006945269e-02,6.362676171577921203e-01,2.193792136197062620e-02,-5.702507861714387061e-02,-1.826717346746973281e-01,1.251064917465028126e+00,5.165353930785502191e-04,-2.275834369708115354e-02,4.845201029472558929e-01,1.000000000000000000e+00
7.646989822387695312e-02,-4.419811295528880933e-03,1.544317128851437765e-02,-5.008987846314718606e-01,-2.241602767257600271e-01,2.078637608917242169e-02,1.629854587128493765e-02,1.691295793098106959e+00,4.482220893119981953e-01,4.036957938656104417e-01,7.610464096069335938e-01,1.316753127679550772e+00,1.316753127679550772e+00,-3.242552943171564395e-02,-2.502306160238451996e-02,-1.496022404039876630e+00,-1.075009597847594645e+00,-2.779476039547739141e-01,-4.848665893077850342e-01,-7.261737933718445115e-01,-7.261737933718445115e-01,1.952733890582303289e-01,-8.724515731099582311e-03,-1.163915334254322226e-02,-6.267875085355965048e-01,3.174171715979931530e-02,2.240618125862381682e-01,-5.718644462595218192e-01,-3.662552997037404334e-01,-7.165756590818886385e-02,-2.512203946810062649e-02,6.361151036476112575e-01,2.200742039599929215e-02,-5.842118473678556412e-02,-1.741178673374367825e-01,1.253724123711952076e+00,1.989552001433754057e-04,-2.244257388405973552e-02,4.846393955133356801e-01,1.000000000000000000e+00
8.865737915039062500e-02,-9.311090109960486194e-03,1.179117901096557453e-02,-5.797908456136215971e-01,-7.031802469538165345e-01,3.825308316567595929e-02,2.521480920087022792e-02,1.966365955935105880e+00,1.044331948251780329e+00,4.440589409478529204e-01,1.215212583541870117e+00,1.418989054098489522e+00,1.418989054098489522e+00,-4.999710446434726258e-02,-4.170510267064087007e-02,-1.753671595732571031e+00,-1.477856228358172430e+00,-2.617877839639148330e-01,-6.530122756958007812e-01,-6.564093140535531834e-01,-6.564093140535531834e-01,2.126943602025348490e-01,-1.649029346977064214e-02,-1.174402129867130329e-02,-4.335242801063921014e-01,3.700598821183580245e-02,3.411517012979637942e-01,-5.836092626429064678e-01,-3.402065834606834427e-01,-7.175694053729686495e-02,-2.117193396852170076e-02,6.364297024500710220e-01,2.206478413193287136e-02,-5.985638908359439125e-02,-1.725663441680741483e-01,1.256515552135093250e+00,-1.531907683212105700e-04,-2.218238101351985986e-02,4.847220640551463955e-01,1.000000000000000000e+00
1.009786128997802734e-01,-1.528726754496256834e-02,9.568733239882151742e-04,-6.191899831290730294e-01,-1.161034538439602803e+00,5.937298729758009458e-02,4.343083105701221747e-02,2.127201925810470406e+00,1.696203750288887147e+00,4.741202812788678500e-01,1.301883101463317871e+00,1.166815025986378096e+00,1.166815025986378096e+00,-7.071390147318280806e-02,-6.260559090558273643e-02,-1.953406882247365584e+00,-1.780712759251178889e+00,-2.242030125355286563e-01,-6.303446888923645020e-01,-5.178856201068389176e-01,-5.178856201068389176e-01,1.737950435631048229e-01,-1.917475984857051896e-02,-1.134091417560271348e-02,-8.450900896229174286e-02,4.438770438100043264e-02,5.351692118492843431e-01,-5.948817492283199337e-01,-2.801983661181907115e-01,-7.053600211720209567e-02,-1.723669115019542397e-02,6.371989689577818305e-01,2.210904414711706290e-02,-6.130188125722593057e-02,-1.779541452826195747e-01,1.259382416467706323e+00,-5.324997000532584977e-04,-2.198215057157666338e-02,4.847669687347896383e-01,1.000000000000000000e+00
1.090707778930664062e-01,-2.249415106540904319e-02,-9.115997144572125788e-03,-6.203089371947181352e-01,-6.481862076314648391e-01,8.466234934750382912e-02,6.011287212526856411e-02,2.178501070416334784e+00,1.300492695815121502e+00,4.946982154772050500e-01,1.283028364181518555e+00,8.006824254799229656e-01,8.006824254799229656e-01,-9.508469034913935580e-02,-8.225971975036751316e-02,-2.100609137179583197e+00,-2.042380070905017053e+00,-1.643550142579766060e-01,-4.836257398128509521e-01,-3.762763469306911190e-01,-3.762763469306911190e-01,7.789193323675158709e-02,-2.214684762509894905e-02,-1.042234100163552668e-02,-7.418873750898955510e-01,5.099687498069643832e-02,6.523064881836566631e-01,-6.059705123409625527e-01,-1.848909129930998985e-01,-6.797088521054561738e-02,-1.321636692682576913e-02,6.384399734959995687e-01,2.214139426516025314e-02,-6.279428779196624677e-02,-1.903805845188039636e-01,1.262397061925241593e+00,-9.484508089135194886e-04,-2.183647807511985076e-02,4.847754526836949851e-01,1.000000000000000000e+00
1.153221130371093750e-01,-2.780461787573258736e-02,-9.764142328433624007e-03,-6.001777872204403508e-01,-1.953740665539580590e-01,1.032158293358026724e-01,6.624879527681112878e-02,2.151863833139667559e+00,9.174047752369791642e-01,5.027814389571535481e-01,8.879002928733825684e-01,1.054107716256706517e+00,1.054107716256706517e+00,-1.127659757099109955e-01,-9.529855644739546050e-02,-2.166768793761862266e+00,-2.065510373986411796e+00,-1.136954081565173663e-01,-3.701915740966796875e-01,-2.371889746108336583e-01,-2.371889746108336583e-01,-1.490496062219470730e-02,-2.904976117058433172e-02,-9.550146374108323122e-03,-1.148105598749432632e+00,5.648465294837750478e-02,7.220307086830211052e-01,-6.130098405160301356e-01,-1.043002063350865205e-01,-6.558717014040120474e-02,-1.058157134683460066e-02,6.394959436975959921e-01,2.215573517459450831e-02,-6.378071551122031779e-02,-2.022152527161489299e-01,1.264418513073700678e+00,-1.236216669170763557e-03,-2.177240633008459270e-02,4.847610762833830522e-01,1.000000000000000000e+00
