meas_time,arm1_des_Ang_pos_store,arm1_meas_Ang_pos,arm1_des_Ang_vel_store,arm1_meas_Ang_vel,tail_des_Ang_pos_store,tail_meas_Ang_pos,tail_des_Ang_vel_store,tail_meas_Ang_vel,tail_des_tau_store,tail_meas_tau,tail_cmd_tau,tail_clipped_tau,phi_des_Ang_pos_store,phi_meas_Ang_pos,phi_des_Ang_vel_store,phi_meas_Ang_vel,phi_des_tau_store,phi_meas_tau,phi_cmd_tau,phi_clipped_tau,arm2_des_Ang_vel_store,arm2_meas_Ang_pos,arm2_des_Ang_pos_store,arm2_meas_Ang_vel,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,k5_store,k6_store,k7_store,k8_store,k9_store,k10_store,k11_store,k12_store,state_machine_flag
8.187294006347656250e-03,nan,nan,nan,nan,nan,-5.923083317223432065e-01,nan,6.242160262458946139e-03,nan,0.000000000000000000e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.663757638163415820e+00,nan,2.988021295080576026e-02,nan,0.000000000000000000e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.558852195739746094e-02,nan,nan,nan,nan,nan,-5.923083317223432065e-01,nan,-3.759027252859177028e-03,nan,0.000000000000000000e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.663661764364173123e+00,nan,-6.545970896819905405e-02,nan,0.000000000000000000e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.313160896301269531e-02,nan,nan,nan,nan,nan,-5.881857583549005009e-01,nan,1.310477989456967363e+00,nan,1.394340634346008301e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.675645989269529679e+00,nan,3.678337999073591824e+00,nan,4.313039302825927734e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.037786483764648438e-02,nan,nan,nan,nan,nan,-5.675728915176871947e-01,nan,3.084159753758985101e+00,nan,2.125885963439941406e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.727034345663698733e+00,nan,6.884415894343967501e+00,nan,8.257410049438476562e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.757071495056152344e-02,nan,nan,nan,nan,nan,-5.582731329911305718e-01,nan,-3.517874189808992136e-01,nan,3.740816831588745117e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.727226093262184126e+00,nan,-1.320388756200183256e+00,nan,6.803719997406005859e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.467606544494628906e-02,nan,nan,nan,nan,nan,-5.781190094344009767e-01,nan,-2.962216520276698795e+00,nan,2.027845621109008789e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.731348666629627164e+00,nan,1.877917181965554239e+00,nan,5.257693767547607422e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.180788040161132812e-02,nan,nan,nan,nan,nan,-5.863641561692863879e-01,nan,-4.002482539349065949e-01,nan,1.822056531906127930e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.750331678879711639e+00,nan,2.450021983032607764e+00,nan,6.798088073730468750e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.892467498779296875e-02,nan,nan,nan,nan,nan,-5.880898845556576937e-01,nan,-4.755659709687106718e-01,nan,2.475805521011352539e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.760590175398696999e+00,nan,1.408984479481958374e+00,nan,6.220004081726074219e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
6.618428230285644531e-02,nan,nan,nan,nan,nan,-5.971978954837287024e-01,nan,-1.567134677952524813e+00,nan,2.445147037506103516e+00,2.100000000000000089e+00,2.100000000000000089e+00,nan,2.773245516898753316e+00,nan,2.092298861720166769e+00,nan,6.038127899169921875e+00,6.400000000000000355e+00,6.400000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
8.391261100769042969e-02,6.952704184500744233e-01,6.023449307945885067e-01,-6.010801805498896533e-01,2.346971746955561766e+00,-7.005265021829041316e-01,-6.400534837452838133e-01,-9.085884394634595462e-02,-3.168607343568636381e+00,3.598218226232808847e-01,0.000000000000000000e+00,3.543566760122259240e-01,3.543566760122259240e-01,2.681469979128223269e+00,2.786763722591995673e+00,4.938331508717292095e+00,2.961848520308023036e-01,2.626440011602558799e-01,0.000000000000000000e+00,2.806681694548755490e-01,2.806681694548755490e-01,4.847472664770946515e+00,2.146710238846711860e+00,1.980943476945319137e+00,-2.872422491537834244e+00,-3.770855295069532737e-02,-8.216355966130747257e-01,-5.703906389263829757e-01,1.747983008764790069e+00,7.224048372579098265e-01,-5.327416733338102839e-02,3.778567729953721255e-01,6.703099692206748728e-02,2.037394382560871464e-01,-1.115420132447108692e+00,1.374601629342265596e+00,3.889714721208473863e-02,3.238371995008728493e-02,2.560038600651957652e-01,1.000000000000000000e+00
9.622001647949218750e-02,6.804149039502610519e-01,6.214209399193593164e-01,-1.127297812424047363e+00,9.387743751367494394e-01,-6.828110546711344542e-01,-6.697743615105681281e-01,1.135769613797574351e+00,-1.808338082939653146e+00,-9.076776432164043174e-01,-4.314160943031311035e-01,8.453451302258669919e-01,8.453451302258669919e-01,2.734491512701446858e+00,2.791078043557924104e+00,3.317658312578003255e+00,5.384147105624123020e-01,-4.829778921471274966e-01,3.413535654544830322e-01,3.116708117135223444e-01,3.116708117135223444e-01,4.453427926375577606e+00,2.121303682047356087e+00,2.051680458030312515e+00,-1.269923372377240955e+00,-4.835342159120876310e-02,-8.695637078029037070e-01,-5.626083129011416606e-01,1.307398535611635548e+00,7.042253190348798375e-01,-4.075954110014790022e-02,3.637000213381626490e-01,6.218947185438137432e-02,1.549093314435724122e-01,-9.735161127054713370e-01,1.470930620817050727e+00,3.703488254789227829e-02,3.885063567763811371e-02,2.610858140684206297e-01,1.000000000000000000e+00
1.070144176483154297e-01,6.632709127257020443e-01,6.187336779619574401e-01,-1.532694575315174390e+00,-1.325549162404132453e+00,-6.611301886116995874e-01,-6.739928086772536409e-01,2.031162967073902870e+00,6.132128927212177061e-01,-1.928045666749093279e+00,7.290323972702026367e-01,-4.767938122568047277e-01,-4.767938122568047277e-01,2.766349486046005168e+00,2.800761297281452400e+00,1.730552740856865057e+00,1.074556537970118075e+00,-1.047060144940805237e+00,1.009237244725227356e-01,-7.137519631612990745e-01,-7.137519631612990745e-01,3.761715707930767927e+00,2.126768488604198648e+00,2.105219297434305581e+00,1.687769430691335781e+00,-5.525913071529622161e-02,-7.123362696829147467e-01,-5.600730506393266639e-01,8.975888653499655145e-01,6.687186605988569843e-01,-2.947772102585594425e-02,3.505246682696719351e-01,5.817916156357792745e-02,1.150804368132668648e-01,-8.192079504114568866e-01,1.547332088333341460e+00,3.203301580305796536e-02,4.305327219166326519e-02,2.641597420973078592e-01,1.000000000000000000e+00
1.130597591400146484e-01,6.462512666280915141e-01,6.129025651839525857e-01,-1.796994897308627159e+00,-7.383135481456584159e-01,-6.387604826445989481e-01,-6.704454781052680001e-01,2.564074488517108286e+00,1.991822183846086447e-01,-2.638271720641962137e+00,-2.715743780136108398e-01,-2.019639004587432396e+00,-2.019639004587432396e+00,2.777903882348984776e+00,2.806321977637537657e+00,3.487826744386799405e-01,7.711885709165997582e-01,-1.404213328590461440e+00,-7.931919693946838379e-01,-1.613611095665705486e+00,-1.613611095665705486e+00,2.912857162955788226e+00,2.135876499532269435e+00,2.139143399704385828e+00,9.703707893012083474e-01,-5.754291292131537977e-02,-5.391313297610497157e-01,-5.619673381593235373e-01,5.582585736104586083e-01,6.235284885745564498e-01,-2.044068141701210067e-02,3.396088971059083028e-01,5.527716401886963171e-02,8.684796522574586564e-02,-6.724900588752418251e-01,1.599387256154011450e+00,2.511521400834675413e-02,4.499415679895862885e-02,2.653014713077362363e-01,1.000000000000000000e+00
1.190023422241210938e-01,6.357939445261837630e-01,6.185570651010755538e-01,-1.909624151666030389e+00,1.201521939830129337e+00,-6.247111795813220514e-01,-6.775401392492391706e-01,2.763282627084299836e+00,-1.639355643182757616e+00,-2.965605948131067482e+00,-1.420124888420104980e+00,-2.171593100539115806e+00,-2.171593100539115806e+00,2.777773084489479682e+00,2.805267365845866223e+00,-4.303979524563992243e-01,-4.881799294421408919e-01,-1.550595479835369606e+00,-1.350915312767028809e+00,-1.884171820311761891e+00,-1.884171820311761891e+00,2.332884674627900612e+00,2.127727226596626942e+00,2.153061904908157409e+00,-2.127535572624898563e+00,-5.898307414816356814e-02,-4.378337033526281674e-01,-5.647201405586096401e-01,3.740810965890104534e-01,5.921816809466347031e-01,-1.566718113880054275e-02,3.336814388921918173e-01,5.388283731527414300e-02,7.357416707349334617e-02,-5.846735775272170477e-01,1.622801387873917367e+00,2.016154508114937488e-02,4.538298349565889067e-02,2.653150320783135285e-01,1.000000000000000000e+00
1.250398159027099609e-01,6.248984381371098795e-01,6.322562157623977663e-01,-1.994806603382468069e+00,2.519340096432870268e+00,-6.098761892873323376e-01,-6.933593161243097880e-01,2.887955171693486367e+00,-2.826121040702271436e+00,-3.236170416622345058e+00,-1.801405310630798340e+00,-1.762354216893155190e+00,-1.762354216893155190e+00,2.772963421114708282e+00,2.800473675883723867e+00,-1.197100770122079716e+00,-8.589272816775064268e-01,-1.655885626817374945e+00,-1.605486273765563965e+00,-1.806464435976102623e+00,-1.806464435976102623e+00,1.690854401571406651e+00,2.107114359759413968e+00,2.163087231827375945e+00,-3.685048322379778085e+00,-6.110310036191201472e-02,-3.067809442694011679e-01,-5.686153204921499116e-01,1.979035202225634116e-01,5.572068502177097704e-01,-1.119725084691997052e-02,3.280094459260861073e-01,5.268135624555229241e-02,6.237684859770512014e-02,-4.946840257069901048e-01,1.641657209490725577e+00,1.454578243670347215e-02,4.526860711847809082e-02,2.648844875365784501e-01,1.000000000000000000e+00
1.310563087463378906e-01,6.132231839617354741e-01,6.494667339071850121e-01,-2.055251134247005673e+00,2.878125673378630900e+00,-5.937906850349738974e-01,-7.120547069766660631e-01,2.942099675307169537e+00,-3.020316604378409764e+00,-3.458531412370179581e+00,-1.724778413772583008e+00,-1.630987293688359152e+00,-1.630987293688359152e+00,2.763329706855247370e+00,2.793570762338238200e+00,-1.975415170192328596e+00,-1.367818292425030391e+00,-1.723441030485780789e+00,-1.517624258995056152e+00,-1.931889007701133698e+00,-1.931889007701133698e+00,9.666845051148409418e-01,2.081516055361571915e+00,2.169539021820273472e+00,-4.388134896803440377e+00,-6.258797306948107875e-02,-1.421909309997790305e-01,-5.737737589518518977e-01,2.418403955116099624e-02,5.175103394683990832e-01,-6.890159913482345189e-03,3.224145037897235277e-01,5.163475484075498445e-02,5.290183411693044624e-02,-3.996985156674341955e-01,1.656552461930254072e+00,8.092421346339508104e-03,4.464806378756153160e-02,2.639968726953751399e-01,1.000000000000000000e+00
1.370689868927001953e-01,6.009744280456349452e-01,6.599203484743467740e-01,-2.089383563899595675e+00,1.233953262278409291e+00,-5.767357195875120190e-01,-7.244224270789940689e-01,2.923454783632043696e+00,-1.358120526554155827e+00,-3.627651173464914613e+00,-2.601612567901611328e+00,-1.810875785680535976e+00,-1.810875785680535976e+00,2.748968547309616373e+00,2.781394789834395809e+00,-2.750881583589947610e+00,-2.287954628299617266e+00,-1.751324803326136159e+00,-1.824117779731750488e+00,-2.004158290775259754e+00,-2.004158290775259754e+00,1.725732000420960865e-01,2.056972362755401740e+00,2.172232827722104354e+00,-3.646075154853773093e+00,-6.450207860464735043e-02,-1.241672642757464390e-01,-5.801205001351571466e-01,-1.437611025854870217e-01,4.737569575920973497e-01,-2.829922436490966975e-03,3.170033806818587374e-01,5.076547747864330190e-02,4.535794995877354130e-02,-3.014187081038668392e-01,1.667136806516774650e+00,9.083060393299327573e-04,4.352413677951477017e-02,2.626608666862154662e-01,1.000000000000000000e+00
1.430847644805908203e-01,5.881278542109086294e-01,6.499907718467871076e-01,-2.097468358737304861e+00,-1.909874212068447985e+00,-5.586786401658021539e-01,-7.180947563289657998e-01,2.832490338462915869e+00,1.633767623813606740e+00,-3.744296479132763089e+00,-1.888622045516967773e+00,-2.530896868625882590e+00,-2.530896868625882590e+00,2.729880012033857106e+00,2.764808622565382290e+00,-3.525315430149909446e+00,-2.789823070506116220e+00,-1.739881100796889513e+00,-2.231504201889038086e+00,-2.004553859258441317e+00,-2.004553859258441317e+00,-6.928250916869935772e-01,2.046713866236416379e+00,2.171201371868054952e+00,-1.156055446692509481e+00,-6.810398448217865053e-02,-2.761065882548412453e-01,-5.876618629478717049e-01,-3.063614267712797545e-01,4.258739996320973775e-01,9.946015663170534871e-04,3.117622533276958041e-01,5.007026187007413559e-02,3.971412033962962163e-02,-1.996402848359790649e-01,1.673465130556149649e+00,-7.018045795139128684e-03,4.189777176477033765e-02,2.608765365990410312e-01,1.000000000000000000e+00
1.493332386016845703e-01,5.746501216539862122e-01,6.390960836353671848e-01,-2.079518639015649928e+00,-1.509389328988606671e+00,-5.395725349545749117e-01,-7.092743667986233236e-01,2.668950000383504939e+00,1.078287564239480911e+00,-3.808752831178394693e+00,-2.088509559631347656e+00,-3.622391111646162898e+00,-3.000000000000000000e+00,2.706013418119507463e+00,2.762603525182796727e+00,-4.300715573224257682e+00,8.967676590696839201e-01,-1.689068679763114034e+00,-3.217679500579833984e+00,-2.162759757718268450e+00,-2.162759757718268450e+00,-1.631765572840752743e+00,2.053329158384173514e+00,2.166440883164932441e+00,1.975055223309164720e+00,-7.017828316325612492e-02,-4.311017647491258709e-01,-5.964176705750257046e-01,-4.640350890426441222e-01,3.737366288795339608e-01,4.593214818382859721e-03,3.066776425438964004e-01,4.954736513431552691e-02,3.595634128518479522e-02,-9.409946786471112823e-02,1.675552504013936961e+00,-1.570731657154492145e-02,3.976462084829863325e-02,2.586391428594770336e-01,1.000000000000000000e+00
