time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,k0,costToGo
0.000000000000000000e+00,6.923266371762137883e-01,-6.347770000000000357e-01,0.000000000000000000e+00,-1.633364047486732015e+05,-6.923266371762137883e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.803054868419100530e+05,0.000000000000000000e+00,1.991156868371094735e+00,4.677686999999999706e+00,0.000000000000000000e+00,-2.891603673728192462e+03,2.683483505547308745e+00,4.677686999999999706e+00,0.000000000000000000e+00,-3.823386016855300986e+05,1.609124785357061465e-24,6.923266371762140103e-01,6.923266371762137883e-01,-6.347770000000000357e-01,-6.923266371762137883e-01,0.000000000000000000e+00,2.683483505547308745e+00,4.677686999999999706e+00,7.570853459947781035e-03,-9.796817554799681221e-03,1.991156868371094957e+00,4.677686999999999706e+00,-2.594262381550405117e-01,1.792213079209142190e+00,5.603181666950578510e-01,-7.329932513486464574e-02,3.799556275046248599e-01,4.878658570073742679e-02,7.164474106401601539e-01,-8.211392480140160544e-01,1.246277113624237431e+00,8.022341304205414525e-02,5.429095206977824911e-02,3.181845698342821716e-01,-7.570853459947781035e-03,0.000000000000000000e+00
1.000589390871033102e-03,6.916698118710107313e-01,-6.755745453805972467e-01,-4.060420466400356077e+01,3.244513835005781743e+02,-6.922756252655971609e-01,9.494708725640303715e-02,9.440866010812740683e+01,-9.216087839029029283e+02,-5.470689080621089773e-02,1.995836773964303257e+00,4.676733140030729707e+00,-1.413240332942193644e+00,-3.927560137070813653e+03,2.688112399229900085e+00,4.581786052774326379e+00,-9.625139784886422945e+01,-8.514635474679149638e+02,-2.297697008114642572e-02,6.922756252655968279e-01,6.916709529317566219e-01,-6.758120408805377011e-01,-6.922784866219556799e-01,9.569994735771657213e-02,2.688115286377767088e+00,4.580175779560663685e+00,-4.720399679236084167e-02,-3.386097780392881285e-02,1.995836799755811519e+00,4.675875726918380160e+00,-2.585727754148453017e-01,1.758605360840771903e+00,5.600487025416298614e-01,-7.288675061107111053e-02,3.793513380017561887e-01,4.855737207799051824e-02,7.153863344573567762e-01,-8.072007132355316639e-01,1.254861266159766897e+00,8.067393703272834893e-02,5.491862241941158213e-02,3.186170299787275950e-01,-7.723326246098621492e-03,1.525250739464180471e-07
2.001178781742066204e-03,6.909700259224885732e-01,-7.160346739230635249e-01,-4.026279925474772625e+01,3.324891312930381559e+02,-6.921236819811749097e-01,1.889334922637471714e-01,9.343688449404096730e+01,-9.437401410693540811e+02,-1.094137816124217955e-01,2.000514443975212941e+00,4.674000764785354534e+00,-3.400879102436356938e+00,-2.939331782848800685e+03,2.692638125956388073e+00,4.485067272521606974e+00,-9.705664760146055414e+01,-8.263600108529558383e+02,-4.595394016229285145e-02,6.921236819811751317e-01,6.909723944935755036e-01,-7.162369911114175869e-01,-6.921347129352417582e-01,1.896738409405336334e-01,2.692643519612994307e+00,4.482739571396729517e+00,-1.019716469331865133e-01,-5.631389038600350533e-02,2.000508806677752549e+00,4.672413412337263594e+00,-2.577077370081883312e-01,1.725184744694592265e+00,5.596839301495039054e-01,-7.247299684758455596e-02,3.787254460017340785e-01,4.832632819359659881e-02,7.143304780917982821e-01,-7.933207747132123844e-01,1.263347083351019862e+00,8.110459894937754877e-02,5.554040663783035847e-02,3.190438111859024151e-01,-7.640733061683345310e-03,3.366259064137946953e-07
3.001768172613099306e-03,6.902278608859709896e-01,-7.561490882686335846e-01,-3.991309964745737915e+01,3.664981065906783897e+02,-6.918724459940881477e-01,2.819361731763446732e-01,9.244207400799123775e+01,-1.044708857342924603e+03,-1.641206724186326793e-01,2.005188140208800096e+00,4.669491281371188407e+00,-5.248191090235673428e+00,-7.531158977950940425e+02,2.697060586202888910e+00,4.387555108194843179e+00,-9.783745747094873479e+01,-7.343398658636455139e+02,-6.893091024343925288e-02,6.918724459940888138e-01,6.902321199622393211e-01,-7.561496661635440653e-01,-6.918871499447248885e-01,2.822149923216830669e-01,2.697074206550848618e+00,4.384917564231670006e+00,-1.567385816120811237e-01,-7.891023384540003793e-02,2.005187056606123619e+00,4.667132556553353240e+00,-2.568324881444055130e-01,1.691968676046024189e+00,5.592370307721398204e-01,-7.206078774117444241e-02,3.780885974519658244e-01,4.809618802359336143e-02,7.132740761671870766e-01,-7.794934558036358263e-01,1.271731151852452113e+00,8.151723534835518536e-02,5.615109833117337690e-02,3.194625708057028945e-01,-7.395403851976387923e-03,6.071868489191407832e-07
4.002357563484132408e-03,6.894438983167817669e-01,-7.959094910585418070e-01,-3.955510576941317424e+01,3.485326812882852323e+02,-6.915235559754786543e-01,3.739320881485081460e-01,9.142422831996690036e+01,-9.878801362879029284e+02,-2.188275632248435909e-01,2.009856124470038807e+00,4.663206096895541108e+00,-7.058439902333613070e+00,-2.387485167183507656e+03,2.701379680445517018e+00,4.289274008747033129e+00,-9.859382766606732673e+01,-7.762463747353581311e+02,-9.190788032458570289e-02,6.915235559754782102e-01,6.894588145457273276e-01,-7.956443314552992252e-01,-6.915574948857032833e-01,3.735821397869692473e-01,2.701422937872314467e+00,4.286785399401683350e+00,-2.115055162909757203e-01,-1.015065773047965636e-01,2.009865442986611406e+00,4.660367539188652763e+00,-2.559469851115843686e-01,1.658942029324469880e+00,5.587086947805174342e-01,-7.164976515785394240e-02,3.774405255302897277e-01,4.786696287035199088e-02,7.122167314786329584e-01,-7.657012489905131725e-01,1.280015916894771788e+00,8.191150180392546554e-02,5.675144419559591952e-02,3.198733604353594107e-01,-7.007122378069012905e-03,8.930153755589092276e-07
5.002946954355165510e-03,6.886187197702444696e-01,-8.353075849340226844e-01,-3.918881754298505626e+01,3.565375615144622543e+02,-6.910786505964873205e-01,4.648981953345499019e-01,9.038334707466982820e+01,-1.009884559110124201e+03,-2.735344540310544748e-01,2.014516658563903384e+00,4.655146618465726860e+00,-8.852867165363216273e+00,-2.269360009286495824e+03,2.705595309160390816e+00,4.190248423131176736e+00,-9.932575838153137227e+01,-7.512339099635588582e+02,-1.148848504057321251e-01,6.910786505964874316e-01,6.886467089452786849e-01,-8.346030445254583041e-01,-6.911627089848463301e-01,4.634347862655200379e-01,2.705663102532541942e+00,4.188272843621948738e+00,-2.662718009840027711e-01,-1.238129700887648094e-01,2.014500393547695722e+00,4.651707629887468443e+00,-2.550516485708178571e-01,1.626091713263383420e+00,5.580996339089313585e-01,-7.123972584446723599e-02,3.767813567735587843e-01,4.763861814826705898e-02,7.111585958031342303e-01,-7.519285458671705058e-01,1.288203545096503033e+00,8.228725616380494490e-02,5.734177412603910784e-02,3.202762696124213382e-01,-6.480261551553854853e-03,1.886481161012124448e-06
6.003536345226198612e-03,6.877529068016831060e-01,-8.743350725363102649e-01,-3.881423488524065135e+01,3.921864628694518728e+02,-6.905393685282555927e-01,5.548114528887821972e-01,8.931942988915898241e+01,-1.116696424493316954e+03,-3.282413448372653586e-01,2.019168004295369023e+00,4.645314253189056330e+00,-1.063863764631127040e+01,-1.300077158927938854e+03,2.709707372823624727e+00,4.090502800300274799e+00,-1.000332497990417266e+02,-6.629154383409808133e+02,-1.378618204868785058e-01,6.905393685282557037e-01,6.877913201958221201e-01,-8.730601617396642755e-01,-6.906481287790955381e-01,5.518836265979144562e-01,2.709805878206580143e+00,4.089382391072940770e+00,-3.210372934416638735e-01,-1.457659564513138495e-01,2.019157749427484383e+00,4.641266017670854893e+00,-2.541474172420227218e-01,1.593406686665346461e+00,5.574106055612504385e-01,-7.083064995844999545e-02,3.761115608413111988e-01,4.741107584101909161e-02,7.101004535363361070e-01,-7.381617979863233092e-01,1.296295972321963141e+00,8.264460912585468166e-02,5.792204207822674450e-02,3.206714175327053384e-01,-5.832443162158775646e-03,3.645544449573042205e-06
7.004125736097231714e-03,6.868470409664209075e-01,-9.129836565066397069e-01,-3.843135770751246838e+01,3.725109859105047008e+02,-6.899073484419249169e-01,6.436488189655176217e-01,8.823247635022067925e+01,-1.053750454775075241e+03,-3.829482356434762425e-01,2.023808423469410478e+00,4.633710408172844630e+00,-1.241884284918067571e+01,-2.129541567638455490e+03,2.713715771911335395e+00,3.990061589207327231e+00,-1.007163020881981765e+02,-7.012923548343201219e+02,-1.608387905680249419e-01,6.899073484419249169e-01,6.868979325353895549e-01,-9.110276383647498699e-01,-6.900439271041045597e-01,6.389497441589118143e-01,2.713848801082007878e+00,3.990144634104715315e+00,-3.758027858993250314e-01,-1.677189428138628757e-01,2.023804873977903540e+00,4.629094378263626908e+00,-2.532344537699710574e-01,1.560874425808780996e+00,5.566424364039624928e-01,-7.042235695924858874e-02,3.754310404047389582e-01,4.718439070142224634e-02,7.090421580596274476e-01,-7.243854557230233748e-01,1.304294928145014465e+00,8.298343773524412270e-02,5.849286351344069879e-02,3.210588082220443562e-01,-5.084385630833378883e-03,6.646347074465077503e-06
8.004715126968264816e-03,6.859017038197821048e-01,-9.512450394862448366e-01,-3.804018591492280876e+01,3.804784035877805195e+02,-6.891842290086366285e-01,7.313872517190684874e-01,8.712248601142816540e+01,-1.075606633456293366e+03,-4.376551264496871818e-01,2.028436177891002501e+00,4.620336490524401540e+00,-1.419503543140199575e+01,-2.084449456185543113e+03,2.717620406899639018e+00,3.888949238805332609e+00,-1.013749154073276202e+02,-6.763613416129346660e+02,-1.838157606491713503e-01,6.891842290086365175e-01,6.859692516103637061e-01,-9.485065338184932582e-01,-6.893726745147438217e-01,7.246286861256934220e-01,2.717789144101289356e+00,3.890574619117547428e+00,-4.305637247587000838e-01,-1.893399158103616087e-01,2.028416469586545645e+00,4.615203305243240628e+00,-2.523132591894094445e-01,1.528483990878663379e+00,5.557956796553616963e-01,-7.001472102307476630e-02,3.747400822604709525e-01,4.695852746125164789e-02,7.079839653071176020e-01,-7.105854962374480444e-01,1.312202226140593675e+00,8.330369203527909772e-02,5.905441532116166570e-02,3.214385323818453877e-01,-4.247144464585157243e-03,1.169559544929863014e-05
9.005304517839297918e-03,6.849174769170903732e-01,-9.891109241163603683e-01,-3.764071940585971987e+01,4.179840080820944763e+02,-6.883716488995321736e-01,8.180037093037471063e-01,8.598945838984772649e+01,-1.189113804153239471e+03,-4.923620172558979546e-01,2.033049529365118069e+00,4.605193907351040394e+00,-1.596808072205627482e+01,-1.459552322827540593e+03,2.721421178264650909e+00,3.787190198047292178e+00,-1.020090899042434245e+02,-5.912405392419916552e+02,-2.067927307303177309e-01,6.883716488995328397e-01,6.850003249618641377e-01,-9.855109843501920208e-01,-6.885977822231871270e-01,8.089740616276046570e-01,2.721634255867112717e+00,3.790661938864291702e+00,-4.853227295283616405e-01,-2.108198698597191778e-01,2.033036473643925479e+00,4.599636000491896581e+00,-2.513841928057717334e-01,1.496224556784767401e+00,5.548708846337289113e-01,-6.960760512799592237e-02,3.740388479231597785e-01,4.673348396121920073e-02,7.069259701019674491e-01,-6.967478566313173305e-01,1.320019602896858268e+00,8.360530400405181972e-02,5.960701996452205664e-02,3.218106488072673410e-01,-3.329319445964755864e-03,1.845790641301323594e-05
