time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.655467203379544662e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.719505462012482458e+05,-6.357607569057508299e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.505474682217826194e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.145702105747384849e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000429821580363799e-03,9.287815164561590245e-06,1.660536701651013289e-02,1.650305887959566320e+01,-1.816066634379361915e+02,-2.417310968195006320e-05,-4.291762358010561829e-02,-4.268532662599276506e+01,4.071387906230434623e+02,2.666889821890391660e-03,-2.080333484866869750e-05,-3.738841344041320819e-02,-3.681096160737890699e+01,1.046210459352210364e+03,3.369774833281365274e-06,5.529210139692410098e-03,5.847381886660225625e+00,7.971558261986973548e+02,1.033658125317075439e-02,2.417310968195006320e-05,8.055973446007827491e-06,1.626353168288647080e-02,-2.075023691302235187e-05,-4.192330727839430060e-02,2.413376186861555179e-06,4.938707846636804580e-03,-2.399181340260409922e-03,1.296628120156810907e-03,-1.833686072616079796e-05,-3.698459943175749776e-02
2.000859643160727598e-03,3.692160750343568036e-05,3.302139019380542773e-02,1.631163534507295054e+01,-1.856732348876770118e+02,-9.612273343121078271e-05,-8.540946995527212704e-02,-4.225377457021311045e+01,4.184749962397332865e+02,5.333779643844358334e-03,-8.226025425401241775e-05,-7.367019082879110170e-02,-3.569997504944661415e+01,1.052632473655728518e+03,1.386247917719837004e-05,1.173927912648102881e-02,6.528689731947810770e+00,7.818973716457221599e+02,2.067316250634150532e-02,9.612273343121078271e-05,3.286124765895992510e-05,3.311364217083213185e-02,-8.475831038392710095e-05,-8.548764168175079781e-02,1.009446376158596789e-05,1.036453063684658962e-02,-1.161751643037372845e-03,3.238535258337423353e-03,-7.466384662234113476e-05,-7.512311104490421165e-02
3.001289464741091397e-03,8.255689728440628158e-05,4.924380832089847448e-02,1.611595096281499551e+01,-1.897308441267088313e+02,-2.149943133028980923e-04,-1.274637603944190622e-01,-4.181044538333999583e+01,4.297900977493552546e+02,8.000669465798325442e-03,-1.829411305050376803e-04,-1.088364687741564391e-01,-3.458010000279740837e+01,1.058874652956381169e+03,3.205318279786039168e-05,1.862729162026260932e-02,7.206663260167641916e+00,7.689394342730041672e+02,3.100974375951225451e-02,2.149943133028980652e-04,7.423768701133046175e-05,4.988204741118448110e-02,-1.916133534586986534e-04,-1.288504754661433938e-01,2.319154553101116463e-05,1.594019253975989883e-02,-3.615844991256900783e-05,6.494671772283589981e-03,-1.684218079276874854e-04,-1.129102829263834984e-01
4.001719286321455196e-03,1.458492047752573849e-04,6.526836018680184925e-02,1.591600565235443376e+01,-1.937789954252993141e+02,-3.799332913521276953e-04,-1.690687161664658489e-01,-4.135533889055603396e+01,4.410830187860640308e+02,1.066755928775229255e-02,-3.214163358907508555e-04,-1.428783838855319510e-01,-3.345133322862011482e+01,1.064916566548558649e+03,5.851695546137679235e-05,2.619033228093389440e-02,7.881412406830283324e+00,7.576931966193042172e+02,4.134632501268301064e-02,3.799332913521276411e-04,1.325641207062485175e-04,6.656432258678929292e-02,-3.423105044244383294e-04,-1.720107325429592882e-01,4.204975755268542786e-05,2.175349496286842557e-02,1.399284449759838084e-03,1.091816860841045116e-02,-3.002607468717529218e-04,-1.502572375800908522e-01
5.002149107901818562e-03,2.264540502437729658e-04,8.109078458052812466e-02,1.571179932665459411e+01,-1.978171523299042462e+02,-5.900851096340154747e-04,-2.102125585403320784e-01,-4.088845490308228392e+01,4.523525965820796273e+02,1.333444910970625966e-02,-4.962562427001585138e-04,-1.757870727719403892e-01,-3.231367098479360322e+01,1.070734561838721902e+03,9.382886693385693376e-05,3.442548576839165458e-02,8.553011836188547434e+00,7.477551990659306966e+02,5.168290626585376329e-02,5.900851096340154747e-04,2.074921019406775636e-04,8.314925418103927268e-02,-5.359730523578381438e-04,-2.149481424010928621e-01,6.686375438058870418e-05,2.788388363374635914e-02,2.992897153704298860e-03,1.633778827676000273e-02,-4.691092979772494261e-04,-1.870642587673465029e-01
6.002578929482182794e-03,3.240269539577370138e-04,9.670682029108991495e-02,1.550333189144680723e+01,-2.018447335235981939e+02,-8.445952102036774489e-04,-2.508835087849372036e-01,-4.040979321684223891e+01,4.635975736311863216e+02,1.600133893166022503e-02,-7.060312232222672527e-04,-2.075536720424045467e-01,-3.116710892418013401e+01,1.076301102986296883e+03,1.385639869814102505e-04,4.332983674253264306e-02,9.221514036253884328e+00,7.388396604772746059e+02,6.201948751902452289e-02,8.445952102036774489e-04,2.988812691480258340e-04,9.961780590099483801e-02,-7.722697740125344197e-04,-2.576194470835771466e-01,9.797047592265675168e-05,3.439543223582216397e-02,4.799485806966140647e-03,2.278797711061581605e-02,-6.742992980898777087e-04,-2.232240148477549757e-01
7.003008751062547027e-03,4.382234361849336669e-04,1.121122061074998066e-01,1.529060324448501973e+01,-2.058611081657693376e+02,-1.142609035116229528e-03,-2.910697881692006495e-01,-3.991935361096575008e+01,4.748165883506339924e+02,1.866822875361419734e-02,-9.493116497460835339e-04,-2.381693183059470365e-01,-3.001164196721683908e+01,1.081583939580591505e+03,1.932973853701460483e-04,5.290046986325359218e-02,9.886956982988634124e+00,7.307384563101688855e+02,7.235606877219526167e-02,1.142609035116229528e-03,4.067711607368892381e-04,1.159536137510303738e-01,-1.051340917006116440e-03,-2.999875238166763713e-01,1.358393468827296920e-04,4.134566687743888858e-02,6.906190418662779343e-03,3.005139555220256303e-02,-9.155015701233867485e-04,-2.586418569392374689e-01
8.003438572642910392e-03,5.686990171931465216e-04,1.273026808187703585e-01,1.507361327470539081e+01,-2.098655906331653398e+02,-1.483272026426786863e-03,-3.307596179620420074e-01,-3.941713584610958776e+01,4.860081645938198562e+02,2.133511857556815924e-02,-1.224667894560613115e-03,-2.676251481715907765e-01,-2.884726414089401914e+01,1.086545052103500439e+03,2.586041318661736399e-04,6.313446979045124474e-02,1.054936883146795878e+01,7.232964007671336049e+02,8.269265002536602127e-02,1.483272026426786863e-03,5.308880950457365569e-04,1.321365501844592449e-01,-1.372520681243945490e-03,-3.420045676260948242e-01,1.808865651377681552e-04,4.878439492587631487e-02,9.204051537511493200e-03,3.803196283650458337e-02,-1.191634116106177416e-03,-2.932201727002184954e-01
9.003868394223273758e-03,7.151092172501601497e-04,1.422739832139141292e-01,1.485236186127653468e+01,-2.138574345699101968e+02,-1.865729626190465581e-03,-3.699412194323807301e-01,-3.890313966256903910e+01,4.971706998414403529e+02,2.400200839752212809e-02,-1.530670329954863162e-03,-2.959122982483582964e-01,-2.767396837329991399e+01,1.091139300910804650e+03,3.350592962356024732e-04,7.402892118402236432e-02,1.120877089779137670e+01,7.163954106859761168e+02,9.302923127853676699e-02,1.865729626190465581e-03,6.710886116128159714e-04,1.481455632171442827e-01,-1.735483832033983499e-03,-3.836190276389631615e-01,2.336290813444326635e-04,5.675320358012297256e-02,1.173448552148143899e-02,4.676066663029698756e-02,-1.501854750689550835e-03,-3.268658240588401820e-01
