time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,k0,costToGo
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.655467203379544662e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.719505462012482458e+05,-6.357607569057508299e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.505474682217826194e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.145702105747384849e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.296464170458153570e-03,3.552410170812688632e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.893799971875579691e-01,1.151681034968634748e-01,-1.106512447582330694e-02,-3.371209868248453700e-02,5.057345650329182485e-01,1.819974601471030171e-02,-1.255508691829945178e-01,-1.833322225865109678e-01,9.252617636458941863e-01,-9.939472702174434460e-03,-2.181716584465076200e-02,3.871013508863135888e-01,-7.296464170521729450e-03,0.000000000000000000e+00
1.000429821580363799e-03,9.287815164561590245e-06,1.660536701651013289e-02,1.650305887959566320e+01,-1.816066634379361915e+02,-2.417310968195006320e-05,-4.291762358010561829e-02,-4.268532662599276506e+01,4.071387906230434623e+02,2.666889821890391660e-03,-2.080333484866869750e-05,-3.738841344041320819e-02,-3.681096160737890699e+01,1.046210459352210364e+03,3.369774833281365274e-06,5.529210139692410098e-03,5.847381886660225625e+00,7.971558261986973548e+02,1.033658125317075439e-02,2.417310968195006320e-05,8.063459196331270950e-06,1.610870817824966786e-02,-2.080126395627842091e-05,-4.156298710405402497e-02,2.660891346093226522e-06,5.399530971970815073e-03,9.887151521439943580e-03,1.104626846006067156e-02,-1.814037261018519481e-05,-3.616345613208320903e-02,-2.902247253816896966e-01,1.129056744813758395e-01,-1.160738933686962689e-02,-3.358577538908813498e-02,5.058251457443615484e-01,1.819726852791310467e-02,-1.265500513852028108e-01,-1.840692320961376249e-01,9.244910443265917932e-01,-9.879228988487328764e-03,-2.181391713480593589e-02,3.870650790743464520e-01,-7.865736644227114271e-03,3.577369980650406840e-08
2.000859643160727598e-03,3.692160750343568036e-05,3.302139019380542773e-02,1.631163534507295054e+01,-1.856732348876770118e+02,-9.612273343121078271e-05,-8.540946995527212704e-02,-4.225377457021311045e+01,4.184749962397332865e+02,5.333779643844358334e-03,-8.226025425401241775e-05,-7.367019082879110170e-02,-3.569997504944661415e+01,1.052632473655728518e+03,1.386247917719837004e-05,1.173927912648102881e-02,6.528689731947810770e+00,7.818973716457221599e+02,2.067316250634150532e-02,9.612273343121078271e-05,3.213413478949010368e-05,3.208804867901365876e-02,-8.292480683358204952e-05,-8.283564477300549289e-02,1.094081830027166149e-05,1.127307288878949196e-02,1.261288771413448043e-02,1.946482401361922590e-02,-7.198398853331038972e-05,-7.156257188421599746e-02,-2.910679718851412190e-01,1.103500710138454188e-01,-1.217621793671594052e-02,-3.345685072014290690e-02,5.059101708182804913e-01,1.819320538169292081e-02,-1.275532544266767543e-01,-1.847723232672635330e-01,9.237069282866017250e-01,-9.817665804475602179e-03,-2.180962286182499058e-02,3.870284993954176689e-01,-8.569197823523860835e-03,1.278132015367917735e-07
3.001289464741091397e-03,8.255689728440628158e-05,4.924380832089847448e-02,1.611595096281499551e+01,-1.897308441267088313e+02,-2.149943133028980923e-04,-1.274637603944190622e-01,-4.181044538333999583e+01,4.297900977493552546e+02,8.000669465798325442e-03,-1.829411305050376803e-04,-1.088364687741564391e-01,-3.458010000279740837e+01,1.058874652956381169e+03,3.205318279786039168e-05,1.862729162026260932e-02,7.206663260167641916e+00,7.689394342730041672e+02,3.100974375951225451e-02,2.149943133028980652e-04,7.225361384715575121e-05,4.793426402885309773e-02,-1.865386906281601650e-04,-1.238377226230088224e-01,2.550721247691946640e-05,1.783952837942028719e-02,1.527154422564997761e-02,2.917150549170521162e-02,-1.610314781512406986e-04,-1.059981942435885283e-01,-2.919102006866000631e-01,1.075103830983394348e-01,-1.276942336240742375e-02,-3.332657139908229427e-02,5.059917286607534814e-01,1.818807479060338683e-02,-1.285604312223672663e-01,-1.854405166441338848e-01,9.229099454018131476e-01,-9.754650916728713900e-03,-2.180453322163952712e-02,3.869915481405096225e-01,-9.117680788343690210e-03,2.605001638880909559e-07
4.001719286321455196e-03,1.458492047752573849e-04,6.526836018680184925e-02,1.591600565235443376e+01,-1.937789954252993141e+02,-3.799332913521276953e-04,-1.690687161664658489e-01,-4.135533889055603396e+01,4.410830187860640308e+02,1.066755928775229255e-02,-3.214163358907508555e-04,-1.428783838855319510e-01,-3.345133322862011482e+01,1.064916566548558649e+03,5.851695546137679235e-05,2.619033228093389440e-02,7.881412406830283324e+00,7.576931966193042172e+02,4.134632501268301064e-02,3.799332913521276411e-04,1.291710774000741162e-04,6.368104760663334529e-02,-3.336453873497810291e-04,-1.646403768802896794e-01,4.737817153550440770e-05,2.501261589925652534e-02,1.800074372738755257e-02,3.896574874405664413e-02,-2.862672158142765943e-04,-1.396277609810331610e-01,-2.927526030075771057e-01,1.044092196977885884e-01,-1.338492169579073507e-02,-3.319509195723376049e-02,5.060709156042408896e-01,1.818185271214496981e-02,-1.295713196722403371e-01,-1.860758898524038918e-01,9.221005100061357984e-01,-9.690135996643246125e-03,-2.179885930508775396e-02,3.869542405126469298e-01,-9.605396952323036822e-03,4.058244525107999564e-07
5.002149107901818562e-03,2.264540502437729658e-04,8.109078458052812466e-02,1.571179932665459411e+01,-1.978171523299042462e+02,-5.900851096340154747e-04,-2.102125585403320784e-01,-4.088845490308228392e+01,4.523525965820796273e+02,1.333444910970625966e-02,-4.962562427001585138e-04,-1.757870727719403892e-01,-3.231367098479360322e+01,1.070734561838721902e+03,9.382886693385693376e-05,3.442548576839165458e-02,8.553011836188547434e+00,7.477551990659306966e+02,5.168290626585376329e-02,5.900851096340154747e-04,1.992769686128461476e-04,7.926337188840924808e-02,-5.149648576896250765e-04,-2.050910035234853046e-01,7.555544942776664004e-05,3.283277320852513725e-02,2.073541196022892982e-02,4.878062902095094827e-02,-4.394094082618584364e-04,-1.722582303149601812e-01,-2.935937354294808066e-01,1.010510085073673681e-01,-1.402138771188364552e-02,-3.306201202698450664e-02,5.061460054426459854e-01,1.817458505971073987e-02,-1.305861880309248657e-01,-1.866766352603174695e-01,9.212792015492671238e-01,-9.624178068186800550e-03,-2.179224747917609187e-02,3.869165804795289820e-01,-1.003373393052978818e-02,5.933640746921606184e-07
6.002578929482182794e-03,3.240269539577370138e-04,9.670682029108991495e-02,1.550333189144680723e+01,-2.018447335235981939e+02,-8.445952102036774489e-04,-2.508835087849372036e-01,-4.040979321684223891e+01,4.635975736311863216e+02,1.600133893166022503e-02,-7.060312232222672527e-04,-2.075536720424045467e-01,-3.116710892418013401e+01,1.076301102986296883e+03,1.385639869814102505e-04,4.332983674253264306e-02,9.221514036253884328e+00,7.388396604772746059e+02,6.201948751902452289e-02,8.445952102036774489e-04,2.860481150853727192e-04,9.469632150357058797e-02,-7.395920322132757373e-04,-2.452228547094994771e-01,1.126999274370398853e-04,4.135538538226869038e-02,2.352464103505215801e-02,5.880140229453606482e-02,-6.268921047762358520e-04,-2.038674693272307936e-01,-2.944328844942937784e-01,9.744254785933480212e-02,-1.467740403835451034e-02,-3.292732427708068565e-02,5.062162768523128520e-01,1.816640761340218915e-02,-1.316051804658533719e-01,-1.872415003170112280e-01,9.204465329459851075e-01,-9.556778328774604911e-03,-2.178451124040040737e-02,3.868785564436638680e-01,-1.040393130193231069e-02,8.001113193299401410e-07
7.003008751062547027e-03,4.382234361849336669e-04,1.121122061074998066e-01,1.529060324448501973e+01,-2.058611081657693376e+02,-1.142609035116229528e-03,-2.910697881692006495e-01,-3.991935361096575008e+01,4.748165883506339924e+02,1.866822875361419734e-02,-9.493116497460835339e-04,-2.381693183059470365e-01,-3.001164196721683908e+01,1.081583939580591505e+03,1.932973853701460483e-04,5.290046986325359218e-02,9.886956982988634124e+00,7.307384563101688855e+02,7.235606877219526167e-02,1.142609035116229528e-03,3.905718965739948811e-04,1.099979151666411192e-01,-1.010390442383284852e-03,-2.850716452089113173e-01,1.598514438197165446e-04,5.053381237298532752e-02,2.631387010987538272e-02,6.882217556812117443e-02,-8.505389985635682798e-04,-2.345378328359259967e-01,-2.952722609300225676e-01,9.361528426795619195e-02,-1.535082154496470071e-02,-3.279131884402235186e-02,5.062839052604699575e-01,1.815723553090817927e-02,-1.326278233144998486e-01,-1.877745252090998740e-01,9.196028121766559593e-01,-9.487854828911287258e-03,-2.177608643874919675e-02,3.868401892865820924e-01,-1.071820648989912569e-02,9.994312482780603470e-07
8.003438572642910392e-03,5.686990171931465216e-04,1.273026808187703585e-01,1.507361327470539081e+01,-2.098655906331653398e+02,-1.483272026426786863e-03,-3.307596179620420074e-01,-3.941713584610958776e+01,4.860081645938198562e+02,2.133511857556815924e-02,-1.224667894560613115e-03,-2.676251481715907765e-01,-2.884726414089401914e+01,1.086545052103500439e+03,2.586041318661736399e-04,6.313446979045124474e-02,1.054936883146795878e+01,7.232964007671336049e+02,8.269265002536602127e-02,1.483272026426786863e-03,5.080594561267800591e-04,1.251242530082881110e-01,-1.314979850130398994e-03,-3.245304440024906478e-01,2.149470150385432194e-04,6.030871731312011791e-02,2.910309918469860396e-02,7.884294884170628404e-02,-1.100032835091855829e-03,-2.642217266893705507e-01,-2.961134511795364688e-01,8.959605156869786258e-02,-1.603964829354790483e-02,-3.265418381234588829e-02,5.063504111765658733e-01,1.814701427700347175e-02,-1.336537709218009184e-01,-1.882787820689034164e-01,9.187483799053930422e-01,-9.417348520736387035e-03,-2.176727408824207649e-02,3.868014953935903222e-01,-1.097825037524125663e-02,1.264528019873953158e-06
9.003868394223273758e-03,7.151092172501601497e-04,1.422739832139141292e-01,1.485236186127653468e+01,-2.138574345699101968e+02,-1.865729626190465581e-03,-3.699412194323807301e-01,-3.890313966256903910e+01,4.971706998414403529e+02,2.400200839752212809e-02,-1.530670329954863162e-03,-2.959122982483582964e-01,-2.767396837329991399e+01,1.091139300910804650e+03,3.350592962356024732e-04,7.402892118402236432e-02,1.120877089779137670e+01,7.163954106859761168e+02,9.302923127853676699e-02,1.865729626190465581e-03,6.373515131890563311e-04,1.400523274001304885e-01,-1.650430073811442891e-03,-3.635429352703178352e-01,2.782901828747579194e-04,7.069124005529812960e-02,3.189465842342898566e-02,8.899486429535433119e-02,-1.372139890936684972e-03,-2.928516952150196917e-01,-2.969533131072212839e-01,8.537648193461958024e-02,-1.674321554317631175e-02,-3.251536681934630996e-02,5.064124322017351520e-01,1.813592441576027114e-02,-1.346836441100066062e-01,-1.887500218661028184e-01,9.178838081706335306e-01,-9.345363740678177406e-03,-2.175736632420909727e-02,3.867624548889465053e-01,-1.118190255894532630e-02,1.650027941559947972e-06
