time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.593936274203349603e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.700972098412259074e+05,9.296113148176645568e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.503046275718680408e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.986514385442755520e+04,-2.780150628684165005e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000453797891471533e-03,7.534678500312438671e-06,1.629179193614388454e-02,1.586856338350370699e+01,-7.523134359413897982e+02,-1.929110347685955988e-05,-4.196993052988452766e-02,-4.076548011067637844e+01,2.119121432973007813e+03,7.233802205254044777e-03,-1.729183784346144018e-05,-3.727214138557594092e-02,-3.657928736793834190e+01,1.264448778130343271e+03,1.999265633398120119e-06,4.697789144308587607e-03,4.149895486056039751e+00,-6.061314364049712822e+02,-7.440563753389362912e-03,1.929110347685955988e-05,8.042529794936842104e-06,1.619845147885176639e-02,-2.071113132269030360e-05,-4.173835799633809907e-02,2.394674028889131268e-06,4.861861171001108546e-03,-2.426550723092181158e-04,-3.823478108813732818e-04,-1.831645729380117275e-05,-3.687649682533698792e-02
2.000907595782943065e-03,2.968830307188452498e-05,3.177224731027439991e-02,1.505950133790670264e+01,-7.449703575955721817e+02,-7.587787898119313429e-05,-8.163314018487122237e-02,-3.846473753650172256e+01,2.096429996286538426e+03,1.446760441049879144e-02,-6.847586605019244138e-05,-7.321587614916172382e-02,-3.525622946877842878e+01,1.252814032291225658e+03,7.402012931000687821e-06,8.417264035709495079e-03,3.156775578128010906e+00,-4.741393007678212825e+02,-1.488112750677872409e-02,7.587787898119313429e-05,3.275075724080738821e-05,3.264792698238871971e-02,-8.440778835335013689e-05,-8.416254292354291566e-02,9.838057560616403750e-06,9.799152921482348969e-03,6.267092844500186943e-03,-3.158533662548694554e-03,-7.456973079273373822e-05,-7.436339000206056149e-02
3.001361393674414381e-03,6.578525732066841606e-05,4.644604166606392665e-02,1.425506685384869776e+01,-7.373368072175845782e+02,-1.678305241236331636e-04,-1.190026145961264048e-01,-3.617678734688053055e+01,2.072543244660002529e+03,2.170140661574353202e-02,-1.525148566347131127e-04,-1.078412289326480811e-01,-3.394317333673328108e+01,1.241065470581767386e+03,1.531566748892001031e-05,1.116138566347833934e-02,2.152256823858749168e+00,-1.913040725766158516e+02,-2.232169126016808960e-02,1.678305241236331094e-04,7.320643438508297432e-05,4.847206468491101206e-02,-1.886493402922669559e-04,-1.248312871781277478e-01,2.182427216325019863e-05,1.416818046546450965e-02,1.424062240896162637e-02,-6.854574176414865785e-03,-1.668250681290167538e-04,-1.106631067126632451e-01
4.001815191565886130e-03,1.151499248526162758e-04,6.031785054718489386e-02,1.345525221343772238e+01,-7.293628315422971582e+02,-2.932192365148120206e-04,-1.540913393948164234e-01,-3.390159368242834148e+01,2.047226581473133137e+03,2.893520882098828476e-02,-2.683715816115435360e-04,-1.411582243779256896e-01,-3.264011702107705304e+01,1.229190821184394736e+03,2.484765490326841682e-05,1.293311501689073557e-02,1.103958928439485732e+00,3.955896823032785505e+02,-2.976225501355744818e-02,2.932192365148119663e-04,1.292753498920977829e-04,6.353362576806254047e-02,-3.329297424032481270e-04,-1.633579472700369406e-01,3.788306576189544393e-05,1.783585673408373540e-02,2.331662851077253434e-02,-1.140935449055241295e-02,-2.950466766413526831e-04,-1.455220905359532191e-01
5.002268989457357880e-03,1.771066892736802682e-04,7.339234949730966129e-02,1.266004786449065023e+01,-7.209863183629585137e+02,-4.501142137653620675e-04,-1.869123002121076127e-01,-3.163911091037436307e+01,2.020179653476417570e+03,3.616901102623303749e-02,-4.150088129952038407e-04,-1.731768871268852816e-01,-3.134705828456843335e+01,1.217175984825575142e+03,3.510540077015820651e-05,1.373541308522230678e-02,0.000000000000000000e+00,-4.114247440139320133e+02,-3.720281876694681022e-02,4.501142137653620675e-04,2.002394395915678773e-04,7.770595359466507535e-02,-5.151820849428772643e-04,-1.993810581824042305e-01,5.719242817994030616e-05,2.063874449212083420e-02,3.287077463485979512e-02,-1.667097924699541267e-02,-4.579896567629369582e-04,-1.787423136902833998e-01
6.002722787348828762e-03,2.509799341898124995e-04,8.567421406011062335e-02,1.186944184117727019e+01,-7.121290534018393146e+02,-6.365856534859153960e-04,-2.174784826791662518e-01,-2.938928005148538958e+01,1.991011541181468829e+03,4.340281323147777287e-02,-5.913893228002137497e-04,-2.039072418214175897e-01,-3.006399454885420752e+01,1.205004681402538381e+03,4.519633068570168700e-05,1.357124085774866727e-02,-2.864875569204884398e-01,-2.688169752824606803e+03,-4.464338252033616533e-02,6.365856534859153960e-04,2.842722557827532322e-04,9.106402633339120978e-02,-7.305608924122220264e-04,-2.331106194873033555e-01,7.881082503488517671e-05,2.261179933074898563e-02,4.256860184840460110e-02,-2.223999194124678599e-02,-6.517500673773368768e-04,-2.104988201565543560e-01
7.003176585240300511e-03,3.360940432069651844e-04,9.716811977926019528e-02,1.108341895027237634e+01,-7.026911343083645534e+02,-8.507037532871049648e-04,-2.458028724271586751e-01,-2.715202351578440343e+01,1.959203779793134117e+03,5.063661543672252907e-02,-7.964758830410937447e-04,-2.333593131034132351e-01,-2.879092282689490290e+01,1.192658011277847663e+03,5.422787024601119304e-05,1.244355932374542791e-02,-1.463840146729329383e+00,-1.714364404400560034e+03,-5.208394627372552738e-02,8.507037532871049648e-04,3.818900277795402422e-04,1.034906775814229407e-01,-9.801087836955658418e-04,-2.642171277857755518e-01,1.020932974703188308e-04,2.370904564368072828e-02,5.234767020024411188e-02,-2.823276546022846986e-02,-8.780154862252470245e-04,-2.405080821420948201e-01
8.003630383131772261e-03,4.317733999310904565e-04,1.078787421984307437e-01,1.030195960438330260e+01,-6.925428824403851422e+02,-1.090538710779562648e-03,-2.718984550872513006e-01,-2.492723713318919110e+01,1.924053611468136296e+03,5.787041764196727833e-02,-1.029231265732363657e-03,-2.615431256147631167e-01,-2.752783963866352934e+01,1.180113906200273505e+03,6.130744504719901869e-05,1.035532947248821167e-02,-2.476596457244683247e+00,-1.445781202288133045e+03,-5.952451002711488942e-02,1.090538710779562648e-03,4.913191885313118084e-04,1.150102288468780459e-01,-1.259066157552595844e-03,-2.927621943511320990e-01,1.259261070618182326e-04,2.370805019059590499e-02,6.192063562364509555e-02,-3.467344579890001971e-02,-1.133140050490777720e-03,-2.690541441605361905e-01
9.004084181023244010e-03,5.373423879681405845e-04,1.178107568612946771e-01,9.525038109550450827e+00,-6.815128369744634256e+02,-1.354160723573921135e-03,-2.957782162906104628e-01,-2.271477770548723285e+01,1.884583900922348903e+03,6.510421984721202759e-02,-1.288618242888543534e-03,-2.884687039973578560e-01,-2.627474090508025384e+01,1.167346435993265004e+03,6.554248068537750548e-05,7.309512293252637231e-03,-3.456895300446445329e+00,-1.316220712560678294e+03,-6.696507378050425840e-02,1.354160723573921135e-03,6.116874506703600528e-04,1.256325898304873623e-01,-1.564973126544206639e-03,-3.187707514546042065e-01,1.493936603047146035e-04,2.296984880575489441e-02,7.125135152804057403e-02,-4.141241117915921144e-02,-1.415579466239492035e-03,-2.958009026488492843e-01
