time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,k0,costToGo
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.593936274203349603e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.700972098412259074e+05,9.296113148176645568e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.503046275718680408e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.986514385442755520e+04,-2.780150628684165005e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256872972200231107e-02,-1.607009121889259274e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.638461384342481786e-01,7.700190825500734249e-02,-3.430466714618461005e-02,-4.591742465120027261e-02,6.372630575568803968e-01,2.222103270490900784e-02,-2.709474693364671144e-02,-2.173704487211511327e-01,1.260887740770810117e+00,1.667281819170795924e-03,-2.347526676491521955e-02,4.843097043249585121e-01,-1.256872972199301469e-02,0.000000000000000000e+00
1.000453797891471533e-03,7.534678500312438671e-06,1.629179193614388454e-02,1.586856338350370699e+01,-7.523134359413897982e+02,-1.929110347685955988e-05,-4.196993052988452766e-02,-4.076548011067637844e+01,2.119121432973007813e+03,7.233802205254044777e-03,-1.729183784346144018e-05,-3.727214138557594092e-02,-3.657928736793834190e+01,1.264448778130343271e+03,1.999265633398120119e-06,4.697789144308587607e-03,4.149895486056039751e+00,-6.061314364049712822e+02,-7.440563753389362912e-03,1.929110347685955988e-05,7.806230817883674097e-06,1.551708125029924515e-02,-2.005025060782592678e-05,-3.983243817276323900e-02,2.230517824355980352e-06,4.298084384626818001e-03,1.605484748318507238e-02,-8.724375327494293328e-03,-1.781973278346994728e-05,-3.553435378813642187e-02,-3.642468772565495283e-01,6.974606598275957803e-02,-3.517746064352139657e-02,-4.580744918900475637e-02,6.373342705025597521e-01,2.220463304435720681e-02,-2.720195207395187387e-02,-2.181012023774220876e-01,1.260015156418249349e+00,1.645432518016876414e-03,-2.350090785001812330e-02,4.842892868108795157e-01,-8.843841260366365475e-03,6.789519159188615396e-08
2.000907595782943065e-03,2.968830307188452498e-05,3.177224731027439991e-02,1.505950133790670264e+01,-7.449703575955721817e+02,-7.587787898119313429e-05,-8.163314018487122237e-02,-3.846473753650172256e+01,2.096429996286538426e+03,1.446760441049879144e-02,-6.847586605019244138e-05,-7.321587614916172382e-02,-3.525622946877842878e+01,1.252814032291225658e+03,7.402012931000687821e-06,8.417264035709495079e-03,3.156775578128010906e+00,-4.741393007678212825e+02,-1.488112750677872409e-02,7.587787898119313429e-05,3.088770766655569636e-05,3.061759454079644727e-02,-7.922959454680090759e-05,-7.841810080217441470e-02,8.256746477055827948e-06,7.599512280017003615e-03,2.149028249935013013e-02,-1.831350114814362870e-02,-7.097284806974508303e-05,-7.081858852215741629e-02,-3.646330230659455829e-01,6.229527038855209309e-02,-3.607359839597203827e-02,-4.569135615514338666e-02,6.373855933738916679e-01,2.218761857693420797e-02,-2.731170399830568779e-02,-2.187816942616980509e-01,1.259155419427817613e+00,1.622733854529697338e-03,-2.352274916185312023e-02,4.842694761638787204e-01,-9.103936323240843786e-03,1.540792489853604809e-07
3.001361393674414381e-03,6.578525732066841606e-05,4.644604166606392665e-02,1.425506685384869776e+01,-7.373368072175845782e+02,-1.678305241236331636e-04,-1.190026145961264048e-01,-3.617678734688053055e+01,2.072543244660002529e+03,2.170140661574353202e-02,-1.525148566347131127e-04,-1.078412289326480811e-01,-3.394317333673328108e+01,1.241065470581767386e+03,1.531566748892001031e-05,1.116138566347833934e-02,2.152256823858749168e+00,-1.913040725766158516e+02,-2.232169126016808960e-02,1.678305241236331094e-04,6.930758882394993145e-05,4.500736533754538110e-02,-1.774765182852337472e-04,-1.149634325406642538e-01,1.716154054236580201e-05,9.930338475851866950e-03,2.869727191966976038e-02,-2.628714758737465268e-02,-1.603149777428679486e-04,-1.050330940648123851e-01,-3.650096235138231560e-01,5.469834972946548135e-02,-3.698985445242579384e-02,-4.557073002834220732e-02,6.374231799534866294e-01,2.216985090679500850e-02,-2.742298024513558155e-02,-2.194186702186121107e-01,1.258309415372837359e+00,1.599468546036479860e-03,-2.354200738422446842e-02,4.842503186263185655e-01,-9.504507680699868580e-03,2.475182332798494467e-07
4.001815191565886130e-03,1.151499248526162758e-04,6.031785054718489386e-02,1.345525221343772238e+01,-7.293628315422971582e+02,-2.932192365148120206e-04,-1.540913393948164234e-01,-3.390159368242834148e+01,2.047226581473133137e+03,2.893520882098828476e-02,-2.683715816115435360e-04,-1.411582243779256896e-01,-3.264011702107705304e+01,1.229190821184394736e+03,2.484765490326841682e-05,1.293311501689073557e-02,1.103958928439485732e+00,3.955896823032785505e+02,-2.976225501355744818e-02,2.932192365148119663e-04,1.203384698604832834e-04,5.874262627650438801e-02,-3.076573819352588363e-04,-1.496321294142453628e-01,2.767899369111894684e-05,1.117478955652261713e-02,3.600892932035602151e-02,-3.416123241658580029e-02,-2.799783882441399165e-04,-1.384573398577227388e-01,-3.653826532773560287e-01,4.700887491811538837e-02,-3.792289267991169610e-02,-4.544757715097420131e-02,6.374547061710542639e-01,2.215117087777300486e-02,-2.753456454227928146e-02,-2.200198705235037189e-01,1.257477978741227576e+00,1.575998987610088657e-03,-2.356019636757647126e-02,4.842318643107618170e-01,-9.942281331971327893e-03,3.189955968254172985e-07
5.002268989457357880e-03,1.771066892736802682e-04,7.339234949730966129e-02,1.266004786449065023e+01,-7.209863183629585137e+02,-4.501142137653620675e-04,-1.869123002121076127e-01,-3.163911091037436307e+01,2.020179653476417570e+03,3.616901102623303749e-02,-4.150088129952038407e-04,-1.731768871268852816e-01,-3.134705828456843335e+01,1.217175984825575142e+03,3.510540077015820651e-05,1.373541308522230678e-02,0.000000000000000000e+00,-4.114247440139320133e+02,-3.720281876694681022e-02,4.501142137653620675e-04,1.861633112614024892e-04,7.174280818845706065e-02,-4.750688011738533195e-04,-1.822025552915698676e-01,3.931996160451797133e-05,1.163936039274519191e-02,4.345280980767643464e-02,-4.187651807898248868e-02,-4.357488395693353482e-04,-1.705631948988246827e-01,-3.657580870337179824e-01,3.928041686711747360e-02,-3.886937694545878480e-02,-4.532390386541237243e-02,6.374878479563046429e-01,2.213141933370159700e-02,-2.764524061757449303e-02,-2.205930354517121605e-01,1.256661944020905919e+00,1.552687574323388187e-03,-2.357882996235343212e-02,4.842141633297714076e-01,-1.031398327628311844e-02,3.750595656901384986e-07
6.002722787348828762e-03,2.509799341898124995e-04,8.567421406011062335e-02,1.186944184117727019e+01,-7.121290534018393146e+02,-6.365856534859153960e-04,-2.174784826791662518e-01,-2.938928005148538958e+01,1.991011541181468829e+03,4.340281323147777287e-02,-5.913893228002137497e-04,-2.039072418214175897e-01,-3.006399454885420752e+01,1.205004681402538381e+03,4.519633068570168700e-05,1.357124085774866727e-02,-2.864875569204884398e-01,-2.688169752824606803e+03,-4.464338252033616533e-02,6.365856534859153960e-04,2.640745052503379255e-04,8.401540989269709603e-02,-6.726134988396264723e-04,-2.126936315968595281e-01,5.082007683754515421e-05,1.107413834288089628e-02,5.084992054296427755e-02,-4.945073174164969082e-02,-6.217934220020813248e-04,-2.016194932539786266e-01,-3.661393916663388537e-01,3.155626485927177927e-02,-3.982623306695973198e-02,-4.520107785271178236e-02,6.375271463845816333e-01,2.211057583569786544e-02,-2.775429787753170077e-02,-2.211439393332670644e-01,1.255862242496350145e+00,1.529749729717110691e-03,-2.359878462487037878e-02,4.841972438645145149e-01,-1.052601481686762236e-02,4.254483780526841064e-07
7.003176585240300511e-03,3.360940432069651844e-04,9.716811977926019528e-02,1.108341895027237634e+01,-7.026911343083645534e+02,-8.507037532871049648e-04,-2.458028724271586751e-01,-2.715202351578440343e+01,1.959203779793134117e+03,5.063661543672252907e-02,-7.964758830410937447e-04,-2.333593131034132351e-01,-2.879092282689490290e+01,1.192658011277847663e+03,5.422787024601119304e-05,1.244355932374542791e-02,-1.463840146729329383e+00,-1.714364404400560034e+03,-5.208394627372552738e-02,8.507037532871049648e-04,3.537895926537560644e-04,9.555411923020207254e-02,-8.993508245354805150e-04,-2.410880457382330588e-01,6.124088687176126790e-05,9.670796963997262824e-03,5.821716858861100685e-02,-5.692555352228342858e-02,-8.381099376637192065e-04,-2.314172487742358064e-01,-3.665114907603368999e-01,2.379887143266628743e-02,-4.079286573204500554e-02,-4.507521183935043335e-02,6.375538044822725015e-01,2.208949604728794452e-02,-2.786475223064633147e-02,-2.216632052637274586e-01,1.255080462863359614e+00,1.506260248065809581e-03,-2.361623520769718515e-02,4.841809922263951571e-01,-1.059257308297086204e-02,4.578830403108529232e-07
8.003630383131772261e-03,4.317733999310904565e-04,1.078787421984307437e-01,1.030195960438330260e+01,-6.925428824403851422e+02,-1.090538710779562648e-03,-2.718984550872513006e-01,-2.492723713318919110e+01,1.924053611468136296e+03,5.787041764196727833e-02,-1.029231265732363657e-03,-2.615431256147631167e-01,-2.752783963866352934e+01,1.180113906200273505e+03,6.130744504719901869e-05,1.035532947248821167e-02,-2.476596457244683247e+00,-1.445781202288133045e+03,-5.952451002711488942e-02,1.090538710779562648e-03,4.549019234692326294e-04,1.063645553324408660e-01,-1.154005518740254792e-03,-2.674069199425213039e-01,6.968521520086153325e-05,7.221131136855965353e-03,6.555600869871992809e-02,-6.430231379973715133e-02,-1.084320303539393219e-03,-2.601857888056653412e-01,-3.668743757774914349e-01,1.602110678187410736e-02,-4.176761356886367349e-02,-4.494625670754530400e-02,6.375678109962725770e-01,2.206821798859217101e-02,-2.797660775689839521e-02,-2.221515709187024401e-01,1.254317465993433078e+00,1.482178505606748971e-03,-2.363117151810467317e-02,4.841654192446766536e-01,-1.053758712147059851e-02,4.984739721178174109e-07
9.004084181023244010e-03,5.373423879681405845e-04,1.178107568612946771e-01,9.525038109550450827e+00,-6.815128369744634256e+02,-1.354160723573921135e-03,-2.957782162906104628e-01,-2.271477770548723285e+01,1.884583900922348903e+03,6.510421984721202759e-02,-1.288618242888543534e-03,-2.884687039973578560e-01,-2.627474090508025384e+01,1.167346435993265004e+03,6.554248068537750548e-05,7.309512293252637231e-03,-3.456895300446445329e+00,-1.316220712560678294e+03,-6.696507378050425840e-02,1.354160723573921135e-03,5.665419649452888701e-04,1.164455053177815835e-01,-1.434140332287223976e-03,-2.916501914940602402e-01,7.581542553408009177e-05,3.851907103860332995e-03,7.286069283319243639e-02,-7.154950415659717955e-02,-1.358324906753143871e-03,-2.877982843901998877e-01,-3.672324873477709195e-01,8.252659217727997820e-03,-4.274833040253436800e-02,-4.481543296359257605e-02,6.375747451761436535e-01,2.204657558662526801e-02,-2.808898081970890789e-02,-2.226130223745295678e-01,1.253573921783737610e+00,1.457738777937264175e-03,-2.364470779927226735e-02,4.841505677646805172e-01,-1.037440009651036457e-02,5.402047104378364845e-07
