time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,-5.431717398151376663e-01,-6.336429999999999563e-01,4.349728124696861187e+01,-3.344006705327426516e+02,5.431717398151376663e-01,0.000000000000000000e+00,-1.018520954659364151e+02,1.100431560107649375e+03,-5.900124212975892712e-24,-2.028121858282009082e+00,1.756502000000000008e+00,-2.187836005355052293e+00,-3.565914090272547128e+02,-2.571293598097146749e+00,1.756502000000000008e+00,9.966425946058136276e+01,-1.457022969134904088e+03,-9.205888958690044775e-16,-5.431717398151376663e-01
1.000578419823153469e-03,-5.437833227665018754e-01,-5.902888681492521883e-01,4.315994292748092676e+01,-3.398859476961611108e+02,5.431191459956670187e-01,-1.013578408197353675e-01,-1.007440850849278604e+02,1.114308152556526920e+03,1.986325259821947187e-02,-2.026366509229795110e+00,1.754135706548596518e+00,-2.540705749793644941e+00,-3.487401021219827726e+02,-2.569485655225462128e+00,1.855493547368331830e+00,9.820337933513421547e+01,-1.463048254678509693e+03,-7.025043754746072844e-03,-5.431191459956670187e-01
2.001156839646306938e-03,-5.443503796618252011e-01,-5.472750155534554795e-01,4.281711615803676807e+01,-3.453712248595795700e+02,5.429623618817565056e-01,-2.016000840382516091e-01,-9.962219008497427808e+01,1.128184745005404693e+03,3.972650519643894373e-02,-2.024615587711935838e+00,1.751420269442016675e+00,-2.885719645975399317e+00,-3.408887952167106050e+02,-2.567577949593692122e+00,1.953020353480268367e+00,9.673647043899887876e+01,-1.469073540222115298e+03,-1.405008750949122628e-02,-5.429623618817562836e-01
3.001735259469460407e-03,-5.448734010979698894e-01,-5.046069338371947932e-01,4.246880093863615002e+01,-3.508565020229980291e+02,5.427028834901593823e-01,-3.007128370054648059e-01,-9.848641046607566807e+01,1.142061337454282238e+03,5.958975779465841560e-02,-2.022869228199874136e+00,1.748363549072496248e+00,-3.222877693900343843e+00,-3.330374883114384374e+02,-2.565572111690033630e+00,2.049076386077961054e+00,9.526353277217532423e+01,-1.475098825765720676e+03,-2.107513126423637626e-02,-5.427028834901594934e-01
4.002313679292613877e-03,-5.453528776717982973e-01,-4.622901146250545379e-01,4.211499726927906551e+01,-3.563417791864164883e+02,5.423422068376283489e-01,-3.986822070712913169e-01,-9.733674622823203038e+01,1.155937929903159784e+03,7.945301039287788747e-02,-2.021127565165055540e+00,1.744973405832269897e+00,-3.552179893568464308e+00,-3.251861814061664973e+02,-2.563469772002684000e+00,2.143655612903561103e+00,9.378456633466356607e+01,-1.481124111309326281e+03,-2.810017501898152970e-02,-5.423422068376284599e-01
5.002892099115767779e-03,-5.457892999801724487e-01,-4.203300495416195104e-01,4.175570514996552873e+01,-3.618270563498349475e+02,5.418818279409162164e-01,-4.954943015856470012e-01,-9.617319737144336500e+01,1.169814522352037329e+03,9.931626299109737321e-02,-2.019390733078922917e+00,1.741257700113572504e+00,-3.873626244979760713e+00,-3.173348745008945571e+02,-2.561272561019839245e+00,2.236752001699219505e+00,9.229957112646360429e+01,-1.487149396852931886e+03,-3.512521877372668661e-02,-5.418818279409163274e-01
6.003470518938920815e-03,-5.461831586199548116e-01,-3.787322302114746742e-01,4.139092458069551128e+01,-3.673123335132533498e+02,5.413232428167757959e-01,-5.911352278984480790e-01,-9.499576389570968615e+01,1.183691114800915102e+03,1.191795155893168312e-01,-2.017658866412921359e+00,1.737224292308639839e+00,-4.187216748134247268e+00,-3.094835675956223895e+02,-2.558982109229697155e+00,2.328359520207087918e+00,9.080854714757543888e+01,-1.493174682396537492e+03,-4.215026252847183658e-02,-5.413232428167757959e-01
7.004048938762073850e-03,-5.465349441880071879e-01,-3.375021482592045485e-01,4.102065556146903447e+01,-3.727976106766718090e+02,5.406679474819598985e-01,-6.855910933596106593e-01,-9.380444580103095120e+01,1.197567707249792647e+03,1.390427681875363031e-01,-2.015932099638494179e+00,1.732881042809707672e+00,-4.492951403031881341e+00,-3.016322606903502219e+02,-2.556600047120454189e+00,2.418472136169318443e+00,8.931149439799906986e+01,-1.499199967940142869e+03,-4.917530628321698655e-02,-5.406679474819600095e-01
8.004627358585227753e-03,-5.468451472811922676e-01,-2.966452953093938749e-01,4.064489809228608408e+01,-3.782828878400902681e+02,5.399174379532214463e-01,-7.788480053190512953e-01,-9.259924308740721699e+01,1.211444299698670193e+03,1.589060207857557749e-01,-2.014210567227086024e+00,1.728235812009009553e+00,-4.790830209672719775e+00,-2.937809537850782817e+02,-2.554128005180307248e+00,2.507083817328060960e+00,8.780841287773449721e+01,-1.505225253483748475e+03,-5.620035003796214346e-02,-5.399174379532212242e-01
9.005205778408381656e-03,-5.471142584963721855e-01,-2.561671629866273392e-01,4.026365217314667433e+01,-3.837681650035087273e+02,5.390732102473130283e-01,-8.708920711266855408e-01,-9.138015575483842667e+01,1.225320892147547966e+03,1.787692733839752746e-01,-2.012494403650141095e+00,1.723296460298781252e+00,-5.080853168056705726e+00,-2.859296468798061142e+02,-2.551567613897454123e+00,2.594188531425466682e+00,8.629930258678172095e+01,-1.511250539027354080e+03,-6.322539379270729343e-02,-5.390732102473130283e-01
