time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,6.551934658352557284e-01,-6.347770000000000357e-01,-4.204217541979889461e+01,3.341956246025783344e+02,-6.551934658352557284e-01,0.000000000000000000e+00,9.936734111124576430e+01,-9.571409503259374105e+02,0.000000000000000000e+00,2.065423211053007524e+00,4.677686999999999706e+00,-1.586085426381345087e+00,-1.782672306170638421e+03,2.720616676888263363e+00,4.677686999999999706e+00,-1.009534265376271094e+02,-8.255313558447010109e+02,0.000000000000000000e+00,6.551934658352558394e-01
1.000892380973553023e-03,6.545355706849451671e-01,-6.766875547847365224e-01,-4.170245993313940147e+01,3.446295780212067825e+02,-6.551395616200150762e-01,9.897176258337608834e-02,9.839487775227775046e+01,-9.860516994614621353e+02,-5.522529720736969738e-02,2.070103708545218968e+00,4.675206876767139974e+00,-3.369433556762629678e+00,-1.780843940494429035e+03,2.725243270165234044e+00,4.576235114183764274e+00,-1.017643113090403801e+02,-7.947922410329668992e+02,-2.346890950370700973e-02,6.551395616200150762e-01
2.001784761947106046e-03,6.538330069460764893e-01,-7.182528646352513979e-01,-4.135230118199978477e+01,3.550635314398352875e+02,-6.549790745105438239e-01,1.969557128145034974e-01,9.739347784477176617e+01,-1.014962448596986974e+03,-1.104505944147393948e-01,2.074780323874138688e+00,4.670942729793121195e+00,-5.150951689868918493e+00,-1.779015574818219648e+03,2.729759398384682623e+00,4.473987016978617781e+00,-1.025444295346406847e+02,-7.640531262212326737e+02,-4.693781900741401947e-02,6.549790745105439349e-01
3.002677142920659285e-03,6.530864267979926696e-01,-7.594624769676939779e-01,-4.099169916638001609e+01,3.654974848584637357e+02,-6.547138428112176944e-01,2.939228883224188626e-01,9.636314138872778301e+01,-1.043873197732511699e+03,-1.656758916221091060e-01,2.079451325154834773e+00,4.664896390708276996e+00,-6.930639825700296797e+00,-1.777187209142010261e+03,2.734165167966052579e+00,4.370973502385858467e+00,-1.032937812144280798e+02,-7.333140114094985620e+02,-7.040672851112103614e-02,6.547138428112178055e-01
4.003569523894212091e-03,6.522964824200361278e-01,-8.003059391982139115e-01,-4.062065388628011675e+01,3.759314382770922407e+02,-6.543457048264128550e-01,3.898443267361588194e-01,9.530386838414581518e+01,-1.072783946868036537e+03,-2.209011888294787895e-01,2.084114980502374426e+00,4.657069691142935675e+00,-8.708497964256721957e+00,-1.775358843465800874e+03,2.738460685328787392e+00,4.267225364406776578e+00,-1.040123663484025371e+02,-7.025748965977643365e+02,-9.387563801482803894e-02,6.543457048264129661e-01
5.004461904867764897e-03,6.514638259915498386e-01,-8.407727987429600702e-01,-4.023916534170007964e+01,3.863653916957206889e+02,-6.538764988605049178e-01,4.846910656847600030e-01,9.421565883102587691e+01,-1.101694696003561376e+03,-2.761264860368484730e-01,2.088769558031824847e+00,4.647464462727424639e+00,-1.048452610553816555e+01,-1.773530477789591714e+03,2.742646056892329653e+00,4.162773397042665025e+00,-1.047001849365640425e+02,-6.718357817860302248e+02,-1.173445475185350417e-01,6.538764988605048067e-01
6.005354285841318571e-03,6.505891096918766658e-01,-8.808526030180823252e-01,-3.984723353263989765e+01,3.967993451143491939e+02,-6.533080632178699387e-01,5.784341427972593541e-01,9.309851272936793976e+01,-1.130605445139085987e+03,-3.313517832442182121e-01,2.093413325858252350e+00,4.636082537092073963e+00,-1.225872424954468443e+01,-1.771702112113382100e+03,2.746721389076122399e+00,4.057648394294814942e+00,-1.053572369789126242e+02,-6.410966669742959994e+02,-1.408134570222420723e-01,6.533080632178700498e-01
7.006246666814871377e-03,6.496729857003591402e-01,-9.205348994397295481e-01,-3.944485845909957789e+01,4.072332985329776420e+02,-6.526422362028837520e-01,6.710445957026930364e-01,9.195243007917201794e+01,-1.159516194274610825e+03,-3.865770804515878956e-01,2.098044552096725024e+00,4.622925745867217273e+00,-1.403109239627626437e+01,-1.769873746437172713e+03,2.750686788299608665e+00,3.951881150164524570e+00,-1.059835224754482823e+02,-6.103575521625618876e+02,-1.642823665259490751e-01,6.526422362028836410e-01
8.007139047788424183e-03,6.487161061963402364e-01,-9.598092354240513879e-01,-3.903204012107912746e+01,4.176672519516060902e+02,-6.518808561199223028e-01,7.624934620300981569e-01,9.077741088043812567e+01,-1.188426943410135664e+03,-4.418023776589575791e-01,2.102661504862309183e+00,4.607995920683181090e+00,-1.580163054573286274e+01,-1.768045380760963326e+03,2.754542360982231486e+00,3.845502458653082822e+00,-1.065790414261709884e+02,-5.796184373508276622e+02,-1.877512760296560779e-01,6.518808561199223028e-01
9.008031428761976989e-03,6.477191233591625963e-01,-9.986651583871968274e-01,-3.860877851857853216e+01,4.281012053702345952e+02,-6.510257612733614252e-01,8.527517794085111014e-01,8.957345513316624874e+01,-1.217337692545660502e+03,-4.970276748663272626e-01,2.107262452270073361e+00,4.591294893170294600e+00,-1.757033869791450797e+01,-1.766217015084754166e+03,2.758288213543434786e+00,3.738543113761783943e+00,-1.071437938310807567e+02,-5.488793225390935504e+02,-2.112201855333630807e-01,6.510257612733614252e-01
