time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.669144418953073483e+01,-1.848768557496190965e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.310805716561260681e+01,4.135179770955969047e+02,-9.979560760702396086e-15,0.000000000000000000e+00,0.000000000000000000e+00,-3.792247710372229363e+01,1.096696265841405648e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.185580061890310510e+00,6.831782887458086861e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000433598503266703e-03,9.288076202541235339e-06,1.660545262790430465e-02,1.650435707727136503e+01,-1.891351977025363169e+02,-2.417381378864456851e-05,-4.291784692875386109e-02,-4.268847194755767305e+01,4.252887536712696601e+02,2.666333081488712810e-03,-2.080393961602098663e-05,-3.738861892035412471e-02,-3.682087458075965714e+01,1.105553887713460881e+03,3.369874172623581876e-06,5.529228008399734648e-03,5.867597366798015024e+00,6.802651340421912209e+02,1.033618143229317853e-02,2.417381378864456851e-05
2.000867197006533406e-03,3.692266052451107351e-05,3.302160600506993254e-02,1.631300977664838214e+01,-1.933935396554535373e+02,-9.612557274228924272e-05,-8.541003621474480001e-02,-4.225711084913597659e+01,4.370595302469424723e+02,5.332666162987404618e-03,-8.226270548440783718e-05,-7.367072501212018620e-02,-3.571041059527339456e+01,1.114411509585516114e+03,1.386286725788140215e-05,1.173931120262461034e-02,6.546700253862583807e+00,6.773519793385736421e+02,2.067236286458635705e-02,9.612557274228924272e-05
3.001300795509800109e-03,8.255928653742873309e-05,4.924419809592196079e-02,1.611740228766178973e+01,-1.976518816083707577e+02,-2.150007532425004858e-04,-1.274647868716019539e-01,-4.181397387034748903e+01,4.488303068226152277e+02,7.998999244486097726e-03,-1.829467181356464012e-04,-1.088374529704576876e-01,-3.459108514726347750e+01,1.123269131457571348e+03,3.205403510685407109e-05,1.862733390114427318e-02,7.222888723084014195e+00,6.744388246349561769e+02,3.100854429687953731e-02,2.150007532425004587e-04
4.001734394013066812e-03,1.458534878128133784e-04,6.526896686488549426e-02,1.591753461031157713e+01,-2.019102235612879781e+02,-3.799448316708447203e-04,-1.690703179129544320e-01,-4.135906101119221745e+01,4.606010833982879831e+02,1.066533232598478910e-02,-3.214263981002225281e-04,-1.428799374905260766e-01,-3.346289823672990593e+01,1.132126753329626808e+03,5.851843357062219220e-05,2.619038042242836928e-02,7.896162774462308853e+00,6.715256699313387116e+02,4.134472572917271410e-02,3.799448316708447203e-04
5.002167992516333081e-03,2.264607979221842145e-04,8.109165027638559620e-02,1.571340674459775144e+01,-2.061685655142051985e+02,-5.901032844088883924e-04,-2.102148483524313716e-01,-4.089237227167018318e+01,4.723718599739607953e+02,1.333166540748348047e-02,-4.962721659086219862e-04,-1.757893132674848147e-01,-3.232584986367271540e+01,1.140984375201681814e+03,9.383111850026637914e-05,3.442553508494654996e-02,8.566522407997466004e+00,6.686125152277211328e+02,5.168090716146589436e-02,5.901032844088883924e-04
6.002601591019600218e-03,3.240367504370605684e-04,9.670798629484737841e-02,1.550501869052031090e+01,-2.104269074671224189e+02,-8.446215878381980839e-04,-2.508865972036618541e-01,-4.041390765178136490e+01,4.841426365496335507e+02,1.599799848898217705e-02,-7.060544420913307875e-04,-2.075567149964933911e-01,-3.117994002809187748e+01,1.149841997073737275e+03,1.385671457468672693e-04,4.332988220716847000e-02,9.233967623689487425e+00,6.656993605241036676e+02,6.201708859375907462e-02,8.446215878381980839e-04
7.003035189522867354e-03,4.382368789289615638e-04,1.121137128846959180e-01,1.529237044807925727e+01,-2.146852494200396393e+02,-1.142645218340340458e-03,-2.910737834802751278e-01,-3.992366715152576262e+01,4.959134131253063060e+02,1.866433157048087016e-02,-9.493436471788349986e-04,-2.381732773727113506e-01,-3.002516872998739217e+01,1.158699618945792281e+03,1.933015711615054593e-04,5.290050610756377031e-02,9.898498421538372227e+00,6.627862058204860887e+02,7.235327002605225488e-02,1.142645218340340458e-03
8.003468788026133623e-03,5.687167169694061887e-04,1.273045680103563060e-01,1.507546201727458701e+01,-2.189435913729568597e+02,-1.483319652296880876e-03,-3.307646261959001355e-01,-3.942165077090339054e+01,5.076841897009791182e+02,2.133066465197955980e-02,-1.224710201701619330e-03,-2.676301350912980714e-01,-2.886153596935927368e+01,1.167557240817847742e+03,2.586094505952614918e-04,6.313449110460209179e-02,1.056011480154411863e+01,6.598730511168686235e+02,8.268945145834542820e-02,1.483319652296880876e-03
9.003902386529399893e-03,7.151317981299139736e-04,1.422762896362536056e-01,1.485429339810630545e+01,-2.232019333258740801e+02,-1.865790366089386870e-03,-3.699473443641659864e-01,-3.890785850991423445e+01,5.194549662766519305e+02,2.399699773347824944e-02,-1.530724526190170879e-03,-2.959184228474128764e-01,-2.768904174620750780e+01,1.176414862689903202e+03,3.350658398992160448e-04,7.402892151675309618e-02,1.121881676370672842e+01,6.569598964132511583e+02,9.302563289063860152e-02,1.865790366089386870e-03
