time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.669144418953497322e+01,-1.849236257332893842e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.310805716562430945e+01,4.136428122249693615e+02,-6.357607569057508299e-14,0.000000000000000000e+00,0.000000000000000000e+00,-3.792247710373172254e+01,1.096829576378695037e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.185580061892584247e+00,6.831867641537257896e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000429821580363799e-03,9.287815164561588551e-06,1.660536701651012942e-02,1.650431138952968269e+01,-1.891811759602041150e+02,-2.417310968195005643e-05,-4.291762358010561135e-02,-4.268834972554066098e+01,4.254114243243626561e+02,2.666889821890391227e-03,-2.080333484866869412e-05,-3.738841344041320125e-02,-3.682074629486245954e+01,1.105685352912149938e+03,3.369774833281364003e-06,5.529210139692409230e-03,5.867603430678199672e+00,6.802739285877872817e+02,1.033658125317075266e-02,2.417310968195005981e-05
2.000859643160727598e-03,3.692160750343568036e-05,3.302139019380542773e-02,1.631291920931051465e+01,-1.934387261871188173e+02,-9.612273343121078271e-05,-8.540946995527212704e-02,-4.225686861495417190e+01,4.371800364237559506e+02,5.333779643844358334e-03,-8.226025425401241775e-05,-7.367019082879110170e-02,-3.571015590305587750e+01,1.114541129445604838e+03,1.386247917719837004e-05,1.173927912648102707e-02,6.546712711898290848e+00,6.773610930218487738e+02,2.067316250634150532e-02,9.612273343121078271e-05
3.001289464741091397e-03,8.255689728440629514e-05,4.924380832089846755e-02,1.611726764887745844e+01,-1.976962764140335480e+02,-2.149943133028980923e-04,-1.274637603944190622e-01,-4.181361383386482800e+01,4.489486485231493020e+02,8.000669465798325442e-03,-1.829411305050377074e-04,-1.088364687741564529e-01,-3.459070592831196933e+01,1.123396905979059511e+03,3.205318279786039168e-05,1.862729162026260932e-02,7.222907905552856889e+00,6.744482574559102659e+02,3.100974375951225798e-02,2.149943133028980923e-04
4.001719286321455196e-03,1.458492047752573849e-04,6.526836018680184925e-02,1.591735670823052473e+01,-2.019538266409482787e+02,-3.799332913521276953e-04,-1.690687161664658489e-01,-4.135858538227265058e+01,4.607172606225425966e+02,1.066755928775229255e-02,-3.214163358907509097e-04,-1.428783838855319510e-01,-3.346239637063075634e+01,1.132252682512514411e+03,5.851695546137679235e-05,2.619033228093389787e-02,7.896189011641897793e+00,6.715354218899717580e+02,4.134632501268301064e-02,3.799332913521276953e-04
5.002149107901818562e-03,2.264540502437729658e-04,8.109078458052812466e-02,1.571318638736970819e+01,-2.062113768678630095e+02,-5.900851096340154747e-04,-2.102125585403320784e-01,-4.089178326017762544e+01,4.724858727219358911e+02,1.333444910970625966e-02,-4.962562427001585138e-04,-1.757870727719404169e-01,-3.232522723001221010e+01,1.141108459045969312e+03,9.382886693385693376e-05,3.442548576839165458e-02,8.566556030165413560e+00,6.686225863240333638e+02,5.168290626585376329e-02,5.900851096340154747e-04
6.002578929482182794e-03,3.240269539577370680e-04,9.670682029108992883e-02,1.550475668629500881e+01,-2.104689270947777118e+02,-8.445952102036775573e-04,-2.508835087849372036e-01,-4.041320746757975257e+01,4.842544848213292425e+02,1.600133893166022503e-02,-7.060312232222672527e-04,-2.075536720424045745e-01,-3.117919850645634483e+01,1.149964235579423985e+03,1.385639869814102505e-04,4.332983674253263612e-02,9.234008961123407744e+00,6.657097507580948559e+02,6.201948751902451595e-02,8.445952102036774489e-04
7.003008751062547027e-03,4.382234361849337212e-04,1.121122061074998066e-01,1.529206760500643014e+01,-2.147264773216924425e+02,-1.142609035116229528e-03,-2.910697881692006495e-01,-3.992285800447903910e+01,4.960230969207225371e+02,1.866822875361419387e-02,-9.493116497460835339e-04,-2.381693183059470642e-01,-3.002431019996316763e+01,1.158820012112878885e+03,1.932973853701460483e-04,5.290046986325358525e-02,9.898547804515873239e+00,6.627969151921563480e+02,7.235606877219527555e-02,1.142609035116229528e-03
8.003438572642910392e-03,5.686990171931466300e-04,1.273026808187703585e-01,1.507511914350396864e+01,-2.189840275486071732e+02,-1.483272026426786863e-03,-3.307596179620420074e-01,-3.942073487087547079e+01,5.077917090201158317e+02,2.133511857556815924e-02,-1.224667894560613115e-03,-2.676251481715907765e-01,-2.886056231053265719e+01,1.167675788646333785e+03,2.586041318661736399e-04,6.313446979045124474e-02,1.056017256034281360e+01,6.598840796262178401e+02,8.269265002536602127e-02,1.483272026426786863e-03
9.003868394223273758e-03,7.151092172501601497e-04,1.422739832139141292e-01,1.485391130178762609e+01,-2.232415777755218755e+02,-1.865729626190465798e-03,-3.699412194323806746e-01,-3.890683806676906897e+01,5.195603211195091262e+02,2.400200839752212809e-02,-1.530670329954863379e-03,-2.959122982483582964e-01,-2.768795483816483483e+01,1.176531565179788458e+03,3.350592962356024732e-04,7.402892118402237820e-02,1.121888322860423237e+01,6.569712440602793322e+02,9.302923127853676699e-02,1.865729626190465798e-03
