time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.669144418952982178e+01,-9.153243866067225554e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.310805716561009149e+01,2.585829580890594571e+03,1.520768859288435893e-15,0.000000000000000000e+00,0.000000000000000000e+00,-3.792247710372026148e+01,1.613368964517158474e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.185580061889830006e+00,-9.724606163734362099e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000438319397054573e-03,7.140924984534605369e-06,1.624183422073179409e-02,1.577912910293949800e+01,-9.085063661780368420e+02,-1.821321539936159923e-05,-4.183604750382425436e-02,-4.053052112952662611e+01,2.566983913172486155e+03,8.312333685855497270e-03,-1.638227572745425570e-05,-3.713420502047509730e-02,-3.631589038836209937e+01,1.598396687015305815e+03,1.830939671907343314e-06,4.701842483349155319e-03,4.214630741164525851e+00,-9.685872261571802255e+02,-6.639757316801468343e-03,1.821321539936159923e-05
2.000876638794109146e-03,2.809384918279658383e-05,3.157436546881448036e-02,1.487363502524846126e+01,-9.016883457493511287e+02,-7.151691010686951708e-05,-8.110286028361493593e-02,-3.797183902158297997e+01,2.548138245454377738e+03,1.662466737170947145e-02,-6.476211216944913153e-05,-7.266861183030048910e-02,-3.472428251314543957e+01,1.583424409513453611e+03,6.754797937420387252e-06,8.434248453314453775e-03,3.247556508437541289e+00,-9.647138359409242412e+02,-1.327951463360293669e-02,7.151691010686951708e-05
3.001314958191163718e-03,6.215399646177318825e-05,4.600441774292787084e-02,1.397496195645671513e+01,-8.948703253206653017e+02,-1.579071568866584406e-04,-1.178193005315542746e-01,-3.543201084177914595e+01,2.529292577736269322e+03,2.493700105756345084e-02,-1.439890232154327973e-04,-1.066182058351338308e-01,-3.314765347807026785e+01,1.568452132011600952e+03,1.391813367122565344e-05,1.120109469642044733e-02,2.284357363708877209e+00,-9.608404457246682568e+02,-1.991927195040440676e-02,1.579071568866584406e-04
4.001753277588218291e-03,1.086165906884516477e-04,5.953881504175174283e-02,1.308310989656425782e+01,-8.880523048919795883e+02,-2.753800285028630839e-04,-1.520042304398245281e-01,-3.291103659011514537e+01,2.510446910018160906e+03,3.324933474341742329e-02,-2.529125227548533958e-04,-1.389979724406328332e-01,-3.158600328313661265e+01,1.553479854509748748e+03,2.246750574800966097e-05,1.300625799919169490e-02,1.325033306978533831e+00,-9.569670555084122725e+02,-2.655902926720587337e-02,2.753800285028630297e-04
5.002191596985273297e-03,1.667768557298192702e-04,7.218438136396590488e-02,1.219807884557108935e+01,-8.812342844632938750e+02,-4.219315977196181678e-04,-1.836765122006078776e-01,-3.040891626659095692e+01,2.491601242300052490e+03,4.156166842927140614e-02,-3.903821246771592120e-04,-1.698228970524551240e-01,-3.003933192834444910e+01,1.538507577007896089e+03,3.154947304245894226e-05,1.385361514815275190e-02,3.695843382465094917e-01,-9.530936652921564018e+02,-3.319878658400734345e-02,4.219315977196181678e-04
6.002629916382327437e-03,2.359300154528631908e-04,8.394794070825015164e-02,1.131986880347720970e+01,-8.744162640346081616e+02,-5.955579373010580881e-04,-2.128550080060865879e-01,-2.792564987120658770e+01,2.472755574581944074e+03,4.987400211512538206e-02,-5.552473428717980431e-04,-1.991079650762584141e-01,-2.850763941369378074e+01,1.523535299506043657e+03,4.031059442925999077e-05,1.374704292982816857e-02,-5.819895424871942557e-01,-9.492202750759004175e+02,-3.983854390080881352e-02,5.955579373010579797e-04
7.003068235779381576e-03,3.153712937245707615e-04,9.483631707328427085e-02,1.044847977028262065e+01,-8.675982436059224483e+02,-7.942551200113178366e-04,-2.395585800484429095e-01,-2.546123740396204127e+01,2.453909906863835658e+03,5.818633580097935104e-02,-7.463576912282184452e-04,-2.268681619177004005e-01,-2.699092573918461824e+01,1.508563022004191225e+03,4.789742878309936436e-05,1.269041813074250034e-02,-1.529688335222576967e+00,-9.453468848596444332e+02,-4.647830121761027666e-02,7.942551200113178366e-04
8.003506555176436582e-03,4.043959144119290902e-04,1.048563344577480710e-01,9.583911745987320430e+00,-8.607802231772367350e+02,-1.016019218614532243e-03,-2.638060905198590933e-01,-2.301567886485731051e+01,2.435064239145727242e+03,6.649866948683333390e-02,-9.625626836358687575e-04,-2.531184729824387802e-01,-2.548919090481695093e+01,1.493590744502338794e+03,5.345653497866353953e-05,1.068761753742031653e-02,-2.473512039959640418e+00,-9.414734946433884488e+02,-5.311805853441174674e-02,1.016019218614532243e-03
9.003944874573491589e-03,5.022991013819256374e-04,1.140148168603213885e-01,8.726164730591307261e+00,-8.539622027485509079e+02,-1.258846305874835540e-03,-2.856164016125173344e-01,-2.058897425389240254e+01,2.416218571427618826e+03,7.481100317268732369e-02,-1.202711833984196343e-03,-2.778738836761311948e-01,-2.400243491059078593e+01,1.478618467000486362e+03,5.613447189063908768e-05,7.742517936386147416e-03,-3.413460656698383833e+00,-9.376001044271324645e+02,-5.975781585121321682e-02,1.258846305874835540e-03
