time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.004196486478797468e+01,-8.070852836153363796e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.467392593431534209e+01,2.111063500381241283e+03,1.763861472369033669e-14,0.000000000000000000e+00,0.000000000000000000e+00,-5.005553638021423524e+01,-7.541672402326548763e+02,0.000000000000000000e+00,0.000000000000000000e+00,-5.381610445898892259e+00,-2.865230740613896160e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000460046360432311e-03,1.002415749024323594e-05,1.964698001885996012e-02,1.923363552086255623e+01,-8.088300082867003766e+02,-2.228328902348000113e-05,-4.363734569834486210e-02,-4.256000465776266140e+01,2.114834943525447670e+03,1.454667494087326374e-02,-2.571621923350348162e-05,-5.045477425842326974e-02,-5.080639033340200683e+01,-7.468501285654265303e+02,-3.432930210023479214e-06,-6.817428560078405038e-03,-8.246385675639345436e+00,-2.861685072090874201e+03,-3.166077272845461282e-02,2.228328902348000113e-05
2.000920092720864622e-03,3.953275830751189673e-05,3.848438565964724944e-02,1.842356064961153095e+01,-8.105747329580644873e+02,-8.766964115535579396e-05,-8.515791016133762714e-02,-4.044231020302707691e+01,2.118606386669654057e+03,2.909334988172888881e-02,-1.032632017129169084e-04,-1.016570859748441719e-01,-5.154992380871195223e+01,-7.395330168981981842e+02,-1.559356055756111109e-05,-1.649917581350654819e-02,-1.110761360568487710e+01,-2.858139403567852241e+03,-6.332154545690922565e-02,8.766964115535579396e-05
3.001380139081296933e-03,8.767999497161440170e-05,5.651047059201277922e-02,1.761174025103490948e+01,-8.123194576294284843e+02,-1.939637839877810660e-04,-1.245579184749585067e-01,-3.832084257010860284e+01,2.122377829813860444e+03,4.364002482258451387e-02,-2.332384346065947500e-04,-1.535996113036257049e-01,-5.228613680614409276e+01,-7.322159052309693834e+02,-3.927465061881368403e-05,-2.904169282866718438e-02,-1.396529423603548814e+01,-2.854593735044829828e+03,-9.498231818536383153e-02,1.939637839877810660e-04
4.001840185441729245e-03,1.536200600023592108e-04,7.372348848560744683e-02,1.679817432513269537e+01,-8.140641823007924813e+02,-3.389704451129095996e-04,-1.618335957251877399e-01,-3.619560175900721788e+01,2.126149272958066831e+03,5.818669976344013894e-02,-4.162394050828915979e-04,-2.062750263991308397e-01,-5.301502932569839288e+01,-7.248987935637410374e+02,-7.726895996998199827e-05,-4.444143067394309282e-02,-1.681942756669117855e+01,-2.851048066521807868e+03,-1.266430909138184513e-01,3.389704451129095996e-04
5.002300231802161989e-03,2.365071459195547637e-04,9.012169301008217392e-02,1.598286287190487798e+01,-8.158089069721565920e+02,-5.204943521228951129e-04,-1.969811669980054691e-01,-3.406658776972294334e+01,2.129920716102273673e+03,7.273337470429577789e-02,-6.528636003101619860e-04,-2.596760074157224985e-01,-5.373660136737488813e+01,-7.175816818965122366e+02,-1.323692481872668731e-04,-6.269484041771702931e-02,-1.967001359765194834e+01,-2.847502397998785909e+03,-1.583038636422730572e-01,5.204943521228951129e-04
6.002760278162593867e-03,3.354954452430092900e-04,1.057033378350878683e-01,1.516580589135145907e+01,-8.175536316435205890e+02,-7.363402326098908088e-04,-2.299968573793919613e-01,-3.193380060225576855e+01,2.133692159246480060e+03,8.728004964515138908e-02,-9.437085074567597978e-04,-3.137952305077637005e-01,-5.445085293117355718e+01,-7.102645702292838905e+02,-2.073682748468689890e-04,-8.379837312837173924e-02,-2.251705232891779218e+01,-2.843956729475763950e+03,-1.899646363707276631e-01,7.363402326098908088e-04
7.003220324523025744e-03,4.497391504925314664e-04,1.204666766302753961e-01,1.434700338347244397e+01,-8.192983563148845860e+02,-9.843128141660509745e-04,-2.608768919553274279e-01,-2.979724025660569353e+01,2.137463602390686447e+03,1.018267245860070142e-01,-1.289371613691040136e-03,-3.686253718296174653e-01,-5.515778401709441425e+01,-7.029474585620555445e+02,-3.050587995249892160e-04,-1.077484798742900235e-01,-2.536054376048871717e+01,-2.840411060952741991e+03,-2.216254090991822689e-01,9.843128141660509745e-04
8.003680370883458489e-03,5.783924541879298343e-04,1.344099630652957067e-01,1.352645534826782736e+01,-8.210430809862486967e+02,-1.262216824383529355e-03,-2.896174958117920251e-01,-2.765690673277272538e+01,2.141235045534892834e+03,1.163733995268626392e-01,-1.690450406181357671e-03,-4.241591075356466733e-01,-5.585739462513744513e+01,-6.956303468948271984e+02,-4.282335817978284243e-04,-1.345416117238546483e-01,-2.820048789236472331e+01,-2.836865392429720032e+03,-2.532861818276369026e-01,1.262216824383529355e-03
9.004140417243891234e-03,7.206095488490125555e-04,1.475314508097997634e-01,1.270416178573761457e+01,-8.227878056576126937e+02,-1.567856990854479479e-03,-3.162148940347661030e-01,-2.551280003075685343e+01,2.145006488679099220e+03,1.309200744677182504e-01,-2.147542372096067180e-03,-4.803891137802144273e-01,-5.654968475530266403e+01,-6.883132352275983976e+02,-5.796853812415874840e-04,-1.641742197454483521e-01,-3.103688472454581060e+01,-2.833319723906697618e+03,-2.849469545560915362e-01,1.567856990854479696e-03
