time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.669144418952378572e+01,-8.566485350289043481e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.310805716559341505e+01,2.436104946424490208e+03,7.765968427006129350e-14,0.000000000000000000e+00,0.000000000000000000e+00,-3.792247710370683222e+01,1.398374087906617433e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.185580061886583714e+00,-1.037730858517872775e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000545579769332189e-03,7.457008222193083169e-06,1.627264070312174279e-02,1.583697213529011272e+01,-8.513637165082313913e+02,-1.907723467496300220e-05,-4.191463988394781431e-02,-4.067795640816220981e+01,2.421446386702069049e+03,7.632068527237388829e-03,-1.712227649373257224e-05,-3.724511638517186835e-02,-3.652903614904808904e+01,1.386988184104991433e+03,1.954958181230429963e-06,4.669523498775946836e-03,4.148920259114119879e+00,-1.034458202597077616e+03,-7.919798648704939187e-03,1.907723467496300220e-05
2.001091159538664378e-03,2.936100078399004235e-05,3.169298846268050335e-02,1.498778778286718349e+01,-8.460788979875584346e+02,-7.497345478623154388e-05,-8.140519047611019521e-02,-3.826252220786706459e+01,2.406787826979647889e+03,1.526413705439711756e-02,-6.778155234911671504e-05,-7.310173074800450921e-02,-3.514698731010975052e+01,1.375602280303365660e+03,7.191902437114822904e-06,8.303459728105680795e-03,3.115534897757314958e+00,-1.031185546676282229e+03,-1.583959729740987837e-02,7.497345478623154388e-05
3.001636739307996567e-03,6.501142952821742848e-05,4.626633386535015241e-02,1.414389113225499450e+01,-8.407940794668853641e+02,-1.656854344633749141e-04,-1.184863263354000440e-01,-3.586175456470796519e+01,2.392129267257226275e+03,2.289620558155684715e-02,-1.509164971274320913e-04,-1.075812414195261857e-01,-3.377633058689179535e+01,1.364216376501739205e+03,1.476893733594283298e-05,1.090508491587385484e-02,2.085423977816167618e+00,-1.027912890755487069e+03,-2.375939594611481756e-02,1.656854344633749141e-04
4.002182319077328757e-03,1.137077462977018196e-04,5.999796749780457461e-02,1.330528218345354929e+01,-8.355092609462124074e+02,-2.892099478359625104e-04,-1.531727220207302897e-01,-3.347565347868491870e+01,2.377470707534805115e+03,3.052827410871657501e-02,-2.654657803899583774e-04,-1.406950467307651609e-01,-3.241706597939424483e+01,1.352830472700113432e+03,2.374416744600411943e-05,1.247767528996512020e-02,1.058587499290676970e+00,-1.024640234834691682e+03,-3.167919459481975675e-02,2.892099478359625104e-04
5.002727898846660512e-03,1.747494029352697346e-04,7.289317994671763723e-02,1.247196093646284609e+01,-8.302244424255394506e+02,-4.435437690335634116e-04,-1.854790520910138407e-01,-3.110421894979793933e+01,2.362812147812383955e+03,3.816034263587630287e-02,-4.103680716979750702e-04,-1.724545450127497048e-01,-3.106919348761709188e+01,1.341444568898487432e+03,3.317569733558832794e-05,1.302450707826412202e-02,3.502546218084577612e-02,-1.021367578913896409e+03,-3.959899324352469246e-02,4.435437690335634116e-04
6.003273478615993135e-03,2.474358512837478174e-04,8.495726179876321449e-02,1.164392739128288490e+01,-8.249396239048664938e+02,-6.266836721857472255e-04,-2.154199911051635774e-01,-2.874745097804699867e+01,2.348153588089962795e+03,4.579241116303603421e-02,-5.845620406127621273e-04,-2.028711345965080737e-01,-2.973271311156032937e+01,1.330058665096861660e+03,4.212163157298513214e-05,1.254885650865551414e-02,-9.852621335133295855e-01,-1.018094922993101136e+03,-4.751879189222963512e-02,6.266836721857472255e-04
7.003819058385325758e-03,3.310665431859626581e-04,9.619550364061522918e-02,1.082118154791366749e+01,-8.196548053841934234e+02,-8.366264314220832072e-04,-2.430102136220924636e-01,-2.640534956343211448e+01,2.333495028367541636e+03,5.342447969019576554e-02,-7.869863566955989913e-04,-2.319562138130685236e-01,-2.840762485122396086e+01,1.318672761295235887e+03,4.964007472648418874e-05,1.105399980902394518e-02,-2.002275287791847269e+00,-1.014822267072305863e+03,-5.543859054093457778e-02,8.366264314220832072e-04
8.004364638154657513e-03,4.249409304847405347e-04,1.066131960589474792e-01,1.000372340635519208e+01,-8.143699868635204666e+02,-1.071368820872140287e-03,-2.682643942007133520e-01,-2.407791470595328676e+01,2.318836468645120021e+03,6.105654821735548993e-02,-1.016579689507765213e-03,-2.597211809934593107e-01,-2.709392870660799346e+01,1.307286857493609432e+03,5.478913136437511377e-05,8.543213207254068964e-03,-3.016014000654707594e+00,-1.011549611151510589e+03,-6.335838918963951349e-02,1.071368820872140287e-03
9.004910217923989268e-03,5.283584650229082406e-04,1.162156296404338734e-01,9.191552966607458686e+00,-8.090851683428475098e+02,-1.328907614665488261e-03,-2.911972073999391508e-01,-2.176514640561051195e+01,2.304177908922698862e+03,6.868861674451522126e-02,-1.272280708610540670e-03,-2.861774344687086358e-01,-2.579162467771242007e+01,1.295900953691983432e+03,5.662690605494761814e-05,5.019772931230524586e-03,-4.026478272101907230e+00,-1.008276955230715316e+03,-7.127818783834444227e-02,1.328907614665488261e-03
1.000545579769332102e-02,6.406185986432922979e-04,1.250080949717483347e-01,8.384670228670465519e+00,-8.038003498221745531e+02,-1.607239586931695843e-03,-3.118233277786829349e-01,-1.946704466240379006e+01,2.289519349200277702e+03,7.632068527167494565e-02,-1.553028083565204586e-03,-3.113363725698449769e-01,-2.450071276453724067e+01,1.284515049890357659e+03,5.421150336649128401e-05,4.869552088379719423e-04,-5.033668102133451505e+00,-1.005004299309920043e+03,-7.919798648704938493e-02,1.607239586931695843e-03
1.100600137746265451e-02,7.610207831887195540e-04,1.329958826395646887e-01,7.583075192544217025e+00,-7.985155313015015963e+02,-1.904361511800333265e-03,-3.301574298958573905e-01,-1.718360947633311753e+01,2.274860789477856542e+03,8.395275379883468392e-02,-1.857760483933037490e-03,-3.352093936278963682e-01,-2.322119296708245884e+01,1.273129146088731886e+03,4.660102786729582907e-05,-5.051963732038953353e-03,-6.037583490749339532e+00,-1.001731643389124770e+03,-8.711778513575432759e-02,1.904361511800333265e-03
1.200654695723198627e-02,8.888644705020159889e-04,1.401842832305568165e-01,6.786767858228712313e+00,-7.932307127808285259e+02,-2.218270163400968588e-03,-3.462141883103755369e-01,-1.491484084739850147e+01,2.260202229755435383e+03,9.158482232599440831e-02,-2.185416579275317739e-03,-3.578078959738911213e-01,-2.195306528534806745e+01,1.261743242287105886e+03,3.285358412565090322e-05,-1.159370766351557405e-02,-7.038224437949567758e+00,-9.984589874683294966e+02,-9.503758378445927024e-02,2.218270163400968588e-03
1.300709253700131803e-02,1.023449112426008667e-03,1.465785873313986132e-01,5.995748225723947833e+00,-7.879458942601555691e+02,-2.546962315863173128e-03,-3.600082775811503377e-01,-1.266073877559994010e+01,2.245543670033013768e+03,9.921689085315413270e-02,-2.534935039153326727e-03,-3.791432779388576035e-01,-2.069632971933407717e+01,1.250357338485479431e+03,1.202727670984618351e-05,-1.913500035770726929e-02,-8.035590943734137070e+00,-9.951863315475342233e+02,-1.029573824331641990e-01,2.546962315863173128e-03
1.400763811677065152e-02,1.164074160803524110e-03,1.521840855287639460e-01,5.210016295029926248e+00,-7.826610757394826123e+02,-2.888434743316514296e-03,-3.715543722670946458e-01,-1.042130326093742809e+01,2.230885110310592609e+03,1.068489593803138710e-01,-2.905254533128343031e-03,-3.992269378538240154e-01,-1.945098626904048089e+01,1.238971434683853658e+03,-1.681978981182873437e-05,-2.767256558672936614e-02,-9.029683008103052799e+00,-9.919136756267389501e+02,-1.108771810818691556e-01,2.888434743316514296e-03
1.500818369653998327e-02,1.310039067477388082e-03,1.570060684093267100e-01,4.429572066146648446e+00,-7.773762572188096556e+02,-3.240684219890561241e-03,-3.808671469271213139e-01,-8.196534303410976108e+00,2.216226550588171449e+03,1.144810279074735954e-01,-3.295313730761645441e-03,-4.180702740498185577e-01,-1.821703493446728572e+01,1.227585530882227886e+03,-5.462951087108420048e-05,-3.720312712269722294e-02,-1.002050063105630962e+01,-9.886410197059436769e+02,-1.187969797305740843e-01,3.240684219890561241e-03
