time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.669144418953051812e+01,-8.537331163931496576e+02,0.000000000000000000e+00,0.000000000000000000e+00,-4.310805716561200995e+01,2.428436510729828569e+03,-7.275424830656572202e-15,0.000000000000000000e+00,0.000000000000000000e+00,-3.792247710372181047e+01,1.389271653062633732e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.185580061890196824e+00,-1.039164857667194838e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000299866857307573e-03,7.463707089024301366e-06,1.627019785756247949e-02,1.584006746339760241e+01,-8.485098896120952077e+02,-1.909619068403145615e-05,-4.190845374487612435e-02,-4.068613969547632792e+01,2.413946359408388616e+03,7.595748989610757312e-03,-1.713815291188652972e-05,-3.724067120463173119e-02,-3.653841184517730767e+01,1.378029042263648535e+03,1.958037772144927278e-06,4.667782540244396622e-03,4.147727850299022023e+00,-1.035917317144740082e+03,-7.957380281207482656e-03,1.909619068403145615e-05
2.000599733714615146e-03,2.938880369353615777e-05,3.169137686922676722e-02,1.499391553031834157e+01,-8.432866628310407577e+02,-7.505187191484611990e-05,-8.140151318826446825e-02,-3.827871672177822404e+01,2.399456208086948664e+03,1.519149797922879006e-02,-6.784868083945908869e-05,-7.310248679261088789e-02,-3.516559256871815364e+01,1.366786431464663565e+03,7.203191075387031209e-06,8.299026395653585561e-03,3.113124153060071730e+00,-1.032669776622285099e+03,-1.591476056241496531e-02,7.505187191484611990e-05
3.000899600571922503e-03,6.507625281969398414e-05,4.626876339478876166e-02,1.415298839029273736e+01,-8.380634360499863078e+02,-1.658677074605243698e-04,-1.184936771730217137e-01,-3.588578824451769833e+01,2.384966056765508711e+03,2.278724696884682280e-02,-1.510756875705870808e-04,-1.075966961183201231e-01,-3.380401927434434839e+01,1.355543820665678368e+03,1.479201988993729240e-05,1.089698105470158357e-02,2.081768970173347277e+00,-1.029422236099830343e+03,-2.387214084362244623e-02,1.658677074605243698e-04
4.001199467429230293e-03,1.138270174736562360e-04,6.000758379404443066e-02,1.331728604332078447e+01,-8.328402092689318579e+02,-2.895443610891467877e-04,-1.531994445420045148e-01,-3.350735426369475078e+01,2.370475905444068758e+03,3.038299595846485554e-02,-2.657632768931400590e-04,-1.407345485361421178e-01,-3.245369196205590612e+01,1.344301209866693398e+03,2.378108419600670500e-05,1.246489600586240393e-02,1.053662301638847554e+00,-1.026174695577375360e+03,-3.182952112482993062e-02,2.895443610891467877e-04
5.001499334286538083e-03,1.749420606615813148e-04,7.291306442678967270e-02,1.248680848940248822e+01,-8.276169824878772943e+02,-4.440824965687936200e-04,-1.855333141380695883e-01,-3.114341477930938140e+01,2.355985754122628805e+03,3.797874494808289175e-02,-4.108555525949873560e-04,-1.725272934004595249e-01,-3.111461063185280906e+01,1.333058599067708201e+03,3.322694397380623692e-05,1.300602073761006339e-02,2.880414745657274705e-02,-1.022927155054920604e+03,-3.978690140603741154e-02,4.440824965687936200e-04
6.001799201143845006e-03,2.477223453896275677e-04,8.499043165282040013e-02,1.166155572853784506e+01,-8.223937557068228443e+02,-6.274827776675453300e-04,-2.155097848040735675e-01,-2.879396979136159018e+01,2.341495602801188852e+03,4.557449393770092450e-02,-5.852966184639984536e-04,-2.029861800656549975e-01,-2.978677528373506433e+01,1.321815988268723231e+03,4.218615920354687639e-05,1.252360473841857350e-02,-9.928054923734749293e-01,-1.019679614532465735e+03,-4.774428168724489246e-02,6.274827776675453300e-04
7.002099068001152796e-03,3.314688346639535856e-04,9.624491183193260857e-02,1.084152776072685498e+01,-8.171705289257683944e+02,-8.377458681534823539e-04,-2.431433553828731275e-01,-2.645901929985138068e+01,2.327005451479748899e+03,5.317024292731895724e-02,-7.880305782880427795e-04,-2.321224578861111609e-01,-2.847018591770267903e+01,1.310573377469738034e+03,4.971528986543960823e-05,1.102089749676195447e-02,-2.011166617851299243e+00,-1.016432074010010865e+03,-5.570166196845237339e-02,8.377458681534823539e-04
8.002398934858460586e-03,4.254824914907177837e-04,1.066817313239221549e-01,1.002672458596952154e+01,-8.119473021447139445e+02,-1.072872431794685399e-03,-2.684485247173249434e-01,-2.413856330477874934e+01,2.312515300158308946e+03,6.076599191693698998e-02,-1.018001535854989870e-03,-2.599473762162107238e-01,-2.716484253375564606e+01,1.299330766670752837e+03,5.487089593969544780e-05,8.501148501114209194e-03,-3.026279228976897162e+00,-1.013184533487555996e+03,-6.365904224965986125e-02,1.072872431794685399e-03
9.002698801715768376e-03,5.290642788760784683e-04,1.163061164885849791e-01,9.217146204265841192e+00,-8.067240753636594945e+02,-1.330863132359234521e-03,-2.914397916502858288e-01,-2.183260180614369261e+01,2.298025148836868993e+03,6.836174090655502966e-02,-1.274153594952709152e-03,-2.864721844103364501e-01,-2.587074513189396185e+01,1.288088155871767867e+03,5.670953740652532910e-05,4.967607239949362215e-03,-4.038143325750270130e+00,-1.009936992965101126e+03,-7.161642253086734911e-02,1.330863132359234521e-03
1.000299866857307617e-02,6.415151598261940001e-04,1.251232936857170630e-01,8.412792615615813929e+00,-8.015008485826050446e+02,-1.609718633615210429e-03,-3.121316550246122090e-01,-1.954113480394621760e+01,2.283534997515429041e+03,7.595748989617305547e-02,-1.555430859369070270e-03,-3.117081318228707709e-01,-2.458789371211763708e+01,1.276845545072782897e+03,5.428777424614024036e-05,4.235232017414440565e-04,-5.046758908171418589e+00,-1.006689452442646257e+03,-7.957380281207482309e-02,1.609718633615210429e-03
1.100329853543038396e-02,7.621360973472231194e-04,1.331384892751142357e-01,7.613663820019442419e+00,-7.962776218015505947e+02,-1.907439599330693287e-03,-3.305386136831608423e-01,-1.726416229818632431e+01,2.269044846193989088e+03,8.355323888579109515e-02,-1.860777432891942001e-03,-3.356664678081964226e-01,-2.331628827442666463e+01,1.265602934273797700e+03,4.666216643875120370e-05,-5.127854125035558562e-03,-6.052125976240339433e+00,-1.003441911920191387e+03,-8.753118309328231095e-02,1.907439599330693287e-03
